region_bld,ssp,urt,2015,2020,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100
R32EEU,SSP2,urb,13.93560294,14.6122615,15.21225167,15.73138393,16.15831486,16.49483135,16.74762165,16.92715519,17.04401393,17.09995591,17.0423844,16.87502728,16.61315313,16.27859737,15.89496935,15.48058678,15.04192416,14.58339941
R32EEU-FSU,SSP2,rur,16.86240395,15.3918171,14.08487998,12.91259031,11.86553786,10.93279051,10.08844212,9.316541533,8.611339328,7.968792985,7.36284327,6.794565828,6.261591535,5.762972162,5.299431901,4.871175138,4.475355988,4.106797245
R32EEU-FSU,SSP2,urb,40.06712283,40.01480347,39.98312239,39.94633712,39.93049163,39.95438359,39.97112703,39.95221695,39.9033089,39.83957551,39.65614793,39.37294844,38.99183688,38.52071663,37.9802749,37.39347898,36.76264211,36.06726903
R32IDN,SSP2,rur,131.6779402,128.8825347,125.2914357,121.0629232,116.4121003,111.4007659,106.0668807,100.452596,94.79842715,89.160946,83.62517813,78.26434388,73.13712364,68.28600893,63.73274921,59.48014037,55.52151114,51.84568678
R32IDN,SSP2,urb,119.7179002,132.8223199,145.1036753,156.3009241,166.311112,174.9132003,181.8906605,187.0695997,190.7139797,192.8492196,193.6161269,193.192103,191.7735458,189.5583694,186.7183465,183.3868581,179.6734269,175.6719415
R32IND,SSP2,rur,878.3835874,892.0840399,896.6990839,892.9025304,882.7217713,866.2549683,844.2772794,816.4629185,783.5093836,745.7384929,704.6787478,661.9926405,618.4174309,574.6048436,531.2155194,489.2118957,448.9129549,411.0350682
R32IND,SSP2,urb,429.5493314,496.0054171,565.0722545,635.6926634,707.7162115,779.6295863,850.2950837,917.3325596,979.1316776,1033.556348,1080.144408,1119.259625,1150.387573,1173.19202,1187.723787,1195.221635,1196.011346,1191.90116
R32JPN,SSP2,rur,39.33590266,36.58746713,33.81951984,31.11059701,28.51915995,26.07716277,23.79133626,21.67150572,19.72089226,17.92181025,16.23347824,14.66072339,13.21759832,11.90636783,10.69693493,9.596751196,8.601546479,7.702101167
R32JPN,SSP2,urb,86.76862871,88.22508089,89.0306316,89.29921631,89.151101,88.67724708,87.91658912,86.93719409,85.80196146,84.49293152,82.8618677,80.9583988,78.90454871,76.78407214,74.47519163,72.08960994,69.6744472,67.23924518
R32KOR,SSP2,rur,7.668912172,7.101789617,6.528337289,5.954056599,5.37798912,4.805416737,4.249882779,3.723021112,3.236100914,2.796546804,2.40481053,2.05988517,1.759272279,1.499488182,1.276378187,1.085685395,0.923338836,0.783620102
R32KOR,SSP2,urb,41.23719547,42.27576544,43.11231636,43.70659062,43.96433283,43.82476905,43.30962508,42.46022984,41.36176639,40.1099121,38.75063474,37.33192963,35.89540201,34.47515699,33.09420874,31.76900167,30.5121868,29.26085249
R32LAM-L,SSP2,rur,18.44488347,18.39115124,18.24564754,18.02441171,17.73058968,17.37016121,16.96273431,16.50985343,16.02489149,15.50418597,14.99222046,14.4861963,13.97939689,13.47941647,12.98261547,12.49749319,12.02636452,11.57503696
R32LAM-L,SSP2,urb,22.82268679,25.83510826,28.7393951,31.49638343,34.05813974,36.38976118,38.48744725,40.32271469,41.90162821,43.19372553,44.31039257,45.24510407,45.98268244,46.54900883,46.93689427,47.18049542,47.29977672,47.32624011
R32LAM-M,SSP2,rur,48.44136542,46.59393325,44.61551729,42.52376807,40.34749472,38.13309569,35.89991821,33.66813212,31.45926334,29.30822328,27.25828733,25.32248193,23.49624957,21.77558071,20.16014785,18.65740008,17.26738518,15.98639737
R32LAM-M,SSP2,urb,201.8049114,215.2309991,227.6645364,238.9135234,248.7702626,257.2441732,264.2206771,269.6373821,273.5231297,276.0115641,277.3657495,277.6789799,277.0013757,275.4112175,273.0392831,270.0717577,266.6517139,262.8759868
R32MEA-H,SSP2,rur,8.247313322,8.510879975,8.659666408,8.708615781,8.674241275,8.564684719,8.377267638,8.124328786,7.820593233,7.475858364,7.096763369,6.695597008,6.286958098,5.882132894,5.488612798,5.111121167,4.754673065,4.418513727
R32MEA-H,SSP2,urb,51.10165296,57.92704505,64.67711026,71.32997288,77.88172642,84.24304784,90.20947351,95.69014781,100.6514484,105.0317615,108.7128859,111.6671246,113.9510878,115.6326284,116.7731429,117.4051887,117.5987587,117.3082038
R32MEA-M,SSP2,rur,90.44830197,93.52445003,95.80322373,97.3779035,98.37272492,98.82053102,98.64396261,97.85085218,96.50566902,94.66523394,92.45666358,89.99304816,87.29949388,84.39723757,81.35321048,78.23531929,75.12560833,72.03677726
R32MEA-M,SSP2,urb,139.0550751,157.314749,175.4820575,193.4308586,211.0910547,228.2745146,244.4456565,259.226946,272.4653623,284.0096863,293.8996875,302.2260649,308.8939902,313.9307219,317.5082017,319.9023867,321.3877885,321.9508928
R32MEX,SSP2,rur,24.47821102,23.70498422,22.8139618,21.81961621,20.74068555,19.60565435,18.43494757,17.24880268,16.06370818,14.88904863,13.77656851,12.73736011,11.76495846,10.85075808,9.99100574,9.186167807,8.443035394,7.759129626
R32MEX,SSP2,urb,95.49434906,102.4777698,108.9976613,114.927648,120.1675006,124.6924657,128.463422,131.4702316,133.7086568,135.1439973,136.178697,136.9477199,137.4309512,137.5698679,137.349548,136.8123206,136.116202,135.3066691
R32NAF,SSP2,rur,76.55061873,76.55175245,75.9182653,74.72823247,73.14590622,71.28035009,69.161712,66.76745272,64.18455506,61.46232198,58.65897247,55.794542,52.91638683,50.10431776,47.38917,44.79894589,42.31542121,39.95726451
R32NAF,SSP2,urb,100.8771466,112.2622728,123.1584454,133.3525537,142.8926927,151.8124693,159.9899369,167.1398982,173.2013624,178.1413503,182.0572167,184.9525488,186.9338142,188.2065787,188.8851615,189.1089775,188.8506305,188.1889367
R32OAS-CPA,SSP2,rur,78.30096667,78.21363439,77.17802809,75.31991614,72.8594816,69.95082692,66.66720941,63.00329616,59.13095299,55.15938112,51.21391907,47.37300654,43.66915393,40.1329665,36.81851276,33.76496547,30.99271991,28.47930174
R32OAS-CPA,SSP2,urb,38.56221468,44.01047936,49.37300617,54.51055425,59.3751031,63.90368433,67.97040032,71.38386629,74.1575231,76.28573469,77.83736227,78.86190376,79.38251538,79.43753094,79.13655794,78.61060372,77.97358031,77.25603641
R32OAS-L-PAS,SSP2,rur,87.58341764,87.87506102,87.54333824,86.60906167,85.08489315,83.07774549,80.67005853,77.96852006,75.11277619,72.15574672,69.14178035,66.11482163,63.08791713,60.11268947,57.21589186,54.41014468,51.70219739,49.09595563
R32OAS-L-PAS,SSP2,urb,72.91183649,82.82832077,92.73137193,102.3421802,111.4655982,119.9675443,127.7246556,134.6654738,140.8620399,146.2970326,150.9305774,154.7936444,157.8419459,160.1712973,161.8435819,162.9086607,163.4105944,163.3858965
R32OAS-L-SAS,SSP2,rur,134.3289704,136.7811695,137.9381655,137.6218113,136.031341,133.3822474,129.7663796,125.3156391,120.1699202,114.4651723,108.4529576,102.3491402,96.2574413,90.2457471,84.39605954,78.78326435,73.49590213,68.55846412
R32OAS-L-SAS,SSP2,urb,55.82560168,65.20036041,74.97165582,84.79642087,94.46833763,103.8147678,112.5915568,120.6027986,127.6777827,133.6842146,138.6862126,142.7853135,146.0048582,148.3691533,149.9542019,150.8725305,151.2990229,151.3381405
R32OAS-M-PAS,SSP2,rur,52.92610088,51.87506784,50.43547896,48.68075003,46.61397147,44.27759189,41.76210491,39.17664165,36.60620201,34.10334508,31.64683003,29.27550015,26.99995006,24.8449283,22.8170065,20.92254774,19.16622526,17.54337981
R32OAS-M-PAS,SSP2,urb,54.83750025,60.10143192,65.21950941,70.11268525,74.60823411,78.55307339,81.93443609,84.79654666,87.18716366,89.14144581,90.55819245,91.48086991,91.90344822,91.86879616,91.42401732,90.62055175,89.54666624,88.24062485
R32OAS-M-SAS,SSP2,rur,18.89568511,19.04274313,19.00164979,18.81651102,18.52116152,18.11113619,17.56443756,16.90545098,16.16746767,15.38265671,14.57938943,13.7670352,12.96338321,12.17735682,11.41937705,10.69287322,9.997387346,9.331645097
R32OAS-M-SAS,SSP2,urb,3.974527794,4.626867607,5.312556787,6.028521485,6.771403621,7.526948157,8.267698153,8.978800548,9.650997139,10.27912781,10.86163593,11.39020672,11.865355,12.28478747,12.65187553,12.9665775,13.22708221,13.43035303
R32PAK,SSP2,rur,142.7945867,149.7355724,155.5903132,160.0185685,163.1800086,165.2462826,166.2540172,166.1399883,164.7672969,162.2755356,158.9729476,155.0041292,150.637889,145.9079611,140.935442,135.67158,130.2580322,124.7782143
R32PAK,SSP2,urb,82.97465776,98.20720585,114.4956224,131.3550523,148.6626267,166.3312427,184.1132418,201.5987165,218.1769887,233.5937813,247.8993696,261.0133352,273.0999741,283.9768519,293.702831,301.9682791,308.9439269,314.6817337
R32RUS,SSP2,rur,35.33256041,32.47039295,29.78580932,27.29998828,25.06383215,23.10273181,21.33379187,19.71984379,18.22781971,16.85632836,15.56911947,14.37252956,13.25631914,12.20971962,11.23062048,10.32082356,9.476399812,8.68742366
R32RUS,SSP2,urb,107.3383651,109.4981668,111.1240843,112.3322086,113.4250225,114.6895377,115.9046312,116.994875,117.8594556,118.5673134,118.934569,119.0548485,118.90146,118.4264927,117.6517091,116.6467088,115.428752,113.9347885
