region_bld,ssp,scenario,urt,arch,mat,2015,2020,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100
C-WEU-BEL,SSP2,nsp,urb,mfh,perm,24.76287551,25.45541981,26.13861327,26.8035663,27.44233728,28.04828235,28.61627376,29.14277992,29.62582019,30.06482068,30.4604044,30.81414856,31.12833753,31.4057321,31.64936848,31.86239326,32.04793537,32.20901255
C-WEU-BEL,SSP2,nsp,urb,sfh,perm,43.25808849,44.46788913,45.66135485,46.8229565,47.93882091,48.99734199,49.98956208,50.90931189,51.75313145,52.52001824,53.21106057,53.82901371,54.37786815,54.86244671,55.28805334,55.6601848,55.98430698,56.26569155
C-WEU-CHE,SSP2,nsp,rur,mfh,perm,41.66710716,41.24285406,40.8052788,40.36455559,39.93009127,39.51007148,39.11119147,38.73855293,38.39562768,38.08438094,37.80546884,37.55849336,37.3422029,37.15474594,36.99392152,36.85726718,36.74228998,36.64651678
C-WEU-CHE,SSP2,nsp,rur,sfh,perm,69.65721853,68.94797104,68.21645217,67.47967067,66.75335254,66.0511821,65.38435222,64.76139167,64.18810448,63.667776,63.20150316,62.78862051,62.42703574,62.11365351,61.8447944,61.61634174,61.42412796,61.26401859
C-WEU-CHE,SSP2,nsp,urb,mfh,perm,37.92373843,37.53760019,37.13933664,36.73820796,36.34277588,35.96049061,35.59744594,35.25828521,34.94616834,34.66288397,34.40902931,34.18424208,33.98738314,33.81676729,33.67039132,33.54601399,33.44136633,33.35419739
C-WEU-CHE,SSP2,nsp,urb,sfh,perm,66.24870493,65.57416282,64.87843911,64.17771031,63.48693286,62.81912149,62.18492138,61.59244394,61.04720923,60.55234181,60.10888494,59.71620575,59.37231428,59.07426668,58.81856356,58.6012897,58.41848146,58.26620667
C-WEU-CYP,SSP2,nsp,rur,mfh,perm,26.73039649,27.44,28.13489589,28.80813178,29.45342519,30.06553773,30.64039746,31.17527434,31.6686714,32.12028745,32.53082981,32.90179112,33.23529164,33.53384114,33.80019907,34.03721001,34.24772371,34.43448367
C-WEU-CYP,SSP2,nsp,rur,sfh,perm,44.68668925,45.87297287,47.03466895,48.1601548,49.23892765,50.2622302,51.22325516,52.11743856,52.94227783,53.69726948,54.38359596,55.00375261,55.56128396,56.06038574,56.5056711,56.90189545,57.25382291,57.56603991
C-WEU-CYP,SSP2,nsp,urb,mfh,perm,24.32894035,24.97479315,25.60725967,26.22001211,26.80733242,27.36445283,27.88766723,28.37449082,28.82356113,29.23460404,29.60826332,29.94589751,30.24943637,30.52116421,30.76359258,30.97931047,31.17091164,31.34089311
C-WEU-CYP,SSP2,nsp,urb,sfh,perm,42.50005029,43.62828589,44.73313708,45.8035499,46.82953552,47.80276514,48.71676458,49.5671932,50.35167089,51.06971879,51.72246148,52.3122722,52.84252206,53.31720146,53.74069782,54.11753386,54.45224056,54.74917995
C-WEU-DEU,SSP2,nsp,rur,mfh,perm,34.82042035,34.93141147,35.0299796,35.11787388,35.19679478,35.26831731,35.33384272,35.39454762,35.45141514,35.50518515,35.55643995,35.60556076,35.65283472,35.69843092,35.74243217,35.78488367,35.82579497,35.86515793
C-WEU-DEU,SSP2,nsp,rur,sfh,perm,58.2112317,58.39678172,58.56156356,58.70850131,58.84043776,58.96000594,59.0695484,59.17103217,59.26610076,59.35599107,59.44167657,59.52379455,59.60282507,59.67905077,59.7526101,59.82357864,59.89197233,59.95777757
C-WEU-DEU,SSP2,nsp,urb,mfh,perm,31.69215727,31.79317696,31.88288975,31.96288761,32.03471827,32.09981522,32.15945383,32.21470501,32.26646356,32.31540287,32.36205294,32.40676075,32.44978762,32.49128746,32.53133565,32.56997331,32.60720914,32.64303573
C-WEU-DEU,SSP2,nsp,urb,sfh,perm,55.36280079,55.53927135,55.69598997,55.83573766,55.96121811,56.07493551,56.17911776,56.27563565,56.36605229,56.45154402,56.5330367,56.61113644,56.68629978,56.75879555,56.82875543,56.89625129,56.96129829,57.0238835
C-WEU-DNK,SSP2,nsp,rur,mfh,perm,45.31636275,44.5963494,43.85957683,43.12423041,42.40524942,41.71458177,41.06137009,40.45206303,39.8907186,39.37924314,38.91781565,38.50518587,38.13907534,37.81648035,37.53396716,37.28789015,37.07456601,36.89040497
C-WEU-DNK,SSP2,nsp,rur,sfh,perm,75.75788188,74.55419556,73.32249191,72.09317243,70.89121195,69.73658446,68.6445742,67.62596173,66.68753104,65.8324691,65.06107512,64.37125899,63.75921167,63.21991169,62.7476187,62.33623809,61.97961226,61.67174003
C-WEU-DNK,SSP2,nsp,urb,mfh,perm,41.24514526,40.58981784,39.91923684,39.24995387,38.59556606,37.96694792,37.37242071,36.81785374,36.30694044,35.84141588,35.42144299,35.04588383,34.71266463,34.41905154,34.16191931,33.93794983,33.74379071,33.57617469
C-WEU-DNK,SSP2,nsp,urb,sfh,perm,72.05084655,70.90605981,69.7346267,68.56546111,67.42231577,66.32418728,65.28561199,64.31684295,63.42433218,62.6111107,61.87746308,61.2214015,60.63930329,60.1263927,59.67721026,59.2859596,58.94678443,58.65397721
C-WEU-ESP,SSP2,nsp,rur,mfh,perm,27.44603332,28.14115542,28.82691068,29.49538767,30.13943991,30.75298954,31.3312382,31.87079748,32.36960338,32.82687775,33.24291831,33.61890483,33.95669975,34.25865249,34.52737691,34.76565388,34.97629385,35.16202322
C-WEU-ESP,SSP2,nsp,rur,sfh,perm,45.8830591,47.04513334,48.19154852,49.30907865,50.38577658,51.41148159,52.37817201,53.28018323,54.11406478,54.87851576,55.57403388,56.20259143,56.76730197,57.27209315,57.7213347,58.11967555,58.47181409,58.7823082
C-WEU-ESP,SSP2,nsp,urb,mfh,perm,24.98028443,25.61295683,26.23710391,26.84552499,27.43171565,27.99014404,28.5164429,29.00752822,29.46152146,29.87771435,30.25637786,30.59858579,30.90603324,31.18085858,31.42544083,31.64231102,31.83402711,32.00307058
