region_bld,urt,arch,mat,bld_age,year,value
C-EEU-CZE,urb,mfh,perm,p2,2030,23.91347745
C-EEU-CZE,urb,mfh,perm,p2,2035,23.91347745
C-EEU-CZE,urb,mfh,perm,p2,2040,23.91347745
C-EEU-CZE,urb,mfh,perm,p2,2045,23.91347745
C-EEU-CZE,urb,mfh,perm,p2,2050,23.91347745
C-EEU-CZE,urb,mfh,perm,p2,2055,23.91347745
C-EEU-CZE,urb,mfh,perm,p2,2060,23.91347745
C-EEU-CZE,urb,mfh,perm,p2,2070,23.91347745
C-EEU-CZE,urb,mfh,perm,p2,2080,23.91347745
C-EEU-CZE,urb,mfh,perm,p2,2090,23.91347745
C-EEU-CZE,urb,mfh,perm,p2,2100,23.91347745
C-EEU-CZE,urb,mfh,perm,p3,2015,23.91347745
C-EEU-CZE,urb,mfh,perm,p3,2020,23.91347745
C-EEU-CZE,urb,mfh,perm,p3,2025,23.91347745
C-EEU-CZE,urb,mfh,perm,p3,2030,23.91347745
C-EEU-CZE,urb,mfh,perm,p3,2035,23.91347745
C-EEU-CZE,urb,mfh,perm,p3,2040,23.91347745
C-EEU-CZE,urb,mfh,perm,p3,2045,23.91347745
C-EEU-CZE,urb,mfh,perm,p3,2050,23.91347745
C-EEU-CZE,urb,mfh,perm,p3,2055,23.91347745
C-EEU-CZE,urb,mfh,perm,p3,2060,23.91347745
C-EEU-CZE,urb,mfh,perm,p3,2070,23.91347745
C-EEU-CZE,urb,mfh,perm,p3,2080,23.91347745
C-EEU-CZE,urb,mfh,perm,p3,2090,23.91347745
C-EEU-CZE,urb,mfh,perm,p3,2100,23.91347745
C-EEU-CZE,urb,mfh,perm,p5,2015,23.91347745
C-EEU-CZE,urb,mfh,perm,p5,2020,41.6393582
C-EEU-CZE,urb,mfh,perm,p5,2025,42.10372581
C-EEU-CZE,urb,mfh,perm,p5,2030,42.62241133
C-EEU-CZE,urb,mfh,perm,p5,2035,43.17031262
C-EEU-CZE,urb,mfh,perm,p5,2040,43.6611548
C-EEU-CZE,urb,mfh,perm,p5,2045,44.08401059
C-EEU-CZE,urb,mfh,perm,p5,2050,44.47163946
C-EEU-CZE,urb,mfh,perm,p5,2055,44.86307111
C-EEU-CZE,urb,mfh,perm,p5,2060,45.28527437
C-EEU-CZE,urb,mfh,perm,p5,2070,46.30850214
C-EEU-CZE,urb,mfh,perm,p5,2080,47.4963485
C-EEU-CZE,urb,mfh,perm,p5,2090,48.63489602
C-EEU-CZE,urb,mfh,perm,p5,2100,49.73599932
C-EEU-CZE,urb,sfh,perm,p1,2015,41.77428115
C-EEU-CZE,urb,sfh,perm,p1,2020,41.77428115
C-EEU-CZE,urb,sfh,perm,p1,2025,41.77428115
C-EEU-CZE,urb,sfh,perm,p1,2030,41.77428115
C-EEU-CZE,urb,sfh,perm,p1,2035,41.77428115
C-EEU-CZE,urb,sfh,perm,p1,2040,41.77428115
C-EEU-CZE,urb,sfh,perm,p1,2045,41.77428115
C-EEU-CZE,urb,sfh,perm,p1,2050,41.77428115
C-EEU-CZE,urb,sfh,perm,p1,2055,41.77428115
C-EEU-CZE,urb,sfh,perm,p1,2060,41.77428115
C-EEU-CZE,urb,sfh,perm,p1,2070,41.77428115
C-EEU-CZE,urb,sfh,perm,p1,2080,41.77428115
C-EEU-CZE,urb,sfh,perm,p1,2090,41.77428115
C-EEU-CZE,urb,sfh,perm,p1,2100,41.77428115
C-EEU-CZE,urb,sfh,perm,p2,2015,41.77428115
C-EEU-CZE,urb,sfh,perm,p2,2020,41.77428115
C-EEU-CZE,urb,sfh,perm,p2,2025,41.77428115
C-EEU-CZE,urb,sfh,perm,p2,2030,41.77428115
C-EEU-CZE,urb,sfh,perm,p2,2035,41.77428115
C-EEU-CZE,urb,sfh,perm,p2,2040,41.77428115
C-EEU-CZE,urb,sfh,perm,p2,2045,41.77428115
C-EEU-CZE,urb,sfh,perm,p2,2050,41.77428115
C-EEU-CZE,urb,sfh,perm,p2,2055,41.77428115
C-EEU-CZE,urb,sfh,perm,p2,2060,41.77428115
C-EEU-CZE,urb,sfh,perm,p2,2070,41.77428115
C-EEU-CZE,urb,sfh,perm,p2,2080,41.77428115
C-EEU-CZE,urb,sfh,perm,p2,2090,41.77428115
C-EEU-CZE,urb,sfh,perm,p2,2100,41.77428115
C-EEU-CZE,urb,sfh,perm,p3,2015,41.77428115
C-EEU-CZE,urb,sfh,perm,p3,2020,41.77428115
C-EEU-CZE,urb,sfh,perm,p3,2025,41.77428115
C-EEU-CZE,urb,sfh,perm,p3,2030,41.77428115
C-EEU-CZE,urb,sfh,perm,p3,2035,41.77428115
C-EEU-CZE,urb,sfh,perm,p3,2040,41.77428115
C-EEU-CZE,urb,sfh,perm,p3,2045,41.77428115
C-EEU-CZE,urb,sfh,perm,p3,2050,41.77428115
C-EEU-CZE,urb,sfh,perm,p3,2055,41.77428115
C-EEU-CZE,urb,sfh,perm,p3,2060,41.77428115
C-EEU-CZE,urb,sfh,perm,p3,2070,41.77428115
C-EEU-CZE,urb,sfh,perm,p3,2080,41.77428115
C-EEU-CZE,urb,sfh,perm,p3,2090,41.77428115
C-EEU-CZE,urb,sfh,perm,p3,2100,41.77428115
