year,region_bld,clim,arch,urt,value,region_gea
2020,C-WEU-PRT,Zone_4C Mixed Marine,mfh,urb,31937,WEU
2020,C-WEU-PRT,Zone_4C Mixed Marine,sfh,rur,89680,WEU
2020,C-WEU-PRT,Zone_4C Mixed Marine,sfh,urb,63456,WEU
2020,C-WEU-SWE,Zone_5A Cool Humid,mfh,rur,1643,WEU
2020,C-WEU-SWE,Zone_5A Cool Humid,mfh,urb,38819,WEU
2020,C-WEU-SWE,Zone_5A Cool Humid,sfh,rur,13710,WEU
2020,C-WEU-SWE,Zone_5A Cool Humid,sfh,urb,89243,WEU
2020,C-WEU-SWE,Zone_6A Cold Humid,mfh,rur,6999,WEU
2020,C-WEU-SWE,Zone_6A Cold Humid,mfh,urb,166549,WEU
2020,C-WEU-SWE,Zone_6A Cold Humid,sfh,rur,36358,WEU
2020,C-WEU-SWE,Zone_6A Cold Humid,sfh,urb,340862,WEU
2020,C-WEU-SWE,Zone_7A Very cold Humid,mfh,rur,14020,WEU
2020,C-WEU-SWE,Zone_7A Very cold Humid,mfh,urb,24467,WEU
2020,C-WEU-SWE,Zone_7A Very cold Humid,sfh,rur,100328,WEU
2020,C-WEU-SWE,Zone_7A Very cold Humid,sfh,urb,106596,WEU
2020,C-WEU-SWE,Zone_8A Subarctic/arctic Humid,mfh,urb,9735,WEU
2020,C-WEU-SWE,Zone_8A Subarctic/arctic Humid,sfh,urb,33301,WEU
