region_gea,material,year,eol_treat,value
CPA,copper,2100,recycling,0.53
CPA,copper,2100,downcycling,0
CPA,copper,2100,others,0.42
CPA,glass,2015,reuse,0.02
CPA,glass,2015,recycling,0.05
CPA,glass,2015,downcycling,0.45
CPA,glass,2015,others,0.48
CPA,glass,2020,reuse,0.02
CPA,glass,2020,recycling,0.05
CPA,glass,2020,downcycling,0.45
CPA,glass,2020,others,0.48
CPA,glass,2025,reuse,0.02
CPA,glass,2025,recycling,0.05
CPA,glass,2025,downcycling,0.45
CPA,glass,2025,others,0.48
CPA,glass,2030,reuse,0.030000000000000002
CPA,glass,2030,recycling,0.07
CPA,glass,2030,downcycling,0.45
CPA,glass,2030,others,0.44999999999999996
CPA,glass,2035,reuse,0.04000000000000001
CPA,glass,2035,recycling,0.09000000000000001
CPA,glass,2035,downcycling,0.45
CPA,glass,2035,others,0.42
CPA,glass,2040,reuse,0.05
CPA,glass,2040,recycling,0.11
CPA,glass,2040,downcycling,0.45
CPA,glass,2040,others,0.38999999999999996
CPA,glass,2045,reuse,0.06000000000000001
CPA,glass,2045,recycling,0.13
CPA,glass,2045,downcycling,0.45
CPA,glass,2045,others,0.36
CPA,glass,2050,reuse,0.07
CPA,glass,2050,recycling,0.15000000000000002
CPA,glass,2050,downcycling,0.45
CPA,glass,2050,others,0.32999999999999996
CPA,glass,2055,reuse,0.07
CPA,glass,2055,recycling,0.15000000000000002
CPA,glass,2055,downcycling,0.45
CPA,glass,2055,others,0.32999999999999996
CPA,glass,2060,reuse,0.07
CPA,glass,2060,recycling,0.15000000000000002
CPA,glass,2060,downcycling,0.45
CPA,glass,2060,others,0.32999999999999996
CPA,glass,2065,reuse,0.07
CPA,glass,2065,recycling,0.15000000000000002
CPA,glass,2065,downcycling,0.45
CPA,glass,2065,others,0.32999999999999996
CPA,glass,2070,reuse,0.07
CPA,glass,2070,recycling,0.15000000000000002
CPA,glass,2070,downcycling,0.45
CPA,glass,2070,others,0.32999999999999996
CPA,glass,2075,reuse,0.07
CPA,glass,2075,recycling,0.15000000000000002
CPA,glass,2075,downcycling,0.45
CPA,glass,2075,others,0.32999999999999996
CPA,glass,2080,reuse,0.07
CPA,glass,2080,recycling,0.15000000000000002
CPA,glass,2080,downcycling,0.45
CPA,glass,2080,others,0.32999999999999996
CPA,glass,2085,reuse,0.07
CPA,glass,2085,recycling,0.15000000000000002
CPA,glass,2085,downcycling,0.45
CPA,glass,2085,others,0.32999999999999996
CPA,glass,2090,reuse,0.07
