clim_policy,region_gea,fuel,year,value
1p5C,"NAM",oil,2100,73.3
1p5C,PAO,biomass_solid,2015,0
1p5C,PAO,biomass_solid,2020,0
1p5C,PAO,biomass_solid,2025,0
1p5C,PAO,biomass_solid,2030,0
1p5C,PAO,biomass_solid,2035,0
1p5C,PAO,biomass_solid,2040,0
1p5C,PAO,biomass_solid,2045,0
1p5C,PAO,biomass_solid,2050,0
1p5C,PAO,biomass_solid,2055,0
1p5C,PAO,biomass_solid,2060,0
1p5C,PAO,biomass_solid,2070,0
1p5C,PAO,biomass_solid,2080,0
1p5C,PAO,biomass_solid,2090,0
1p5C,PAO,biomass_solid,2100,0
1p5C,PAO,coal,2015,94.6
1p5C,PAO,coal,2020,94.6
1p5C,PAO,coal,2025,94.6
1p5C,PAO,coal,2030,94.6
1p5C,PAO,coal,2035,94.6
1p5C,PAO,coal,2040,94.6
1p5C,PAO,coal,2045,94.6
1p5C,PAO,coal,2050,94.6
1p5C,PAO,coal,2055,94.6
1p5C,PAO,coal,2060,94.6
1p5C,PAO,coal,2070,94.6
1p5C,PAO,coal,2080,94.6
1p5C,PAO,coal,2090,94.6
1p5C,PAO,coal,2100,94.6
1p5C,PAO,district_heat,2015,32.24879403
1p5C,PAO,district_heat,2020,10.30363011
1p5C,PAO,district_heat,2025,32.81737548
1p5C,PAO,district_heat,2030,8.951286916
1p5C,PAO,district_heat,2035,7.097178301
1p5C,PAO,district_heat,2040,4.040729719
1p5C,PAO,district_heat,2045,1.167915938
1p5C,PAO,district_heat,2050,0.04699045
1p5C,PAO,district_heat,2055,0.035113829
1p5C,PAO,district_heat,2060,0.025122147
1p5C,PAO,district_heat,2070,0.013681345
1p5C,PAO,district_heat,2080,0.006346375
1p5C,PAO,district_heat,2090,0.003876279
1p5C,PAO,district_heat,2100,0.002617087
1p5C,PAO,electricity,2015,168.4136405
1p5C,PAO,electricity,2020,137.9728875
1p5C,PAO,electricity,2025,56.64223616
1p5C,PAO,electricity,2030,20.90807554
1p5C,PAO,electricity,2035,1.672531505
1p5C,PAO,electricity,2040,1.08776068
1p5C,PAO,electricity,2045,0.581155135
1p5C,PAO,electricity,2050,0.35026286
1p5C,PAO,electricity,2055,0.177554208
1p5C,PAO,electricity,2060,0.123378506
1p5C,PAO,electricity,2070,0.110050358
1p5C,PAO,electricity,2080,0.104983307
1p5C,PAO,electricity,2090,0.122338541
1p5C,PAO,electricity,2100,0.376125923
1p5C,PAO,gas,2015,56.1
1p5C,PAO,gas,2020,56.1
1p5C,PAO,gas,2025,56.1
1p5C,PAO,gas,2030,56.1
1p5C,PAO,gas,2035,56.1
1p5C,PAO,gas,2040,56.1
1p5C,PAO,gas,2045,56.1
1p5C,PAO,gas,2050,56.1
1p5C,PAO,gas,2055,56.1
1p5C,PAO,gas,2060,56.1
1p5C,PAO,gas,2070,56.1
1p5C,PAO,gas,2080,56.1
1p5C,PAO,gas,2090,56.1
1p5C,PAO,gas,2100,56.1
1p5C,PAO,oil,2015,73.3
1p5C,PAO,oil,2020,73.3
1p5C,PAO,oil,2025,73.3
1p5C,PAO,oil,2030,73.3
1p5C,PAO,oil,2035,73.3
1p5C,PAO,oil,2040,73.3
1p5C,PAO,oil,2045,73.3
1p5C,PAO,oil,2050,73.3
1p5C,PAO,oil,2055,73.3
1p5C,PAO,oil,2060,73.3
1p5C,PAO,oil,2070,73.3
1p5C,PAO,oil,2080,73.3
1p5C,PAO,oil,2090,73.3
1p5C,PAO,oil,2100,73.3
1p5C,PAS,biomass_solid,2015,0
1p5C,PAS,biomass_solid,2020,0
1p5C,PAS,biomass_solid,2025,0
1p5C,PAS,biomass_solid,2030,0
1p5C,PAS,biomass_solid,2035,0
1p5C,PAS,biomass_solid,2040,0
1p5C,PAS,biomass_solid,2045,0
1p5C,PAS,biomass_solid,2050,0
1p5C,PAS,biomass_solid,2055,0
