region_bld,clim,urt,arch,eneff,en_dem_heat_sim,en_dem_cool_sim,n_days_cool
C-EEU-ROU,Zone_4A Mixed Humid,rur,comm,sr32_low,122.1170661,22.2194685,47.63194444
C-EEU-ROU,Zone_4A Mixed Humid,urb,comm,s1,205.6000455,21.58705767,41.68055556
C-EEU-ROU,Zone_4A Mixed Humid,urb,comm,s2,196.4497186,20.3948262,41.20138889
C-EEU-ROU,Zone_4A Mixed Humid,urb,comm,s3,122.9119295,21.73146189,47.63194444
C-EEU-ROU,Zone_4A Mixed Humid,urb,comm,s51_std,90.40097119,23.33358571,52.125
C-EEU-ROU,Zone_4A Mixed Humid,urb,comm,s52_low,40.89851457,28.2587129,61.85416667
C-EEU-ROU,Zone_4A Mixed Humid,urb,comm,sr11_std,205.6000455,21.58705767,41.68055556
C-EEU-ROU,Zone_4A Mixed Humid,urb,comm,sr12_low,205.6000455,21.58705767,41.68055556
C-EEU-ROU,Zone_4A Mixed Humid,urb,comm,sr21_std,196.4497186,20.3948262,41.20138889
C-EEU-ROU,Zone_4A Mixed Humid,urb,comm,sr22_low,196.4497186,20.3948262,41.20138889
C-EEU-ROU,Zone_4A Mixed Humid,urb,comm,sr31_std,122.9119295,21.73146189,47.63194444
C-EEU-ROU,Zone_4A Mixed Humid,urb,comm,sr32_low,122.9119295,21.73146189,47.63194444
C-EEU-ROU,Zone_5A Cool Humid,rur,comm,s1,246.2164148,8.913169149,19.51530612
C-EEU-ROU,Zone_5A Cool Humid,rur,comm,s2,235.3149838,8.40016416,19.16836735
C-EEU-ROU,Zone_5A Cool Humid,rur,comm,s3,147.7890152,9.831103795,23.87755102
C-EEU-ROU,Zone_5A Cool Humid,rur,comm,s51_std,109.3625775,11.23903896,27.64285714
C-EEU-ROU,Zone_5A Cool Humid,rur,comm,s52_low,50.66878052,16.24401864,39.01020408
C-EEU-ROU,Zone_5A Cool Humid,rur,comm,sr11_std,246.2164148,8.913169149,19.51530612
C-EEU-ROU,Zone_5A Cool Humid,rur,comm,sr12_low,246.2164148,8.913169149,19.51530612
C-EEU-ROU,Zone_5A Cool Humid,rur,comm,sr21_std,235.3149838,8.40016416,19.16836735
C-EEU-ROU,Zone_5A Cool Humid,rur,comm,sr22_low,235.3149838,8.40016416,19.16836735
C-EEU-ROU,Zone_5A Cool Humid,rur,comm,sr31_std,147.7890152,9.831103795,23.87755102
C-EEU-ROU,Zone_5A Cool Humid,rur,comm,sr32_low,147.7890152,9.831103795,23.87755102
C-EEU-ROU,Zone_5A Cool Humid,urb,comm,s1,250.7119855,7.762678629,19.51530612
C-EEU-ROU,Zone_5A Cool Humid,urb,comm,s2,239.6205137,7.317858678,19.16836735
