id,ISO,NAME,CZ,CLIMATE_ZONE,GLOBAL_SOUTH,REGION_GEA,t_bal_H,pop,popsum,sdd_h,sdd_h_avg
132,BTN,Bhutan,17.0,Zone_5C Cool Marine,1,SAS,20,total,110501.0,495131813.54599,4480.7903416800755
132,BTN,Bhutan,18.0,Zone_6A Cold Humid,1,SAS,20,total,36962.0,207408476.33514404,5611.397552490234
132,BTN,Bhutan,20.0,Zone_6C Cold Marine,1,SAS,20,total,16134.0,83031997.80670166,5146.398773193359
132,BTN,Bhutan,21.0,Zone_7A Very cold Humid,1,SAS,20,total,30151.0,234218010.87954712,7768.167254139071
132,BTN,Bhutan,24.0,Zone_8A Subarctic/arctic Humid,1,SAS,20,total,11813.0,94832003.12423706,8027.766284960388
133,BOL,Bolivia,0.0,Zone_0A Extremely hot Humid,1,LAC,20,total,265201.0,807552.4658966064,3.045058147957988
133,BOL,Bolivia,3.0,Zone_1A Very hot Humid,1,LAC,20,total,3059072.0,272784346.51904297,89.17225436963987
133,BOL,Bolivia,4.0,Zone_1B Very hot Dry,1,LAC,20,total,2700.0,512402.6184082031,189.77874755859375
133,BOL,Bolivia,6.0,Zone_2A Hot Humid,1,LAC,20,total,937668.0,163897112.61206055,174.79226401248687
133,BOL,Bolivia,7.0,Zone_2B Hot Dry,1,LAC,20,total,16838.0,4288405.972686768,254.68618438572085
133,BOL,Bolivia,8.0,Zone_2C Hot Marine,1,LAC,20,total,27735.0,7155773.8888549805,258.00518798828125
133,BOL,Bolivia,9.0,Zone_3A Warm Humid,1,LAC,20,total,161338.0,108297895.61506653,671.2485317474279
133,BOL,Bolivia,11.0,Zone_3C Warm Marine,1,LAC,20,total,1666666.0,3039550799.8845215,1823.7312094231966
133,BOL,Bolivia,12.0,Zone_4A Mixed Humid,1,LAC,20,total,979022.0,3262994040.1254883,3332.911865234375
133,BOL,Bolivia,14.0,Zone_4C Mixed Marine,1,LAC,20,total,922880.0,3114964439.0468597,3375.2648654720656
133,BOL,Bolivia,15.0,Zone_5A Cool Humid,1,LAC,20,total,830207.0,3669632229.059082,4420.1412768852615
133,BOL,Bolivia,16.0,Zone_5B Cool Dry,1,LAC,20,total,47231.0,213989978.24713135,4530.710301436162
133,BOL,Bolivia,17.0,Zone_5C Cool Marine,1,LAC,20,total,644541.0,2613089804.5353546,4054.187095212492
133,BOL,Bolivia,18.0,Zone_6A Cold Humid,1,LAC,20,total,364947.0,1907033471.3642273,5225.50800901015
133,BOL,Bolivia,19.0,Zone_6B Cold Dry,1,LAC,20,total,108938.0,523727226.59451294,4807.571523201389
133,BOL,Bolivia,22.0,Zone_7B Very cold Dry,1,LAC,20,total,1247.0,7494623.987609863,6010.1234864553835
134,BIH,Bosnia and Herzegovina,12.0,Zone_4A Mixed Humid,0,EEU,20,total,1314883.0,4446561763.687378,3381.716672652531
