Model,Scenario,Region,Variable,Unit,2015,2020,2023
History_R12,IEA Energy Statistics (r2024),R12_MEA,Final Energy|Residential and Commercial|Electricity,EJ/yr,3.39683,3.62361,3.96264
History_R12,IEA Energy Statistics (r2024),R12_MEA,Final Energy|Residential and Commercial|Solids|Biomass,EJ/yr,0.58564,0.60291,0.60913
History_R12,IEA Energy Statistics (r2024),R12_MEA,Final Energy|Residential and Commercial|Heat,EJ/yr,,,
History_R12,IEA Energy Statistics (r2024),R12_MEA,Final Energy|Transportation|Gases,EJ/yr,0.27647,0.30733,0.34194
History_R12,IEA Energy Statistics (r2024),R12_MEA,Final Energy|Transportation|Liquids,EJ/yr,8.62666,7.64756,8.9505
History_R12,IEA Energy Statistics (r2024),R12_MEA,Final Energy|Residential and Commercial,EJ/yr,7.90852,8.98049,9.46651
History_R12,IEA Energy Statistics (r2024),R12_MEA,Final Energy|Residential and Commercial|Solids|Coal,EJ/yr,0.00043,0.00036,0.00043
History_R12,IEA Energy Statistics (r2024),R12_NAM,Final Energy|Residential and Commercial|Gases,EJ/yr,8.79333,8.98129,9.60135
History_R12,IEA Energy Statistics (r2024),R12_NAM,Final Energy|Transportation|Electricity,EJ/yr,0.03633,0.04143,0.06473
History_R12,IEA Energy Statistics (r2024),R12_NAM,Final Energy|Residential and Commercial|Liquids,EJ/yr,2.17251,1.89462,1.99562
History_R12,IEA Energy Statistics (r2024),R12_NAM,Final Energy|Transportation,EJ/yr,28.47764,24.69846,28.10774
History_R12,IEA Energy Statistics (r2024),R12_NAM,Final Energy|Residential and Commercial|Electricity,EJ/yr,11.8198,12.2073,12.53881
History_R12,IEA Energy Statistics (r2024),R12_NAM,Final Energy|Residential and Commercial|Solids|Biomass,EJ/yr,0.51193,0.62989,0.74848
History_R12,IEA Energy Statistics (r2024),R12_NAM,Final Energy|Residential and Commercial|Heat,EJ/yr,0.05106,0.05363,0.04931
History_R12,IEA Energy Statistics (r2024),R12_NAM,Final Energy|Transportation|Gases,EJ/yr,0.04231,0.05249,0.06823
History_R12,IEA Energy Statistics (r2024),R12_NAM,Final Energy|Transportation|Liquids,EJ/yr,28.399,24.60454,27.97478
History_R12,IEA Energy Statistics (r2024),R12_NAM,Final Energy|Residential and Commercial,EJ/yr,23.49619,23.91834,25.10694
History_R12,IEA Energy Statistics (r2024),R12_NAM,Final Energy|Residential and Commercial|Solids|Coal,EJ/yr,0.03867,0.02092,0.02579
History_R12,IEA Energy Statistics (r2024),R12_PAO,Final Energy|Residential and Commercial|Gases,EJ/yr,0.96666,0.89445,0.91265
History_R12,IEA Energy Statistics (r2024),R12_PAO,Final Energy|Transportation|Electricity,EJ/yr,0.08378,0.08192,0.08347
History_R12,IEA Energy Statistics (r2024),R12_PAO,Final Energy|Residential and Commercial|Liquids,EJ/yr,1.34634,1.26131,1.12972
History_R12,IEA Energy Statistics (r2024),R12_PAO,Final Energy|Transportation,EJ/yr,5.0333,4.38572,4.45245
History_R12,IEA Energy Statistics (r2024),R12_PAO,Final Energy|Residential and Commercial|Electricity,EJ/yr,2.67205,2.6355,2.64044
History_R12,IEA Energy Statistics (r2024),R12_PAO,Final Energy|Residential and Commercial|Solids|Biomass,EJ/yr,0.10917,0.1523,0.15693
History_R12,IEA Energy Statistics (r2024),R12_PAO,Final Energy|Residential and Commercial|Heat,EJ/yr,0.02131,0.02126,0.02746
History_R12,IEA Energy Statistics (r2024),R12_PAO,Final Energy|Transportation|Gases,EJ/yr,0.00711,0.00459,0.00242
History_R12,IEA Energy Statistics (r2024),R12_PAO,Final Energy|Transportation|Liquids,EJ/yr,4.94234,4.29919,4.36654
History_R12,IEA Energy Statistics (r2024),R12_PAO,Final Energy|Residential and Commercial,EJ/yr,5.19791,5.04605,4.95197
History_R12,IEA Energy Statistics (r2024),R12_PAO,Final Energy|Residential and Commercial|Solids|Coal,EJ/yr,0.04783,0.04698,0.04874
History_R12,IEA Energy Statistics (r2024),R12_PAS,Final Energy|Residential and Commercial|Gases,EJ/yr,0.53731,0.60252,0.63831
History_R12,IEA Energy Statistics (r2024),R12_PAS,Final Energy|Transportation|Electricity,EJ/yr,0.02432,0.03104,0.03317
History_R12,IEA Energy Statistics (r2024),R12_PAS,Final Energy|Residential and Commercial|Liquids,EJ/yr,1.41895,1.43463,1.31854
History_R12,IEA Energy Statistics (r2024),R12_PAS,Final Energy|Transportation,EJ/yr,7.38807,6.97263,7.99093
History_R12,IEA Energy Statistics (r2024),R12_PAS,Final Energy|Residential and Commercial|Electricity,EJ/yr,2.57564,2.94403,3.11071
History_R12,IEA Energy Statistics (r2024),R12_PAS,Final Energy|Residential and Commercial|Solids|Biomass,EJ/yr,1.1167,0.99269,0.97917
History_R12,IEA Energy Statistics (r2024),R12_PAS,Final Energy|Residential and Commercial|Heat,EJ/yr,0.07508,0.10849,0.09933
History_R12,IEA Energy Statistics (r2024),R12_PAS,Final Energy|Transportation|Gases,EJ/yr,0.17152,0.09955,0.0886
History_R12,IEA Energy Statistics (r2024),R12_PAS,Final Energy|Transportation|Liquids,EJ/yr,7.19223,6.84204,7.86916
History_R12,IEA Energy Statistics (r2024),R12_PAS,Final Energy|Residential and Commercial,EJ/yr,5.78312,6.12872,6.19505
History_R12,IEA Energy Statistics (r2024),R12_PAS,Final Energy|Residential and Commercial|Solids|Coal,EJ/yr,0.0478,0.02992,0.02586
History_R12,IEA Energy Statistics (r2024),R12_RCPA,Final Energy|Residential and Commercial|Gases,EJ/yr,0,0,0
History_R12,IEA Energy Statistics (r2024),R12_RCPA,Final Energy|Transportation|Electricity,EJ/yr,,0.00195,0.00422
History_R12,IEA Energy Statistics (r2024),R12_RCPA,Final Energy|Residential and Commercial|Liquids,EJ/yr,0.16209,0.21681,0.2328
History_R12,IEA Energy Statistics (r2024),R12_RCPA,Final Energy|Transportation,EJ/yr,0.6359,0.75563,0.87488
History_R12,IEA Energy Statistics (r2024),R12_RCPA,Final Energy|Residential and Commercial|Electricity,EJ/yr,0.29299,0.42549,0.48243
History_R12,IEA Energy Statistics (r2024),R12_RCPA,Final Energy|Residential and Commercial|Solids|Biomass,EJ/yr,0.38615,0.38643,0.39219
History_R12,IEA Energy Statistics (r2024),R12_RCPA,Final Energy|Residential and Commercial|Heat,EJ/yr,0.03077,0.03774,0.04239
History_R12,IEA Energy Statistics (r2024),R12_RCPA,Final Energy|Transportation|Gases,EJ/yr,0.00046,0.00092,0.00059
History_R12,IEA Energy Statistics (r2024),R12_RCPA,Final Energy|Transportation|Liquids,EJ/yr,0.63475,0.71231,0.83587
History_R12,IEA Energy Statistics (r2024),R12_RCPA,Final Energy|Residential and Commercial,EJ/yr,0.97843,1.23255,1.29041
History_R12,IEA Energy Statistics (r2024),R12_RCPA,Final Energy|Residential and Commercial|Solids|Coal,EJ/yr,0.10643,0.16607,0.14059
History_R12,IEA Energy Statistics (r2024),R12_SAS,Final Energy|Residential and Commercial|Gases,EJ/yr,0.54358,0.71598,0.74451
History_R12,IEA Energy Statistics (r2024),R12_SAS,Final Energy|Transportation|Electricity,EJ/yr,0.05977,0.05282,0.09231
History_R12,IEA Energy Statistics (r2024),R12_SAS,Final Energy|Residential and Commercial|Liquids,EJ/yr,1.98801,2.16538,2.34695
History_R12,IEA Energy Statistics (r2024),R12_SAS,Final Energy|Transportation,EJ/yr,4.85953,5.15159,6.22067
History_R12,IEA Energy Statistics (r2024),R12_SAS,Final Energy|Residential and Commercial|Electricity,EJ/yr,2.48052,2.89174,3.42632
History_R12,IEA Energy Statistics (r2024),R12_SAS,Final Energy|Residential and Commercial|Solids|Biomass,EJ/yr,3.28646,3.24279,3.23411
History_R12,IEA Energy Statistics (r2024),R12_SAS,Final Energy|Residential and Commercial|Heat,EJ/yr,0,0,0
History_R12,IEA Energy Statistics (r2024),R12_SAS,Final Energy|Transportation|Gases,EJ/yr,0.18533,0.18584,0.20203
History_R12,IEA Energy Statistics (r2024),R12_SAS,Final Energy|Transportation|Liquids,EJ/yr,4.61443,4.91293,5.92633
History_R12,IEA Energy Statistics (r2024),R12_SAS,Final Energy|Residential and Commercial,EJ/yr,8.69884,9.49439,10.28161
History_R12,IEA Energy Statistics (r2024),R12_SAS,Final Energy|Residential and Commercial|Solids|Coal,EJ/yr,0.37022,0.42495,0.46179
History_R12,IEA Energy Statistics (r2024),R12_WEU,Final Energy|Residential and Commercial|Gases,EJ/yr,6.02477,6.20754,5.90785
History_R12,IEA Energy Statistics (r2024),R12_WEU,Final Energy|Transportation|Electricity,EJ/yr,0.201,0.2017,0.24462
History_R12,IEA Energy Statistics (r2024),R12_WEU,Final Energy|Residential and Commercial|Liquids,EJ/yr,2.86815,2.74351,2.48215
History_R12,IEA Energy Statistics (r2024),R12_WEU,Final Energy|Transportation,EJ/yr,14.75765,12.28003,14.56832
History_R12,IEA Energy Statistics (r2024),R12_WEU,Final Energy|Residential and Commercial|Electricity,EJ/yr,6.09635,5.99157,6.04041
History_R12,IEA Energy Statistics (r2024),R12_WEU,Final Energy|Residential and Commercial|Solids|Biomass,EJ/yr,0.9668,0.95109,1.04443
History_R12,IEA Energy Statistics (r2024),R12_WEU,Final Energy|Residential and Commercial|Heat,EJ/yr,0.89022,0.87934,0.88282
History_R12,IEA Energy Statistics (r2024),R12_WEU,Final Energy|Transportation|Gases,EJ/yr,0.07406,0.0814,0.09071
History_R12,IEA Energy Statistics (r2024),R12_WEU,Final Energy|Transportation|Liquids,EJ/yr,14.48219,11.99656,14.23257
History_R12,IEA Energy Statistics (r2024),R12_WEU,Final Energy|Residential and Commercial,EJ/yr,17.38784,17.27351,16.80289
History_R12,IEA Energy Statistics (r2024),R12_WEU,Final Energy|Residential and Commercial|Solids|Coal,EJ/yr,0.33994,0.27714,0.20365
