country,sector,scenario,material,year,mat_stock_Mt,mat_demand_Mt,mat_scrap_Mt
LTU,Residential,N_r,concrete,2055,51.09575067814637,0.1703712812682344,0.494908225064239
LTU,Residential,N_r,concrete,2060,49.89265635285776,0.14821993517254825,0.46911934365397306
LTU,Residential,N_r,concrete,2070,47.801026194086525,0.1655686063122673,0.4438125027643112
LTU,Residential,N_r,concrete,2080,46.2332484299597,0.1693998386510461,0.37350240612229596
LTU,Residential,N_r,concrete,2090,44.994794737593224,0.1540028700905577,0.3054830439168253
LTU,Residential,N_r,concrete,2100,44.04376993389201,0.13989856577958656,0.24779980805991103
LTU,Residential,N_r,copper,2025,0.01695228431150822,8.092124250897276e-5,1.558951593816608e-4
LTU,Residential,N_r,copper,2030,0.016167709054415755,5.427669445629571e-5,1.5644606266424082e-4
LTU,Residential,N_r,copper,2035,0.01539679921653533,5.0981982966702336e-5,1.5291845303777663e-4
LTU,Residential,N_r,copper,2040,0.014646262045680968,4.800037355774426e-5,1.4737379048510168e-4
LTU,Residential,N_r,copper,2045,0.013938017560770817,4.6896526274101344e-5,1.402766673584018e-4
LTU,Residential,N_r,copper,2050,0.013256730401572221,4.4694233081607545e-5,1.3208956617654152e-4
LTU,Residential,N_r,copper,2055,0.012931906462968296,4.189392250995115e-5,1.2582602500303564e-4
LTU,Residential,N_r,copper,2060,0.012589352945317543,3.6534090500660805e-5,1.1916140494077704e-4
LTU,Residential,N_r,copper,2070,0.011993764321574209,4.0469757791888804e-5,1.1243550251075672e-4
LTU,Residential,N_r,copper,2080,0.011541154304335796,4.107584792936032e-5,9.418649708460528e-5
LTU,Residential,N_r,copper,2090,0.011180180576724192,3.7177720752697705e-5,7.67077185882138e-5
LTU,Residential,N_r,copper,2100,0.0108984793720663,3.371490787945596e-5,6.198864408836175e-5
LTU,Residential,N_r,glass,2025,0.42833551786737056,0.0016907638272306695,0.0036689565088576298
LTU,Residential,N_r,glass,2030,0.40305908695444037,8.933766301418885e-4,0.0037095683918916098
LTU,Residential,N_r,glass,2035,0.37751373538278865,8.460597386531305e-4,0.0036252969521153554
LTU,Residential,N_r,glass,2040,0.35298291628082,8.043475585868018e-4,0.0034849808433742393
LTU,Residential,N_r,glass,2045,0.33070528834768803,7.922092754469622e-4,0.003306065082472729
LTU,Residential,N_r,glass,2050,0.31068051513005923,7.575480333891406e-4,0.0031065861198893833
LTU,Residential,N_r,glass,2055,0.30184266202927484,9.409230918795735e-4,0.0029540329884530205
LTU,Residential,N_r,glass,2060,0.29270063873404756,8.23244700504288e-4,0.002794327502416895
LTU,Residential,N_r,glass,2070,0.27680444536211724,9.013965963297382e-4,0.0026276705385704117
LTU,Residential,N_r,glass,2080,0.2645586658623834,9.045915769615386e-4,0.0021880425860828783
LTU,Residential,N_r,glass,2090,0.2547013981024038,8.135670211580717e-4,0.0017721297723024057
LTU,Residential,N_r,glass,2100,0.24689102978181282,7.359609983127733e-4,0.0014249602401619384
LTU,Residential,N_r,steel,2025,2.603412541615581,0.01777831334834104,0.028024897297486813
LTU,Residential,N_r,steel,2030,2.5286349761075018,0.01546259366697138,0.027359624592652867
LTU,Residential,N_r,steel,2035,2.4209928604897035,0.014192833491129,0.025942424834601522
LTU,Residential,N_r,steel,2040,2.3026798862214197,0.01299065997952347,0.02420188105875679
LTU,Residential,N_r,steel,2045,2.1970255230438127,0.01238730741894774,0.022458479180895233
LTU,Residential,N_r,steel,2050,2.120084859832888,0.011683849577295659,0.020952681100917386
LTU,Residential,N_r,steel,2055,2.0873116590228045,0.007339716750559399,0.020041156911884322
LTU,Residential,N_r,steel,2060,2.049960931030292,0.006358413290209916,0.019030326739606803
LTU,Residential,N_r,steel,2070,1.9850390355377765,0.007208193344781264,0.01809599704196779
