Model,Scenario,Region,Variable,Unit,2020,2025
MESSAGEix-Buildings,EU_implementation,R12_C-WEU-BEL,Final Energy|Residential|Gases,EJ/yr,0.06505,0.0655
MESSAGEix-Buildings,EU_implementation,R12_C-WEU-BEL,Final Energy|Residential|Heat,EJ/yr,3e-5,3e-5
MESSAGEix-Buildings,EU_implementation,R12_C-WEU-BEL,Final Energy|Residential|Heating|Space,EJ/yr,0.10041,0.10218000000000001
MESSAGEix-Buildings,EU_implementation,R12_C-WEU-BEL,Final Energy|Residential|Heating|Water,EJ/yr,0.06279,0.06428
MESSAGEix-Buildings,EU_implementation,R12_C-WEU-BEL,Final Energy|Residential|Liquids,EJ/yr,0.07652,0.07894
MESSAGEix-Buildings,EU_implementation,R12_C-WEU-BEL,Final Energy|Residential|Other,EJ/yr,0,0
MESSAGEix-Buildings,EU_implementation,R12_C-WEU-BEL,Final Energy|Residential|Solids|Biomass,EJ/yr,0.00952,0.00951
MESSAGEix-Buildings,EU_implementation,R12_C-WEU-BEL,Final Energy|Residential|Solids|Fossil,EJ/yr,0.00159,0.00155
MESSAGEix-Buildings,EU_implementation,R12_C-WEU-CYP,Final Energy|Residential|Cooling,EJ/yr,5.1e-4,5.6e-4
MESSAGEix-Buildings,EU_implementation,R12_C-WEU-CYP,Final Energy|Residential|Electricity,EJ/yr,0.0022500000000000003,0.00238
MESSAGEix-Buildings,EU_implementation,R12_C-WEU-CYP,Final Energy|Residential|Heating|Space,EJ/yr,0.00179,0.00179
MESSAGEix-Buildings,EU_implementation,R12_C-WEU-CYP,Final Energy|Residential|Heating|Water,EJ/yr,0.00669,0.00712
MESSAGEix-Buildings,EU_implementation,R12_C-WEU-CYP,Final Energy|Residential|Liquids,EJ/yr,0.00627,0.00658
MESSAGEix-Buildings,EU_implementation,R12_C-WEU-CYP,Final Energy|Residential|Other,EJ/yr,0,0
MESSAGEix-Buildings,EU_implementation,R12_C-WEU-CYP,Final Energy|Residential|Solids|Biomass,EJ/yr,4.7e-4,5.2e-4
MESSAGEix-Buildings,EU_implementation,R12_C-WEU-DEU,Final Energy|Residential|Cooling,EJ/yr,7.8e-4,8e-4
MESSAGEix-Buildings,EU_implementation,R12_C-WEU-DEU,Final Energy|Residential|Electricity,EJ/yr,0.11319,0.10785
MESSAGEix-Buildings,EU_implementation,R12_C-WEU-DEU,Final Energy|Residential|Gases,EJ/yr,1.05846,1.02758
MESSAGEix-Buildings,EU_implementation,R12_C-WEU-DEU,Final Energy|Residential|Heat,EJ/yr,0.25035,0.24693
MESSAGEix-Buildings,EU_implementation,R12_C-WEU-DEU,Final Energy|Residential|Heating|Space,EJ/yr,1.92255,1.84268
MESSAGEix-Buildings,EU_implementation,R12_C-WEU-DEU,Final Energy|Residential|Heating|Water,EJ/yr,0.43,0.42756
MESSAGEix-Buildings,EU_implementation,R12_C-WEU-DEU,Final Energy|Residential|Liquids,EJ/yr,0.62425,0.59166
MESSAGEix-Buildings,EU_implementation,R12_C-WEU-DEU,Final Energy|Residential|Other,EJ/yr,0,0
MESSAGEix-Buildings,EU_implementation,R12_C-WEU-DEU,Final Energy|Residential|Solids|Biomass,EJ/yr,0.27784,0.2695
MESSAGEix-Buildings,EU_implementation,R12_C-WEU-DEU,Final Energy|Residential|Solids|Fossil,EJ/yr,0.02925,0.02751
MESSAGEix-Buildings,EU_implementation,R12_C-WEU-DNK,Final Energy|Residential|Cooling,EJ/yr,1e-5,1e-5
MESSAGEix-Buildings,EU_implementation,R12_C-WEU-DNK,Final Energy|Residential|Electricity,EJ/yr,0.007699999999999999,0.007359999999999999
MESSAGEix-Buildings,EU_implementation,R12_C-WEU-DNK,Final Energy|Residential|Gases,EJ/yr,0.03493,0.03352
MESSAGEix-Buildings,EU_implementation,R12_C-WEU-DNK,Final Energy|Residential|Heat,EJ/yr,0.09817,0.09336
MESSAGEix-Buildings,EU_implementation,R12_C-WEU-DNK,Final Energy|Residential|Heating|Space,EJ/yr,0.18293,0.17574
MESSAGEix-Buildings,EU_implementation,R12_C-WEU-DNK,Final Energy|Residential|Heating|Water,EJ/yr,0.02737,0.02823
MESSAGEix-Buildings,EU_implementation,R12_C-WEU-DNK,Final Energy|Residential|Liquids,EJ/yr,0.01443,0.01442
MESSAGEix-Buildings,EU_implementation,R12_C-WEU-DNK,Final Energy|Residential|Other,EJ/yr,0,0
MESSAGEix-Buildings,EU_implementation,R12_C-WEU-DNK,Final Energy|Residential|Solids|Biomass,EJ/yr,0.05508,0.05531
MESSAGEix-Buildings,EU_implementation,R12_C-WEU-ESP,Final Energy|Residential|Cooling,EJ/yr,0.01038,0.01076
MESSAGEix-Buildings,EU_implementation,R12_C-WEU-ESP,Final Energy|Residential|Electricity,EJ/yr,0.08893,0.0879
MESSAGEix-Buildings,EU_implementation,R12_C-WEU-ESP,Final Energy|Residential|Gases,EJ/yr,0.13045,0.12581
MESSAGEix-Buildings,EU_implementation,R12_C-WEU-ESP,Final Energy|Residential|Heating|Space,EJ/yr,0.23919,0.23722
MESSAGEix-Buildings,EU_implementation,R12_C-WEU-ESP,Final Energy|Residential|Heating|Water,EJ/yr,0.24303,0.25071
MESSAGEix-Buildings,EU_implementation,R12_C-WEU-ESP,Final Energy|Residential|Liquids,EJ/yr,0.13768,0.15312
MESSAGEix-Buildings,EU_implementation,R12_C-WEU-ESP,Final Energy|Residential|Other,EJ/yr,0,0
MESSAGEix-Buildings,EU_implementation,R12_C-WEU-ESP,Final Energy|Residential|Solids|Biomass,EJ/yr,0.12936,0.1259
MESSAGEix-Buildings,EU_implementation,R12_C-WEU-ESP,Final Energy|Residential|Solids|Fossil,EJ/yr,0.00618,0.00595
MESSAGEix-Buildings,EU_implementation,R12_C-WEU-FIN,Final Energy|Residential|Cooling,EJ/yr,0,1e-5
MESSAGEix-Buildings,EU_implementation,R12_C-WEU-FIN,Final Energy|Residential|Electricity,EJ/yr,0.09102,0.08735
MESSAGEix-Buildings,EU_implementation,R12_C-WEU-FIN,Final Energy|Residential|Gases,EJ/yr,0.00189,0.00177
MESSAGEix-Buildings,EU_implementation,R12_C-WEU-FIN,Final Energy|Residential|Heat,EJ/yr,0.11485,0.11103
MESSAGEix-Buildings,EU_implementation,R12_C-WEU-FIN,Final Energy|Residential|Heating|Space,EJ/yr,0.29217,0.27936
MESSAGEix-Buildings,EU_implementation,R12_C-WEU-FIN,Final Energy|Residential|Heating|Water,EJ/yr,0.02579,0.02628
MESSAGEix-Buildings,EU_implementation,R12_C-WEU-FIN,Final Energy|Residential|Liquids,EJ/yr,0.03204,0.03079
MESSAGEix-Buildings,EU_implementation,R12_C-WEU-FIN,Final Energy|Residential|Other,EJ/yr,0,0
MESSAGEix-Buildings,EU_implementation,R12_C-WEU-FIN,Final Energy|Residential|Solids|Biomass,EJ/yr,0.0779,0.07445
MESSAGEix-Buildings,EU_implementation,R12_C-WEU-FIN,Final Energy|Residential|Solids|Fossil,EJ/yr,2.7e-4,2.5e-4
MESSAGEix-Buildings,EU_implementation,R12_C-WEU-FRA,Final Energy|Residential|Cooling,EJ/yr,6.2e-4,0.00106
MESSAGEix-Buildings,EU_implementation,R12_C-WEU-FRA,Final Energy|Residential|Electricity,EJ/yr,0.13598000000000002,0.13783
MESSAGEix-Buildings,EU_implementation,R12_C-WEU-FRA,Final Energy|Residential|Gases,EJ/yr,0.40631,0.40322
MESSAGEix-Buildings,EU_implementation,R12_C-WEU-FRA,Final Energy|Residential|Heat,EJ/yr,0.06522,0.06498
MESSAGEix-Buildings,EU_implementation,R12_C-WEU-FRA,Final Energy|Residential|Heating|Space,EJ/yr,0.85027,0.84324
MESSAGEix-Buildings,EU_implementation,R12_C-WEU-FRA,Final Energy|Residential|Heating|Water,EJ/yr,0.34365,0.35386
MESSAGEix-Buildings,EU_implementation,R12_C-WEU-FRA,Final Energy|Residential|Liquids,EJ/yr,0.28562,0.28837
MESSAGEix-Buildings,EU_implementation,R12_C-WEU-FRA,Final Energy|Residential|Other,EJ/yr,0,0
MESSAGEix-Buildings,EU_implementation,R12_C-WEU-FRA,Final Energy|Residential|Solids|Biomass,EJ/yr,0.3,0.3024
MESSAGEix-Buildings,EU_implementation,R12_C-WEU-FRA,Final Energy|Residential|Solids|Fossil,EJ/yr,0.00141,0.00136
MESSAGEix-Buildings,EU_implementation,R12_C-WEU-GBR,Final Energy|Residential|Cooling,EJ/yr,1e-5,1e-5
MESSAGEix-Buildings,EU_implementation,R12_C-WEU-GBR,Final Energy|Residential|Electricity,EJ/yr,0.15872,0.15815
MESSAGEix-Buildings,EU_implementation,R12_C-WEU-GBR,Final Energy|Residential|Gases,EJ/yr,1.21778,1.2151
MESSAGEix-Buildings,EU_implementation,R12_C-WEU-GBR,Final Energy|Residential|Heat,EJ/yr,0.00264,0.00255
MESSAGEix-Buildings,EU_implementation,R12_C-WEU-GBR,Final Energy|Residential|Heating|Space,EJ/yr,1.29058,1.27718
MESSAGEix-Buildings,EU_implementation,R12_C-WEU-GBR,Final Energy|Residential|Heating|Water,EJ/yr,0.33547,0.34508
MESSAGEix-Buildings,EU_implementation,R12_C-WEU-GBR,Final Energy|Residential|Liquids,EJ/yr,0.12694,0.12721
MESSAGEix-Buildings,EU_implementation,R12_C-WEU-GBR,Final Energy|Residential|Other,EJ/yr,0,0
MESSAGEix-Buildings,EU_implementation,R12_C-WEU-GBR,Final Energy|Residential|Solids|Biomass,EJ/yr,0.09143,0.09173
MESSAGEix-Buildings,EU_implementation,R12_C-WEU-GBR,Final Energy|Residential|Solids|Fossil,EJ/yr,0.02855,0.02753
MESSAGEix-Buildings,EU_implementation,R12_C-WEU-GRC,Final Energy|Residential|Cooling,EJ/yr,0.00328,0.00351
MESSAGEix-Buildings,EU_implementation,R12_C-WEU-GRC,Final Energy|Residential|Electricity,EJ/yr,0.00927,0.00988
MESSAGEix-Buildings,EU_implementation,R12_C-WEU-GRC,Final Energy|Residential|Gases,EJ/yr,0.01208,0.01266
MESSAGEix-Buildings,EU_implementation,R12_C-WEU-GRC,Final Energy|Residential|Heat,EJ/yr,0.00212,0.00202
MESSAGEix-Buildings,EU_implementation,R12_C-WEU-GRC,Final Energy|Residential|Heating|Space,EJ/yr,0.05906,0.05745
MESSAGEix-Buildings,EU_implementation,R12_C-WEU-GRC,Final Energy|Residential|Heating|Water,EJ/yr,0.06467,0.06451
MESSAGEix-Buildings,EU_implementation,R12_C-WEU-GRC,Final Energy|Residential|Liquids,EJ/yr,0.07041,0.06938
MESSAGEix-Buildings,EU_implementation,R12_C-WEU-GRC,Final Energy|Residential|Other,EJ/yr,0,0
MESSAGEix-Buildings,EU_implementation,R12_C-WEU-GRC,Final Energy|Residential|Solids|Biomass,EJ/yr,0.03313,0.03153
MESSAGEix-Buildings,EU_implementation,R12_C-WEU-IRL,Final Energy|Residential|Cooling,EJ/yr,0,0
MESSAGEix-Buildings,EU_implementation,R12_C-WEU-IRL,Final Energy|Residential|Electricity,EJ/yr,0.00871,0.00884
MESSAGEix-Buildings,EU_implementation,R12_C-WEU-IRL,Final Energy|Residential|Gases,EJ/yr,0.03369,0.03317
MESSAGEix-Buildings,EU_implementation,R12_C-WEU-IRL,Final Energy|Residential|Heating|Space,EJ/yr,0.10877,0.10785
MESSAGEix-Buildings,EU_implementation,R12_C-WEU-IRL,Final Energy|Residential|Heating|Water,EJ/yr,0.03064,0.0321
MESSAGEix-Buildings,EU_implementation,R12_C-WEU-IRL,Final Energy|Residential|Liquids,EJ/yr,0.07259,0.07421
MESSAGEix-Buildings,EU_implementation,R12_C-WEU-IRL,Final Energy|Residential|Other,EJ/yr,0,0
MESSAGEix-Buildings,EU_implementation,R12_C-WEU-IRL,Final Energy|Residential|Solids|Biomass,EJ/yr,0.00233,0.00248
MESSAGEix-Buildings,EU_implementation,R12_C-WEU-IRL,Final Energy|Residential|Solids|Fossil,EJ/yr,0.02209,0.02125
MESSAGEix-Buildings,EU_implementation,R12_C-WEU-ITA,Final Energy|Residential|Cooling,EJ/yr,0.00836,0.0096
MESSAGEix-Buildings,EU_implementation,R12_C-WEU-ITA,Final Energy|Residential|Electricity,EJ/yr,0.01183,0.012989999999999998
MESSAGEix-Buildings,EU_implementation,R12_C-WEU-ITA,Final Energy|Residential|Gases,EJ/yr,0.53489,0.53527
MESSAGEix-Buildings,EU_implementation,R12_C-WEU-ITA,Final Energy|Residential|Heat,EJ/yr,0.02218,0.02129
MESSAGEix-Buildings,EU_implementation,R12_C-WEU-ITA,Final Energy|Residential|Heating|Space,EJ/yr,0.43514,0.42899
MESSAGEix-Buildings,EU_implementation,R12_C-WEU-ITA,Final Energy|Residential|Heating|Water,EJ/yr,0.31301,0.31307
MESSAGEix-Buildings,EU_implementation,R12_C-WEU-ITA,Final Energy|Residential|Liquids,EJ/yr,0.03866,0.03705
MESSAGEix-Buildings,EU_implementation,R12_C-WEU-ITA,Final Energy|Residential|Other,EJ/yr,0,0
MESSAGEix-Buildings,EU_implementation,R12_C-WEU-ITA,Final Energy|Residential|Solids|Biomass,EJ/yr,0.14895,0.14506
MESSAGEix-Buildings,EU_implementation,R12_C-WEU-LUX,Final Energy|Residential|Cooling,EJ/yr,0,0
MESSAGEix-Buildings,EU_implementation,R12_C-WEU-LUX,Final Energy|Residential|Electricity,EJ/yr,9.9e-4,9.8e-4
MESSAGEix-Buildings,EU_implementation,R12_C-WEU-LUX,Final Energy|Residential|Gases,EJ/yr,0.00991,0.00996
MESSAGEix-Buildings,EU_implementation,R12_C-WEU-LUX,Final Energy|Residential|Heating|Space,EJ/yr,0.01595,0.01573
MESSAGEix-Buildings,EU_implementation,R12_C-WEU-LUX,Final Energy|Residential|Heating|Water,EJ/yr,0.00335,0.00358
MESSAGEix-Buildings,EU_implementation,R12_C-WEU-LUX,Final Energy|Residential|Liquids,EJ/yr,0.00753,0.0075
MESSAGEix-Buildings,EU_implementation,R12_C-WEU-LUX,Final Energy|Residential|Other,EJ/yr,0,0
MESSAGEix-Buildings,EU_implementation,R12_C-WEU-LUX,Final Energy|Residential|Solids|Biomass,EJ/yr,7.6e-4,7.2e-4
MESSAGEix-Buildings,EU_implementation,R12_C-WEU-LUX,Final Energy|Residential|Solids|Fossil,EJ/yr,1.1e-4,1.5e-4
MESSAGEix-Buildings,EU_implementation,R12_C-WEU-NLD,Final Energy|Residential|Cooling,EJ/yr,6e-5,6e-5
MESSAGEix-Buildings,EU_implementation,R12_C-WEU-NLD,Final Energy|Residential|Electricity,EJ/yr,0.01099,0.010629999999999999
MESSAGEix-Buildings,EU_implementation,R12_C-WEU-NLD,Final Energy|Residential|Gases,EJ/yr,0.43489,0.42399
MESSAGEix-Buildings,EU_implementation,R12_C-WEU-NLD,Final Energy|Residential|Heat,EJ/yr,0.02069,0.02015
MESSAGEix-Buildings,EU_implementation,R12_C-WEU-NLD,Final Energy|Residential|Heating|Space,EJ/yr,0.40674,0.39261
MESSAGEix-Buildings,EU_implementation,R12_C-WEU-NLD,Final Energy|Residential|Heating|Water,EJ/yr,0.08771,0.08912
MESSAGEix-Buildings,EU_implementation,R12_C-WEU-NLD,Final Energy|Residential|Liquids,EJ/yr,8.3e-4,7.8e-4
MESSAGEix-Buildings,EU_implementation,R12_C-WEU-NLD,Final Energy|Residential|Other,EJ/yr,0,0
MESSAGEix-Buildings,EU_implementation,R12_C-WEU-NLD,Final Energy|Residential|Solids|Biomass,EJ/yr,0.02709,0.02621
MESSAGEix-Buildings,EU_implementation,R12_C-WEU-NLD,Final Energy|Residential|Solids|Fossil,EJ/yr,3e-5,3e-5
MESSAGEix-Buildings,EU_implementation,R12_C-WEU-PRT,Final Energy|Residential|Cooling,EJ/yr,9.9e-4,0.00107
MESSAGEix-Buildings,EU_implementation,R12_C-WEU-PRT,Final Energy|Residential|Electricity,EJ/yr,0.00355,0.00358
MESSAGEix-Buildings,EU_implementation,R12_C-WEU-PRT,Final Energy|Residential|Gases,EJ/yr,0.01187,0.0115
MESSAGEix-Buildings,EU_implementation,R12_C-WEU-PRT,Final Energy|Residential|Heat,EJ/yr,8e-5,7e-5
MESSAGEix-Buildings,EU_implementation,R12_C-WEU-PRT,Final Energy|Residential|Heating|Space,EJ/yr,0.02741,0.02672
MESSAGEix-Buildings,EU_implementation,R12_C-WEU-PRT,Final Energy|Residential|Heating|Water,EJ/yr,0.05813,0.05864
MESSAGEix-Buildings,EU_implementation,R12_C-WEU-PRT,Final Energy|Residential|Liquids,EJ/yr,0.00917,0.00878
MESSAGEix-Buildings,EU_implementation,R12_C-WEU-PRT,Final Energy|Residential|Other,EJ/yr,0,0
MESSAGEix-Buildings,EU_implementation,R12_C-WEU-PRT,Final Energy|Residential|Solids|Biomass,EJ/yr,0.06187,0.06251
MESSAGEix-Buildings,EU_implementation,R12_C-WEU-SWE,Final Energy|Residential|Cooling,EJ/yr,2e-5,2e-5
MESSAGEix-Buildings,EU_implementation,R12_C-WEU-SWE,Final Energy|Residential|Electricity,EJ/yr,0.11799000000000001,0.11754
MESSAGEix-Buildings,EU_implementation,R12_C-WEU-SWE,Final Energy|Residential|Gases,EJ/yr,0.0027,0.00257
MESSAGEix-Buildings,EU_implementation,R12_C-WEU-SWE,Final Energy|Residential|Heat,EJ/yr,0.09935,0.09581
MESSAGEix-Buildings,EU_implementation,R12_C-WEU-SWE,Final Energy|Residential|Heating|Space,EJ/yr,0.20906,0.20173
MESSAGEix-Buildings,EU_implementation,R12_C-WEU-SWE,Final Energy|Residential|Heating|Water,EJ/yr,0.04248,0.04418
MESSAGEix-Buildings,EU_implementation,R12_C-WEU-SWE,Final Energy|Residential|Liquids,EJ/yr,0.00112,0.00107
MESSAGEix-Buildings,EU_implementation,R12_C-WEU-SWE,Final Energy|Residential|Other,EJ/yr,0,0
MESSAGEix-Buildings,EU_implementation,R12_C-WEU-SWE,Final Energy|Residential|Solids|Biomass,EJ/yr,0.03039,0.02893
