Model,Scenario,Region,Variable,Unit,2025,2030,2035,2040,2045,2050
MESSAGEix-Buildings,SSP1,R12_EEU,Final Energy|Residential|Electricity,EJ/yr,0.15993,0.19266,0.21763,0.23376,0.24115,0.24243
MESSAGEix-Buildings,SSP1,R12_EEU,Final Energy|Residential|Gases,EJ/yr,0.37943,0.29422,0.21959,0.16591,0.1284,0.10459
MESSAGEix-Buildings,SSP1,R12_EEU,Final Energy|Residential|Heat,EJ/yr,0.39595,0.42784,0.45309,0.47131,0.48319,0.48981
MESSAGEix-Buildings,SSP1,R12_EEU,Final Energy|Residential|Heating|Space,EJ/yr,1.26293,1.08432,0.92646,0.80124,0.70598,0.63048
MESSAGEix-Buildings,SSP1,R12_EEU,Final Energy|Residential|Heating|Water,EJ/yr,0.38406,0.39431,0.39869,0.39757,0.39243,0.38493
MESSAGEix-Buildings,SSP1,R12_EEU,Final Energy|Residential|Liquids,EJ/yr,0.04887,0.03641,0.02571,0.01759,0.01191,0.00794
MESSAGEix-Buildings,SSP1,R12_EEU,Final Energy|Residential|Other,EJ/yr,0,0,0,0,0,0
MESSAGEix-Buildings,SSP1,R12_EEU,Final Energy|Residential|Solids|Biomass,EJ/yr,0.28258,0.2163,0.16,0.11529,0.08419,0.06014
MESSAGEix-Buildings,SSP1,R12_EEU,Final Energy|Residential|Solids|Fossil,EJ/yr,0.38203,0.31328,0.25142,0.19741,0.15218,0.11316
MESSAGEix-Buildings,SSP1,R12_FSU,Final Energy|Residential|Cooling,EJ/yr,0.00742,0.01059,0.01425,0.01749,0.02022,0.0226
MESSAGEix-Buildings,SSP1,R12_FSU,Final Energy|Residential|Electricity,EJ/yr,0.28623,0.35411,0.39277,0.39785,0.38355,0.36087
MESSAGEix-Buildings,SSP1,R12_FSU,Final Energy|Residential|Gases,EJ/yr,1.26324,0.90112,0.60453,0.41306,0.29096,0.2122
MESSAGEix-Buildings,SSP1,R12_FSU,Final Energy|Residential|Heat,EJ/yr,3.4116,3.69309,3.91934,4.09425,4.22607,4.31395
MESSAGEix-Buildings,SSP1,R12_FSU,Final Energy|Residential|Heating|Space,EJ/yr,4.27887,4.09078,3.91698,3.8089,3.74627,3.69992
MESSAGEix-Buildings,SSP1,R12_FSU,Final Energy|Residential|Heating|Water,EJ/yr,1.4597,1.42777,1.39365,1.3617,1.33307,1.30339
