Model,Scenario,Region,Variable,Unit,2020,2025,2030,2035,2040,2045,2050
MESSAGEix-Buildings,"NAV_Dem-NPi-ref",R12_CHN,Final Energy|Residential|Heating|Space,EJ/yr,5.00857,5.1254,5.12571,5.07915,4.94986,4.76777,4.52018
MESSAGEix-Buildings,"NAV_Dem-NPi-ref",R12_CHN,Final Energy|Residential|Heating|Water,EJ/yr,5.98814,6.81347,7.34314,7.57636,7.61704,7.52927,7.29789
MESSAGEix-Buildings,"NAV_Dem-NPi-ref",R12_CHN,Final Energy|Residential|Liquids,EJ/yr,0.31817,0.51416,0.69672,0.88076,1.03755,1.12457,1.12258
MESSAGEix-Buildings,"NAV_Dem-NPi-ref",R12_CHN,Final Energy|Residential|Other,EJ/yr,0,0,0,0,0,0,0
MESSAGEix-Buildings,"NAV_Dem-NPi-ref",R12_CHN,Final Energy|Residential|Solids|Biomass,EJ/yr,3.25678,3.34345,3.30393,3.15975,2.95139,2.75013,2.48805
MESSAGEix-Buildings,"NAV_Dem-NPi-ref",R12_CHN,Final Energy|Residential|Solids|Fossil,EJ/yr,4.0499,4.15575,4.12009,3.9587,3.74193,3.49322,3.22752
MESSAGEix-Buildings,"NAV_Dem-NPi-ref",R12_EEU,Final Energy|Residential|Cooling,EJ/yr,0.0016,0.00189,0.00214,0.00239,0.0026,0.00283,0.00302
MESSAGEix-Buildings,"NAV_Dem-NPi-ref",R12_EEU,Final Energy|Residential|Electricity,EJ/yr,0.14873999999999998,0.17744000000000001,0.21014,0.23711000000000002,0.26071,0.27936,0.29274
MESSAGEix-Buildings,"NAV_Dem-NPi-ref",R12_EEU,Final Energy|Residential|Gases,EJ/yr,0.44382,0.41425,0.36969,0.32886,0.28999,0.25474,0.22586
MESSAGEix-Buildings,"NAV_Dem-NPi-ref",R12_EEU,Final Energy|Residential|Heat,EJ/yr,0.36114,0.38769,0.41198,0.43305,0.45064,0.46487,0.47622
MESSAGEix-Buildings,"NAV_Dem-NPi-ref",R12_EEU,Final Energy|Residential|Heating|Space,EJ/yr,1.42712,1.37701,1.29954,1.2243,1.14998,1.08041,1.01489
MESSAGEix-Buildings,"NAV_Dem-NPi-ref",R12_EEU,Final Energy|Residential|Heating|Water,EJ/yr,0.37491,0.40803,0.43457,0.45505,0.46775,0.47373,0.47515
MESSAGEix-Buildings,"NAV_Dem-NPi-ref",R12_EEU,Final Energy|Residential|Liquids,EJ/yr,0.05809,0.05356,0.04666,0.04036,0.03423,0.02875,0.02394
MESSAGEix-Buildings,"NAV_Dem-NPi-ref",R12_EEU,Final Energy|Residential|Other,EJ/yr,0,0,0,0,0,0,0
MESSAGEix-Buildings,"NAV_Dem-NPi-ref",R12_EEU,Final Energy|Residential|Solids|Biomass,EJ/yr,0.36621,0.3448,0.31791,0.29131,0.26471,0.24034,0.21735
MESSAGEix-Buildings,"NAV_Dem-NPi-ref",R12_EEU,Final Energy|Residential|Solids|Fossil,EJ/yr,0.42564,0.40919,0.37987,0.35105,0.32006,0.28891,0.25695
