country,clim,urt,value
CHN,Zone_7B Very cold Dry,rur,0.00622344887117304
CHN,Zone_8A Subarctic/arctic Humid,urb,2.03731287563341e-5
CHN,Zone_8A Subarctic/arctic Humid,rur,0.00746213508874483
CIV,Zone_0A Extremely hot Humid,urb,0.734485137904278
CIV,Zone_0A Extremely hot Humid,rur,0.528275008330781
CIV,Zone_1A Very hot Humid,urb,0.265514862095722
CIV,Zone_1A Very hot Humid,rur,0.471724991669219
CMR,Zone_0A Extremely hot Humid,urb,0.393421305062719
CMR,Zone_0A Extremely hot Humid,rur,0.218764223471116
CMR,Zone_1A Very hot Humid,urb,0.265868529792931
CMR,Zone_1A Very hot Humid,rur,0.597882662743733
CMR,Zone_2A Hot Humid,urb,0.34071016514435
CMR,Zone_2A Hot Humid,rur,0.183353113785151
COD,Zone_1A Very hot Humid,urb,0.686687934093194
COD,Zone_1A Very hot Humid,rur,0.82360221351521
COD,Zone_2A Hot Humid,urb,0.211411507851083
COD,Zone_2A Hot Humid,rur,0.166794809845312
COD,Zone_3C Warm Marine,urb,0.101900558055723
COD,Zone_3C Warm Marine,rur,0.00960297663947876
COG,Zone_1A Very hot Humid,urb,1
COG,Zone_1A Very hot Humid,rur,1
COL,Zone_0A Extremely hot Humid,urb,0.180036059161923
COL,Zone_0A Extremely hot Humid,rur,0.266183728999088
COL,Zone_1A Very hot Humid,urb,0.0987192268276952
COL,Zone_1A Very hot Humid,rur,0.309947391082621
COL,Zone_2A Hot Humid,urb,0.313888092229629
COL,Zone_2A Hot Humid,rur,0.182843755154667
COL,Zone_3A Warm Humid,urb,0.244084432213769
COL,Zone_3A Warm Humid,rur,0.1256957530505
COL,Zone_3C Warm Marine,urb,0.163272189566984
COL,Zone_3C Warm Marine,rur,0.115329371713124
COM,Zone_1A Very hot Humid,urb,1
COM,Zone_1A Very hot Humid,rur,1
CPV,Zone_2B Hot Dry,urb,1
CPV,Zone_2B Hot Dry,rur,1
CRI,Zone_1A Very hot Humid,urb,1
CRI,Zone_1A Very hot Humid,rur,1
CUB,Zone_1A Very hot Humid,urb,1
CUB,Zone_1A Very hot Humid,rur,1
CYP,Zone_3A Warm Humid,urb,1
CYP,Zone_3A Warm Humid,rur,1
CZE,Zone_5A Cool Humid,urb,1
CZE,Zone_5A Cool Humid,rur,1
