region_bld,urt,clim,value
R32MEA-M,rur,Zone_4B Mixed Dry,0.03828331203828331
R32MEA-M,rur,Zone_5A Cool Humid,0.03037192303037192
R32MEA-M,rur,Zone_5B Cool Dry,0.01169472201169472
R32MEA-M,urb,Zone_0A Extremely hot Humid,0.00783307199216692
R32MEA-M,urb,Zone_0B Extremely hot Dry,0.1545816508454183
R32MEA-M,urb,Zone_1B Very hot Dry,0.13388185686611814
R32MEA-M,urb,Zone_2A Hot Humid,0.05521470294478529
R32MEA-M,urb,Zone_2B Hot Dry,0.12558634087441364
R32MEA-M,urb,Zone_3A Warm Humid,0.13505534386494464
R32MEA-M,urb,Zone_3B Warm Dry,0.0967104049032896
R32MEA-M,urb,Zone_3C Warm Marine,0.0229842949770157
R32MEA-M,urb,Zone_4A Mixed Humid,0.1535402858464597
R32MEA-M,urb,Zone_4B Mixed Dry,0.06475902093524098
R32MEA-M,urb,Zone_5A Cool Humid,0.03497283696502715
R32MEA-M,urb,Zone_5B Cool Dry,0.01488018898511981
R32MEX,rur,Zone_0A Extremely hot Humid,0.07066386407066388
R32MEX,rur,Zone_1A Very hot Humid,0.2521140722521141
R32MEX,rur,Zone_1B Very hot Dry,0.07782907307782906
R32MEX,rur,Zone_2A Hot Humid,0.1368655141368655
R32MEX,rur,Zone_2B Hot Dry,0.10995651410995652
R32MEX,rur,Zone_3A Warm Humid,0.05839071705839072
R32MEX,rur,Zone_3B Warm Dry,0.10187827910187829
R32MEX,rur,Zone_3C Warm Marine,0.19230196619230192
R32MEX,urb,Zone_0A Extremely hot Humid,0.03555310996444689
R32MEX,urb,Zone_1A Very hot Humid,0.11141525488858477
R32MEX,urb,Zone_1B Very hot Dry,0.03236789196763211
R32MEX,urb,Zone_2A Hot Humid,0.13431392086568608
R32MEX,urb,Zone_2B Hot Dry,0.07364182192635818
R32MEX,urb,Zone_3A Warm Humid,0.0574975959425024
R32MEX,urb,Zone_3B Warm Dry,0.06482296793517703
R32MEX,urb,Zone_3C Warm Marine,0.4903874365096126
R32NAF,rur,Zone_1B Very hot Dry,0.004223883
R32NAF,rur,Zone_2B Hot Dry,0.7009562930000001
R32NAF,rur,Zone_3A Warm Humid,0.127381561
R32NAF,rur,Zone_3B Warm Dry,0.167438263
R32NAF,urb,Zone_1B Very hot Dry,0.025245408
R32NAF,urb,Zone_2B Hot Dry,0.461382812
R32NAF,urb,Zone_3A Warm Humid,0.404524432
R32NAF,urb,Zone_3B Warm Dry,0.108847348
R32OAS-CPA,rur,Zone_0A Extremely hot Humid,0.435403838
R32OAS-CPA,rur,Zone_1A Very hot Humid,0.421723016
R32OAS-CPA,rur,Zone_2A Hot Humid,0.12959758
R32OAS-CPA,rur,Zone_8A Subarctic/arctic Humid,0.013275566
R32OAS-CPA,urb,Zone_0A Extremely hot Humid,0.411702719
R32OAS-CPA,urb,Zone_1A Very hot Humid,0.510870577
R32OAS-CPA,urb,Zone_2A Hot Humid,0.02765028199999999
R32OAS-CPA,urb,Zone_8A Subarctic/arctic Humid,0.049776422
R32OAS-L-PAS,rur,Zone_0A Extremely hot Humid,0.484691763
R32OAS-L-PAS,rur,Zone_0B Extremely hot Dry,0.015486018
R32OAS-L-PAS,rur,Zone_1A Very hot Humid,0.336682136
R32OAS-L-PAS,rur,Zone_2A Hot Humid,0.163140083
R32OAS-L-PAS,urb,Zone_0A Extremely hot Humid,0.6393975550000001
R32OAS-L-PAS,urb,Zone_0B Extremely hot Dry,0.018440576
R32OAS-L-PAS,urb,Zone_1A Very hot Humid,0.302248858
R32OAS-L-PAS,urb,Zone_2A Hot Humid,0.039913011
R32OAS-L-SAS,rur,Zone_0A Extremely hot Humid,0.07990875692009121
R32OAS-L-SAS,rur,Zone_1A Very hot Humid,0.7226614342773385
R32OAS-L-SAS,rur,Zone_2A Hot Humid,0.12476730287523267
R32OAS-L-SAS,rur,Zone_3A Warm Humid,0.02728835197271164
R32OAS-L-SAS,rur,Zone_3C Warm Marine,0.04537415395462584
R32OAS-L-SAS,urb,Zone_0A Extremely hot Humid,0.10387089900000002
R32OAS-L-SAS,urb,Zone_1A Very hot Humid,0.769902965
R32OAS-L-SAS,urb,Zone_2A Hot Humid,0.057000709
R32OAS-L-SAS,urb,Zone_3A Warm Humid,0.062602959
R32OAS-L-SAS,urb,Zone_3C Warm Marine,0.006622468
R32OAS-M-PAS,rur,Zone_0A Extremely hot Humid,0.7315452290000001
R32OAS-M-PAS,rur,Zone_1A Very hot Humid,0.268454771
R32OAS-M-PAS,urb,Zone_0A Extremely hot Humid,0.7871673719999999
R32OAS-M-PAS,urb,Zone_1A Very hot Humid,0.212832628
R32OAS-M-SAS,rur,Zone_0A Extremely hot Humid,0.60892005160892
R32OAS-M-SAS,rur,Zone_1A Very hot Humid,0.21805317121805312
R32OAS-M-SAS,rur,Zone_2A Hot Humid,0.14714609614714608
R32OAS-M-SAS,rur,Zone_4C Mixed Marine,0.02588068102588068
R32OAS-M-SAS,urb,Zone_0A Extremely hot Humid,0.7373217009999999
R32OAS-M-SAS,urb,Zone_1A Very hot Humid,0.08987563599999998
R32OAS-M-SAS,urb,Zone_2A Hot Humid,0.095325872
R32OAS-M-SAS,urb,Zone_4C Mixed Marine,0.07747679099999999
R32PAK,rur,Zone_0B Extremely hot Dry,0.16877881899999997
R32PAK,rur,Zone_1A Very hot Humid,0.01896701
R32PAK,rur,Zone_1B Very hot Dry,0.378494473
R32PAK,rur,Zone_2A Hot Humid,0.065222605
R32PAK,rur,Zone_2B Hot Dry,0.105853758
R32PAK,rur,Zone_3A Warm Humid,0.035639551
R32PAK,rur,Zone_3B Warm Dry,0.10635101900000002
R32PAK,rur,Zone_4A Mixed Humid,0.035053361
R32PAK,rur,Zone_5A Cool Humid,0.039508534
R32PAK,rur,Zone_6A Cold Humid,0.023754371
R32PAK,rur,Zone_7A Very cold Humid,0.02237649899999999
R32PAK,urb,Zone_0B Extremely hot Dry,0.20608843979391156
R32PAK,urb,Zone_1A Very hot Humid,0.07359443492640556
R32PAK,urb,Zone_1B Very hot Dry,0.3952438866047561
R32PAK,urb,Zone_2A Hot Humid,0.18593286081406712
R32PAK,urb,Zone_2B Hot Dry,0.02176658397823341
R32PAK,urb,Zone_3A Warm Humid,0.005673995994326
R32PAK,urb,Zone_3B Warm Dry,0.03052547896947452
