region_bld,year,pop
C-WEU-PRT,2040,9.97270800000001
C-WEU-PRT,2045,9.91967400000001
C-WEU-PRT,2050,9.866639
C-WEU-PRT,2055,9.810300999999999
C-WEU-PRT,2060,9.766848
C-WEU-PRT,2065,9.739916999999998
C-WEU-PRT,2070,9.73982700000001
C-WEU-PRT,2075,9.772443999999998
C-WEU-PRT,2080,9.843545
C-WEU-PRT,2085,9.952036999999999
C-WEU-PRT,2090,10.085504
C-WEU-PRT,2095,10.230733999999998
C-WEU-PRT,2100,10.381816999999998
C-WEU-SWE,2020,10.321414
C-WEU-SWE,2025,10.533975
C-WEU-SWE,2030,10.717114
C-WEU-SWE,2035,10.907217000000001
C-WEU-SWE,2040,11.136838
C-WEU-SWE,2045,11.410365
C-WEU-SWE,2050,11.737982
C-WEU-SWE,2055,12.067527
C-WEU-SWE,2060,12.403454
C-WEU-SWE,2065,12.74835
C-WEU-SWE,2070,13.123698000000003
C-WEU-SWE,2075,13.533482999999999
C-WEU-SWE,2080,13.959838
C-WEU-SWE,2085,14.379064000000001
C-WEU-SWE,2090,14.789887
C-WEU-SWE,2095,15.218093999999999
C-WEU-SWE,2100,15.684683
R32ANUZ,2020,30.570667999999998
R32ANUZ,2025,31.605562
R32ANUZ,2030,32.651637
R32ANUZ,2035,33.667553
R32ANUZ,2040,34.680127999999996
R32ANUZ,2045,35.686476999999996
R32ANUZ,2050,36.73843800000001
R32ANUZ,2055,37.773937
R32ANUZ,2060,38.82982799999999
R32ANUZ,2065,39.88702
R32ANUZ,2070,40.961187
R32ANUZ,2075,42.042502999999996
R32ANUZ,2080,43.107838
R32ANUZ,2085,44.127280000000006
R32ANUZ,2090,45.102594999999994
R32ANUZ,2095,46.068828999999994
R32ANUZ,2100,47.063564
R32BRA,2020,212.564938
R32BRA,2025,218.307504
R32BRA,2030,224.47289600000002
R32BRA,2035,230.044153
R32BRA,2040,234.887965
R32BRA,2045,238.60350200000002
R32BRA,2050,241.362445
R32BRA,2055,243.49541399999998
R32BRA,2060,245.219704
R32BRA,2065,246.477548
R32BRA,2070,247.355254
R32BRA,2075,247.887615
R32BRA,2080,248.139901
R32BRA,2085,248.46396
R32BRA,2090,249.09484400000002
R32BRA,2095,250.189538
R32BRA,2100,251.807456
R32CAN,2020,37.75823596918021
R32CAN,2025,38.45925096847302
R32CAN,2030,39.129320967791486
R32CAN,2035,39.79103796711789
R32CAN,2040,40.43362096646072
R32CAN,2045,41.036036965837496
R32CAN,2050,41.6860369651759
R32CAN,2055,42.28320196455906
R32CAN,2060,42.936367963896096
R32CAN,2065,43.67460896316221
R32CAN,2070,44.511907962344715
R32CAN,2075,45.38977096149223
R32CAN,2080,46.25115396065323
R32CAN,2085,47.06323195985648
R32CAN,2090,47.82835495909911
R32CAN,2095,48.58310995835116
R32CAN,2100,49.36860195757707
R32CAS-CAU,2020,16.855204
R32CAS-CAU,2025,17.039991
R32CAS-CAU,2030,17.282493
R32CAS-CAU,2035,17.533225
R32CAS-CAU,2040,17.783208000000002
R32CAS-CAU,2045,17.963885
R32CAS-CAU,2050,18.085116000000003
R32CAS-CAU,2055,18.181241
R32CAS-CAU,2060,18.287067
R32CAS-CAU,2065,18.409702
R32CAS-CAU,2070,18.543586
R32CAS-CAU,2075,18.682733
R32CAS-CAU,2080,18.829522
R32CAS-CAU,2085,19.008013000000002
R32CAS-CAU,2090,19.235984000000002
R32CAS-CAU,2095,19.525085
R32CAS-CAU,2100,19.861168
R32CAS-OTH,2020,74.12403796431752
R32CAS-OTH,2025,80.57489596120179
R32CAS-OTH,2030,86.85095695815062
R32CAS-OTH,2035,93.13584295508264
R32CAS-OTH,2040,99.77043995182444
R32CAS-OTH,2045,106.51936894847341
R32CAS-OTH,2050,113.19537994510686
R32CAS-OTH,2055,119.49216794188398
R32CAS-OTH,2060,125.32779893884766
R32CAS-OTH,2065,130.73972093597317
R32CAS-OTH,2070,136.00161493311535
R32CAS-OTH,2075,141.215291930216
R32CAS-OTH,2080,146.36515192727862
R32CAS-OTH,2085,151.44440492430653
R32CAS-OTH,2090,156.4483019212905
R32CAS-OTH,2095,161.43248991820192
R32CAS-OTH,2100,166.3138029150785
R32CHN,2020,1432.1701835514484
R32CHN,2025,1438.5657583900552
R32CHN,2030,1435.8743511277012
R32CHN,2035,1429.3840466918623
R32CHN,2040,1420.4303643585588
R32CHN,2045,1404.7293173933579
R32CHN,2050,1380.3218084564567
R32CHN,2055,1347.765637651619
R32CHN,2060,1311.3166417815064
R32CHN,2065,1274.7672865889788
R32CHN,2070,1241.3958227320227
R32CHN,2075,1211.3606392836032
R32CHN,2080,1183.0416809737135
R32CHN,2085,1156.4809038413107
R32CHN,2090,1133.7840513088001
R32CHN,2095,1116.0160836087098
R32CHN,2100,1101.7187364828267
R32EEU,2020,16.341084000000002
R32EEU,2025,15.995854
R32EEU,2030,15.84493900000001
R32EEU,2035,15.672288000000002
R32EEU,2040,15.481788
R32EEU,2045,15.279223
R32EEU,2050,15.093078
R32EEU,2055,14.94052
R32EEU,2060,14.825408
R32EEU,2065,14.737903
R32EEU,2070,14.67278
R32EEU,2075,14.627712000000002
R32EEU,2080,14.606991
R32EEU,2085,14.619203999999998
R32EEU,2090,14.670502
R32EEU,2095,14.761598999999999
R32EEU,2100,14.886737
R32EEU-FSU,2020,56.84675899999999
R32EEU-FSU,2025,48.95794400000001
R32EEU-FSU,2030,49.324585000000006
R32EEU-FSU,2035,49.21891
R32EEU-FSU,2040,48.804006
R32EEU-FSU,2045,48.166799000000005
R32EEU-FSU,2050,47.48016100000001
R32EEU-FSU,2055,46.75949500000001
R32EEU-FSU,2060,46.092653000000006
R32EEU-FSU,2065,45.50219700000001
R32EEU-FSU,2070,45.03933899999999
R32EEU-FSU,2075,44.73153
R32EEU-FSU,2080,44.577682
R32EEU-FSU,2085,44.565363000000005
R32EEU-FSU,2090,44.69059200000001
R32EEU-FSU,2095,44.93325900000001
R32EEU-FSU,2100,45.247579
R32IDN,2020,270.8258458745345
R32IDN,2025,281.87584087044706
R32IDN,2030,294.0547118659434
R32IDN,2035,305.4622078619005
R32IDN,2040,315.81001185844127
R32IDN,2045,324.5342568558061
R32IDN,2050,331.8740928538692
R32IDN,2055,338.68709485224434
R32IDN,2060,345.14761785085136
R32IDN,2065,351.14146084973606
R32IDN,2070,356.7252088488662
R32IDN,2075,362.00352184820105
R32IDN,2080,366.9638528477357
R32IDN,2085,371.78354384740146
