region_bld,clim,urt,arch,bld_age,eneff,value
C-EEU-LTU,Zone_6A Cold Humid,urb,mfh,s5,adv,23.68333333
C-EEU-LTU,Zone_6A Cold Humid,urb,mfh,s1,std,10.13333333
C-EEU-LTU,Zone_6A Cold Humid,urb,mfh,s1,adv,10.13333333
C-EEU-LTU,Zone_6A Cold Humid,urb,mfh,s2,std,9.958333333
C-EEU-LTU,Zone_6A Cold Humid,urb,mfh,s2,adv,9.958333333
C-EEU-LTU,Zone_6A Cold Humid,urb,mfh,s3,std,12.825
C-EEU-LTU,Zone_6A Cold Humid,urb,mfh,s3,adv,12.825
C-EEU-LTU,Zone_6A Cold Humid,urb,sfh,s1,avg,7.266666667
C-EEU-LTU,Zone_6A Cold Humid,urb,sfh,s2,avg,6.541666667
C-EEU-LTU,Zone_6A Cold Humid,urb,sfh,s3,avg,7.641666667
C-EEU-LTU,Zone_6A Cold Humid,urb,sfh,s5,std,8.908333333
C-EEU-LTU,Zone_6A Cold Humid,urb,sfh,s5,adv,15.54166667
C-EEU-LTU,Zone_6A Cold Humid,urb,sfh,s1,std,7.266666667
C-EEU-LTU,Zone_6A Cold Humid,urb,sfh,s1,adv,7.266666667
C-EEU-LTU,Zone_6A Cold Humid,urb,sfh,s2,std,6.541666667
C-EEU-LTU,Zone_6A Cold Humid,urb,sfh,s2,adv,6.541666667
C-EEU-LTU,Zone_6A Cold Humid,urb,sfh,s3,std,7.641666667
C-EEU-LTU,Zone_6A Cold Humid,urb,sfh,s3,adv,7.641666667
C-EEU-LVA,Zone_6A Cold Humid,rur,inf,ns,avg,4.967948718
C-EEU-LVA,Zone_6A Cold Humid,rur,mfh,s1,avg,7.871794872
C-EEU-LVA,Zone_6A Cold Humid,rur,mfh,s2,avg,7.698717949
C-EEU-LVA,Zone_6A Cold Humid,rur,mfh,s3,avg,10.48717949
C-EEU-LVA,Zone_6A Cold Humid,rur,mfh,s5,std,13.08974359
C-EEU-LVA,Zone_6A Cold Humid,rur,mfh,s5,adv,21.66025641
C-EEU-LVA,Zone_6A Cold Humid,rur,mfh,s1,std,7.871794872
C-EEU-LVA,Zone_6A Cold Humid,rur,mfh,s1,adv,7.871794872
C-EEU-LVA,Zone_6A Cold Humid,rur,mfh,s2,std,7.698717949
C-EEU-LVA,Zone_6A Cold Humid,rur,mfh,s2,adv,7.698717949
C-EEU-LVA,Zone_6A Cold Humid,rur,mfh,s3,std,10.48717949
C-EEU-LVA,Zone_6A Cold Humid,rur,mfh,s3,adv,10.48717949
C-EEU-LVA,Zone_6A Cold Humid,rur,sfh,s1,avg,4.967948718
C-EEU-LVA,Zone_6A Cold Humid,rur,sfh,s2,avg,4.307692308
C-EEU-LVA,Zone_6A Cold Humid,rur,sfh,s3,avg,5.519230769
