scenario,ssp,region_gea,urt,arch,material,y2015,y2020,y2025,y2030,y2035,y2040,y2045,y2050,y2055,y2060,y2065,y2070,y2075,y2080,y2085,y2090,y2095,y2100
nsp,nsp,LAC,rur,mfh,concrete,949.6137255,949.6137255,949.6137255,949.6137255,949.6137255,949.6137255,949.6137255,949.6137255,949.6137255,949.6137255,949.6137255,949.6137255,949.6137255,949.6137255,949.6137255,949.6137255,949.6137255,949.6137255
nsp,nsp,LAC,rur,mfh,copper,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21
nsp,nsp,LAC,rur,mfh,glass,4.599215686,4.599215686,4.599215686,4.599215686,4.599215686,4.599215686,4.599215686,4.599215686,4.599215686,4.599215686,4.599215686,4.599215686,4.599215686,4.599215686,4.599215686,4.599215686,4.599215686,4.599215686
nsp,nsp,LAC,rur,mfh,steel,88.43039216,88.43039216,88.43039216,88.43039216,88.43039216,88.43039216,88.43039216,88.43039216,88.43039216,88.43039216,88.43039216,88.43039216,88.43039216,88.43039216,88.43039216,88.43039216,88.43039216,88.43039216
nsp,nsp,LAC,rur,mfh,wood,34.59343137,34.59343137,34.59343137,34.59343137,34.59343137,34.59343137,34.59343137,34.59343137,34.59343137,34.59343137,34.59343137,34.59343137,34.59343137,34.59343137,34.59343137,34.59343137,34.59343137,34.59343137
nsp,nsp,LAC,rur,sfh,aluminum,3.263282058,3.263282058,3.263282058,3.263282058,3.263282058,3.263282058,3.263282058,3.263282058,3.263282058,3.263282058,3.263282058,3.263282058,3.263282058,3.263282058,3.263282058,3.263282058,3.263282058,3.263282058
nsp,nsp,LAC,rur,sfh,concrete,734.933335,734.933335,734.933335,734.933335,734.933335,734.933335,734.933335,734.933335,734.933335,734.933335,734.933335,734.933335,734.933335,734.933335,734.933335,734.933335,734.933335,734.933335
nsp,nsp,LAC,rur,sfh,copper,1.586066946,1.586066946,1.586066946,1.586066946,1.586066946,1.586066946,1.586066946,1.586066946,1.586066946,1.586066946,1.586066946,1.586066946,1.586066946,1.586066946,1.586066946,1.586066946,1.586066946,1.586066946
nsp,nsp,LAC,rur,sfh,glass,1.93834605,1.93834605,1.93834605,1.93834605,1.93834605,1.93834605,1.93834605,1.93834605,1.93834605,1.93834605,1.93834605,1.93834605,1.93834605,1.93834605,1.93834605,1.93834605,1.93834605,1.93834605
nsp,nsp,LAC,rur,sfh,steel,34.21121216,34.21121216,34.21121216,34.21121216,34.21121216,34.21121216,34.21121216,34.21121216,34.21121216,34.21121216,34.21121216,34.21121216,34.21121216,34.21121216,34.21121216,34.21121216,34.21121216,34.21121216
