region_bld,inc_cl,urt,year,value
C-EEU-LVA,q3,rur,2100,79956.18987
C-EEU-LVA,q1,urb,2100,23259.77221
C-EEU-LVA,q2,urb,2100,54271.52066
C-EEU-LVA,q3,urb,2100,148724.4266
C-WEU-MLT,q1,rur,2015,10971.62868
C-WEU-MLT,q2,rur,2015,17672.58182
C-WEU-MLT,q3,rur,2015,30340.43664
C-WEU-MLT,q1,urb,2015,17943.38046
C-WEU-MLT,q2,urb,2015,29765.08631
C-WEU-MLT,q3,urb,2015,51640.15809
C-WEU-MLT,q1,rur,2020,11854.78058
C-WEU-MLT,q2,rur,2020,19397.4602
C-WEU-MLT,q3,rur,2020,33279.41221
C-WEU-MLT,q1,urb,2020,19526.53449
C-WEU-MLT,q2,urb,2020,32639.40172
C-WEU-MLT,q3,urb,2020,57215.89973
C-WEU-MLT,q1,rur,2025,12764.99342
C-WEU-MLT,q2,rur,2025,21050.30271
C-WEU-MLT,q3,rur,2025,36446.03611
C-WEU-MLT,q1,urb,2025,21259.87213
C-WEU-MLT,q2,urb,2025,35655.56425
C-WEU-MLT,q3,urb,2025,63623.83257
C-WEU-MLT,q1,rur,2030,13955.55015
C-WEU-MLT,q2,rur,2030,23387.90659
C-WEU-MLT,q3,rur,2030,40774.81302
C-WEU-MLT,q1,urb,2030,23420.6348
C-WEU-MLT,q2,urb,2030,39727.55119
C-WEU-MLT,q3,urb,2030,70781.1257
C-WEU-MLT,q1,rur,2035,14921.02542
C-WEU-MLT,q2,rur,2035,25048.6864
C-WEU-MLT,q3,rur,2035,43800.6399
C-WEU-MLT,q1,urb,2035,24998.60126
C-WEU-MLT,q2,urb,2035,43127.80841
C-WEU-MLT,q3,urb,2035,78834.50693
C-WEU-MLT,q1,rur,2040,16009.7031
C-WEU-MLT,q2,rur,2040,27232.26977
C-WEU-MLT,q3,rur,2040,48546.65459
C-WEU-MLT,q1,urb,2040,26560.8289
C-WEU-MLT,q2,urb,2040,46075.27841
C-WEU-MLT,q3,urb,2040,85594.5397
C-WEU-MLT,q1,rur,2045,16775.39029
C-WEU-MLT,q2,rur,2045,28730.59982
C-WEU-MLT,q3,rur,2045,51919.59876
C-WEU-MLT,q1,urb,2045,28442.64939
C-WEU-MLT,q2,urb,2045,49619.06736
C-WEU-MLT,q3,urb,2045,93112.30531
C-WEU-MLT,q1,rur,2050,17536.69509
C-WEU-MLT,q2,rur,2050,30344.58703
C-WEU-MLT,q3,rur,2050,55988.38867
C-WEU-MLT,q1,urb,2050,29314.1858
C-WEU-MLT,q2,urb,2050,51948.15918
C-WEU-MLT,q3,urb,2050,98170.27743
C-WEU-MLT,q1,rur,2055,17965.91458
C-WEU-MLT,q2,rur,2055,31299.59128
C-WEU-MLT,q3,rur,2055,57730.67237
C-WEU-MLT,q1,urb,2055,30432.02622
C-WEU-MLT,q2,urb,2055,53956.84316
C-WEU-MLT,q3,urb,2055,104432.2977
C-WEU-MLT,q1,rur,2060,18355.47143
C-WEU-MLT,q2,rur,2060,32155.10556
C-WEU-MLT,q3,rur,2060,61039.13295
C-WEU-MLT,q1,urb,2060,31029.6722
C-WEU-MLT,q2,urb,2060,55980.11216
C-WEU-MLT,q3,urb,2060,108731.8782
C-WEU-MLT,q1,rur,2065,18773.43447
C-WEU-MLT,q2,rur,2065,33817.34295
C-WEU-MLT,q3,rur,2065,64031.89825
C-WEU-MLT,q1,urb,2065,31585.61434
C-WEU-MLT,q2,urb,2065,58577.86176
C-WEU-MLT,q3,urb,2065,115680.371
C-WEU-MLT,q1,rur,2070,19092.74443
C-WEU-MLT,q2,rur,2070,35010.33994
C-WEU-MLT,q3,rur,2070,68353.53214
C-WEU-MLT,q1,urb,2070,32748.24009
C-WEU-MLT,q2,urb,2070,61403.9009
C-WEU-MLT,q3,urb,2070,124972.1654
C-WEU-MLT,q1,rur,2075,19983.0032
C-WEU-MLT,q2,rur,2075,36609.27401
C-WEU-MLT,q3,rur,2075,73412.95737
C-WEU-MLT,q1,urb,2075,33992.3822
C-WEU-MLT,q2,urb,2075,64020.49244
C-WEU-MLT,q3,urb,2075,131341.7963
C-WEU-MLT,q1,rur,2080,20710.65844
C-WEU-MLT,q2,rur,2080,38231.94272
C-WEU-MLT,q3,rur,2080,77091.39147
C-WEU-MLT,q1,urb,2080,34077.27431
C-WEU-MLT,q2,urb,2080,66550.61021
C-WEU-MLT,q3,urb,2080,138199.8977
C-WEU-MLT,q1,rur,2085,20397.79413
C-WEU-MLT,q2,rur,2085,39319.61487
C-WEU-MLT,q3,rur,2085,80276.59989
C-WEU-MLT,q1,urb,2085,34205.71446
C-WEU-MLT,q2,urb,2085,67146.09674
C-WEU-MLT,q3,urb,2085,141694.9007
C-WEU-MLT,q1,rur,2090,20812.78322
C-WEU-MLT,q2,rur,2090,39928.4632
C-WEU-MLT,q3,rur,2090,85104.66184
C-WEU-MLT,q1,urb,2090,36041.53434
C-WEU-MLT,q2,urb,2090,71383.02352
C-WEU-MLT,q3,urb,2090,153626.1784
C-WEU-MLT,q1,rur,2095,21321.45175
C-WEU-MLT,q2,rur,2095,41557.25873
C-WEU-MLT,q3,rur,2095,88878.78379
C-WEU-MLT,q1,urb,2095,35988.66163
C-WEU-MLT,q2,urb,2095,72411.31966
C-WEU-MLT,q3,urb,2095,155978.7193
C-WEU-MLT,q1,rur,2100,21253.95289
C-WEU-MLT,q2,rur,2100,41977.80165
C-WEU-MLT,q3,rur,2100,90849.63976
C-WEU-MLT,q1,urb,2100,36688.85859
C-WEU-MLT,q2,urb,2100,74181.69136
C-WEU-MLT,q3,urb,2100,169193.7178
C-WEU-NLD,q1,rur,2015,17239.99665
C-WEU-NLD,q2,rur,2015,27567.96851
C-WEU-NLD,q3,rur,2015,45692.42166
