region_bld,urt,inc_cl,region_gea,clim,arch,mat,year,yr_con,bld_age,value
C-EEU-CZE,rur,q2,EEU,Zone_5A Cool Humid,mfh,perm,2015,2010,p3,6165.08926
C-EEU-CZE,rur,q2,EEU,Zone_5A Cool Humid,mfh,perm,2015,2015,p3,248.06826
C-EEU-CZE,rur,q2,EEU,Zone_5A Cool Humid,sfh,perm,2015,1945,p1,186698.8412
C-EEU-CZE,rur,q2,EEU,Zone_5A Cool Humid,sfh,perm,2015,1985,p2,11015.7718
C-EEU-CZE,rur,q2,EEU,Zone_5A Cool Humid,sfh,perm,2015,1990,p2,13874.13652
C-EEU-CZE,rur,q2,EEU,Zone_5A Cool Humid,sfh,perm,2015,1995,p3,19107.5578
C-EEU-CZE,rur,q2,EEU,Zone_5A Cool Humid,sfh,perm,2015,2000,p3,18589.91401
C-EEU-CZE,rur,q2,EEU,Zone_5A Cool Humid,sfh,perm,2015,2005,p3,19011.00547
C-EEU-CZE,rur,q2,EEU,Zone_5A Cool Humid,sfh,perm,2015,2010,p3,23031.78876
C-EEU-CZE,rur,q2,EEU,Zone_5A Cool Humid,sfh,perm,2015,2015,p3,926.7434
C-EEU-CZE,rur,q3,EEU,Zone_5A Cool Humid,mfh,perm,2015,1945,p1,49975.0598
C-EEU-CZE,rur,q3,EEU,Zone_5A Cool Humid,mfh,perm,2015,1985,p2,2948.67311
C-EEU-CZE,rur,q3,EEU,Zone_5A Cool Humid,mfh,perm,2015,1990,p2,3713.79276
C-EEU-CZE,rur,q3,EEU,Zone_5A Cool Humid,mfh,perm,2015,1995,p3,5114.66133
C-EEU-CZE,rur,q3,EEU,Zone_5A Cool Humid,mfh,perm,2015,2000,p3,4976.0998
C-EEU-CZE,rur,q3,EEU,Zone_5A Cool Humid,mfh,perm,2015,2005,p3,5088.81644
C-EEU-CZE,rur,q3,EEU,Zone_5A Cool Humid,mfh,perm,2015,2010,p3,6165.08926
C-EEU-CZE,rur,q3,EEU,Zone_5A Cool Humid,mfh,perm,2015,2015,p3,248.06826
C-EEU-CZE,rur,q3,EEU,Zone_5A Cool Humid,sfh,perm,2015,1945,p1,186698.8412
C-EEU-CZE,rur,q3,EEU,Zone_5A Cool Humid,sfh,perm,2015,1985,p2,11015.7718
C-EEU-CZE,rur,q3,EEU,Zone_5A Cool Humid,sfh,perm,2015,1990,p2,13874.13652
C-EEU-CZE,rur,q3,EEU,Zone_5A Cool Humid,sfh,perm,2015,1995,p3,19107.5578
C-EEU-CZE,rur,q3,EEU,Zone_5A Cool Humid,sfh,perm,2015,2000,p3,18589.91401
C-EEU-CZE,rur,q3,EEU,Zone_5A Cool Humid,sfh,perm,2015,2005,p3,19011.00547
C-EEU-CZE,rur,q3,EEU,Zone_5A Cool Humid,sfh,perm,2015,2010,p3,23031.78876
C-EEU-CZE,rur,q3,EEU,Zone_5A Cool Humid,sfh,perm,2015,2015,p3,926.7434
C-EEU-CZE,urb,q1,EEU,Zone_5A Cool Humid,mfh,perm,2015,1945,p1,237484.4184
C-EEU-CZE,urb,q1,EEU,Zone_5A Cool Humid,mfh,perm,2015,1960,p2,89908.97131
C-EEU-CZE,urb,q1,EEU,Zone_5A Cool Humid,mfh,perm,2015,1965,p2,28620.55607
C-EEU-CZE,urb,q1,EEU,Zone_5A Cool Humid,mfh,perm,2015,1970,p2,38940.31825
C-EEU-CZE,urb,q1,EEU,Zone_5A Cool Humid,mfh,perm,2015,1975,p2,69696.85414
C-EEU-CZE,urb,q1,EEU,Zone_5A Cool Humid,mfh,perm,2015,1980,p2,77939.49479
C-EEU-CZE,urb,q1,EEU,Zone_5A Cool Humid,mfh,perm,2015,1985,p2,29860.8179
C-EEU-CZE,urb,q1,EEU,Zone_5A Cool Humid,mfh,perm,2015,1990,p2,26742.00429
C-EEU-CZE,urb,q1,EEU,Zone_5A Cool Humid,mfh,perm,2015,1995,p3,25711.11441
C-EEU-CZE,urb,q1,EEU,Zone_5A Cool Humid,mfh,perm,2015,2000,p3,20765.14707
C-EEU-CZE,urb,q1,EEU,Zone_5A Cool Humid,mfh,perm,2015,2005,p3,27739.53583
C-EEU-CZE,urb,q1,EEU,Zone_5A Cool Humid,mfh,perm,2015,2010,p3,55239.86746
C-EEU-CZE,urb,q1,EEU,Zone_5A Cool Humid,mfh,perm,2015,2015,p3,80029.72207
C-EEU-CZE,urb,q1,EEU,Zone_5A Cool Humid,sfh,perm,2015,1945,p1,98143.40137
C-EEU-CZE,urb,q1,EEU,Zone_5A Cool Humid,sfh,perm,2015,1960,p2,37156.00504
C-EEU-CZE,urb,q1,EEU,Zone_5A Cool Humid,sfh,perm,2015,1965,p2,11827.80217
C-EEU-CZE,urb,q1,EEU,Zone_5A Cool Humid,sfh,perm,2015,1970,p2,16092.57275
C-EEU-CZE,urb,q1,EEU,Zone_5A Cool Humid,sfh,perm,2015,1975,p2,28803.09526
C-EEU-CZE,urb,q1,EEU,Zone_5A Cool Humid,sfh,perm,2015,1980,p2,32209.46945
