region_gea,fuel,year,value
PAO,coal,2090,22.29298497
PAO,coal,2100,25.07988057
SAS,electricity,2015,18.95938281
SAS,electricity,2020,23.11145926
SAS,electricity,2025,54.8439622
SAS,electricity,2030,39.7877864
SAS,electricity,2035,31.51605302
SAS,electricity,2040,31.49323736
SAS,electricity,2045,34.71234069
SAS,electricity,2050,35.11948391
SAS,electricity,2055,37.25312531
SAS,electricity,2060,38.36966677
SAS,electricity,2070,26.93542195
SAS,electricity,2080,26.55720562
SAS,electricity,2090,27.35435085
SAS,electricity,2100,30.0553695
SAS,gas,2015,4.669956125
SAS,gas,2020,6.068883224
SAS,gas,2025,20.65712546
SAS,gas,2030,19.16235941
SAS,gas,2035,26.69136397
SAS,gas,2040,32.34469998
SAS,gas,2045,38.04524095
SAS,gas,2050,41.83602529
SAS,gas,2055,46.07558376
SAS,gas,2060,49.31451371
SAS,gas,2070,24.1535403
SAS,gas,2080,20.85089843
SAS,gas,2090,23.34719596
SAS,gas,2100,25.1383284
SAS,oil,2015,4.833256102
SAS,oil,2020,3.711235135
SAS,oil,2025,17.79742785
SAS,oil,2030,20.74953535
SAS,oil,2035,27.49994884
SAS,oil,2040,34.67047184
SAS,oil,2045,35.79356192
SAS,oil,2050,43.99413477
SAS,oil,2055,52.37410141
SAS,oil,2060,56.30292333
SAS,oil,2070,22.03419687
SAS,oil,2080,22.15217194
SAS,oil,2090,24.51112995
SAS,oil,2100,26.19819833
SAS,biomass_solid,2015,3.767963676
SAS,biomass_solid,2020,4.63253113
SAS,biomass_solid,2025,15.07351599
SAS,biomass_solid,2030,12.89123761
SAS,biomass_solid,2035,19.44870042
SAS,biomass_solid,2040,28.44912843
SAS,biomass_solid,2045,28.03138825
SAS,biomass_solid,2050,20.06527271
SAS,biomass_solid,2055,26.72454125
SAS,biomass_solid,2060,29.83486765
SAS,biomass_solid,2070,19.29607681
SAS,biomass_solid,2080,17.10572643
SAS,biomass_solid,2090,18.24072027
SAS,biomass_solid,2100,17.92779158
SAS,coal,2015,2.513440655
SAS,coal,2020,3.933038166
SAS,coal,2025,11.39887658
SAS,coal,2030,14.05403013
SAS,coal,2035,29.00569366
SAS,coal,2040,34.52538593
SAS,coal,2045,31.06231635
SAS,coal,2050,29.39530049
SAS,coal,2055,27.05551278
SAS,coal,2060,29.12262538
SAS,coal,2070,21.70561316
SAS,coal,2080,20.21155595
SAS,coal,2090,21.03613889
SAS,coal,2100,23.57312104
AFR,electricity,2015,11.77939782
AFR,electricity,2020,15.0433113
AFR,electricity,2025,44.29871496
AFR,electricity,2030,36.87537671
