Model,Scenario,Region,Variable,Unit,2020,2025,2030
MESSAGEix-Buildings,IND_SSP2,R12_LAM,Materials Demand|Non-metallic minerals|Cement|Residential,Mt/yr,NA,23.303,28.341
MESSAGEix-Buildings,IND_SSP2,R12_LAM,Materials Demand|Non-Ferrous Metals|Copper|Residential,Mt/yr,NA,0.2,0.243
MESSAGEix-Buildings,IND_SSP2,R12_LAM,Total Scrap|Non-Ferrous Metals|Copper|Residential,Mt/yr,NA,0.117,0.135
MESSAGEix-Buildings,IND_SSP2,R12_LAM,Materials Demand|Iron and Steel|Residential,Mt/yr,NA,6.95,8.453
MESSAGEix-Buildings,IND_SSP2,R12_LAM,Total Scrap|Iron and Steel|Residential,Mt/yr,NA,3.562,4.147
MESSAGEix-Buildings,IND_SSP2,R12_MEA,Materials Demand|Non-Ferrous Metals|Aluminium|Residential,Mt/yr,NA,0.306,0.352
MESSAGEix-Buildings,IND_SSP2,R12_MEA,Total Scrap|Non-Ferrous Metals|Aluminium|Residential,Mt/yr,NA,0.104,0.122
MESSAGEix-Buildings,IND_SSP2,R12_MEA,Materials Demand|Non-metallic minerals|Cement|Residential,Mt/yr,NA,47.284,54.614
MESSAGEix-Buildings,IND_SSP2,R12_MEA,Materials Demand|Non-Ferrous Metals|Copper|Residential,Mt/yr,NA,0.269,0.307
MESSAGEix-Buildings,IND_SSP2,R12_MEA,Total Scrap|Non-Ferrous Metals|Copper|Residential,Mt/yr,NA,0.096,0.112
MESSAGEix-Buildings,IND_SSP2,R12_MEA,Materials Demand|Iron and Steel|Residential,Mt/yr,NA,18.942,21.851
MESSAGEix-Buildings,IND_SSP2,R12_MEA,Total Scrap|Iron and Steel|Residential,Mt/yr,NA,6.237,7.336
MESSAGEix-Buildings,IND_SSP2,R12_NAM,Materials Demand|Non-Ferrous Metals|Aluminium|Residential,Mt/yr,NA,0.832,0.933
MESSAGEix-Buildings,IND_SSP2,R12_NAM,Total Scrap|Non-Ferrous Metals|Aluminium|Residential,Mt/yr,NA,0.377,0.45
MESSAGEix-Buildings,IND_SSP2,R12_NAM,Materials Demand|Non-metallic minerals|Cement|Residential,Mt/yr,NA,24.762,27.769
MESSAGEix-Buildings,IND_SSP2,R12_NAM,Materials Demand|Non-Ferrous Metals|Copper|Residential,Mt/yr,NA,0.21,0.236
MESSAGEix-Buildings,IND_SSP2,R12_NAM,Total Scrap|Non-Ferrous Metals|Copper|Residential,Mt/yr,NA,0.098,0.117
MESSAGEix-Buildings,IND_SSP2,R12_NAM,Materials Demand|Iron and Steel|Residential,Mt/yr,NA,6.679,7.49
MESSAGEix-Buildings,IND_SSP2,R12_NAM,Total Scrap|Iron and Steel|Residential,Mt/yr,NA,2.817,3.354
