region_bld,region_gea,urt,clim,mat,arch,inc_cl,year,yr_con,bld_age,value
C-EEU-HRV,EEU,urb,Zone_4A Mixed Humid,perm,comm,ns,2020,1975,p2,785259.3650518751
C-EEU-HRV,EEU,urb,Zone_4A Mixed Humid,perm,comm,ns,2020,1980,p2,837925.1573582117
C-EEU-HRV,EEU,urb,Zone_4A Mixed Humid,perm,comm,ns,2020,1985,p2,643269.2495168429
C-EEU-HRV,EEU,urb,Zone_4A Mixed Humid,perm,comm,ns,2020,1990,p2,648354.4044694187
C-EEU-HRV,EEU,urb,Zone_4A Mixed Humid,perm,comm,ns,2020,1995,p3,343117.32105590415
C-EEU-HRV,EEU,urb,Zone_4A Mixed Humid,perm,comm,ns,2020,2000,p3,327989.0685300369
C-EEU-HRV,EEU,urb,Zone_4A Mixed Humid,perm,comm,ns,2020,2005,p3,322281.0294028644
C-EEU-HRV,EEU,urb,Zone_4A Mixed Humid,perm,comm,ns,2020,2010,p3,437799.8341959783
C-EEU-HRV,EEU,urb,Zone_4A Mixed Humid,perm,comm,ns,2020,2015,p3,618482.4005584959
C-EEU-HRV,EEU,urb,Zone_4A Mixed Humid,perm,comm,ns,2020,2020,p3,618482.4005584959
C-EEU-HRV,EEU,urb,Zone_5A Cool Humid,perm,comm,ns,2020,1945,p1,3421677.6054741424
C-EEU-HRV,EEU,urb,Zone_5A Cool Humid,perm,comm,ns,2020,1960,p2,575730.2552396483
C-EEU-HRV,EEU,urb,Zone_5A Cool Humid,perm,comm,ns,2020,1965,p2,1184075.8907334479
C-EEU-HRV,EEU,urb,Zone_5A Cool Humid,perm,comm,ns,2020,1970,p2,1268254.7177261985
C-EEU-HRV,EEU,urb,Zone_5A Cool Humid,perm,comm,ns,2020,1975,p2,1186888.9141287042
C-EEU-HRV,EEU,urb,Zone_5A Cool Humid,perm,comm,ns,2020,1980,p2,1266491.205836496
C-EEU-HRV,EEU,urb,Zone_5A Cool Humid,perm,comm,ns,2020,1985,p2,972276.3904871481
C-EEU-HRV,EEU,urb,Zone_5A Cool Humid,perm,comm,ns,2020,1990,p2,979962.4039365534
C-EEU-HRV,EEU,urb,Zone_5A Cool Humid,perm,comm,ns,2020,1995,p3,518608.4531239855
C-EEU-HRV,EEU,urb,Zone_5A Cool Humid,perm,comm,ns,2020,2000,p3,495742.68925190606
