region_bld,year,urt,value
C-WEU-BEL,2055,rur,0.01702999999999999
C-WEU-BEL,2055,urb,0.98297
C-WEU-BEL,2060,rur,0.016740000000000088
C-WEU-BEL,2060,urb,0.9832599999999998
C-WEU-BEL,2065,rur,0.016449999999999965
C-WEU-BEL,2065,urb,0.98355
C-WEU-BEL,2070,rur,0.016170000000000018
C-WEU-BEL,2070,urb,0.98383
C-WEU-BEL,2075,rur,0.015879999999999894
C-WEU-BEL,2075,urb,0.9841200000000001
C-WEU-BEL,2080,rur,0.015589999999999991
C-WEU-BEL,2080,urb,0.98441
C-WEU-BEL,2085,rur,0.015310000000000046
C-WEU-BEL,2085,urb,0.98469
C-WEU-BEL,2090,rur,0.015019999999999922
C-WEU-BEL,2090,urb,0.98498
C-WEU-BEL,2095,rur,0.014740000000000086
C-WEU-BEL,2095,urb,0.98526
C-WEU-BEL,2100,rur,0.014449999999999963
C-WEU-BEL,2100,urb,0.98555
C-WEU-CHE,2020,rur,0.2609999999999999
C-WEU-CHE,2020,urb,0.7390000000000001
C-WEU-CHE,2025,rur,0.24132999999999993
C-WEU-CHE,2025,urb,0.7586700000000001
C-WEU-CHE,2030,rur,0.22340000000000004
C-WEU-CHE,2030,urb,0.7766
C-WEU-CHE,2035,rur,0.20706000000000002
C-WEU-CHE,2035,urb,0.79294
C-WEU-CHE,2040,rur,0.19215000000000004
C-WEU-CHE,2040,urb,0.80785
C-WEU-CHE,2045,rur,0.17852
C-WEU-CHE,2045,urb,0.82148
C-WEU-CHE,2050,rur,0.16605999999999999
C-WEU-CHE,2050,urb,0.83394
C-WEU-CHE,2055,rur,0.15464
C-WEU-CHE,2055,urb,0.84536
C-WEU-CHE,2060,rur,0.14417000000000002
C-WEU-CHE,2060,urb,0.85583
C-WEU-CHE,2065,rur,0.13454999999999995
C-WEU-CHE,2065,urb,0.86545
C-WEU-CHE,2070,rur,0.12569999999999992
C-WEU-CHE,2070,urb,0.8743000000000001
C-WEU-CHE,2075,rur,0.11754000000000007
C-WEU-CHE,2075,urb,0.8824599999999998
C-WEU-CHE,2080,rur,0.11001000000000005
C-WEU-CHE,2080,urb,0.8899899999999998
C-WEU-CHE,2085,rur,0.10305000000000007
C-WEU-CHE,2085,urb,0.8969499999999999
C-WEU-CHE,2090,rur,0.09660999999999996
C-WEU-CHE,2090,urb,0.90339
C-WEU-CHE,2095,rur,0.09063999999999996
C-WEU-CHE,2095,urb,0.9093600000000002
C-WEU-CHE,2100,rur,0.08510999999999991
C-WEU-CHE,2100,urb,0.9148900000000002
C-WEU-CYP,2020,rur,0.3320000000000001
C-WEU-CYP,2020,urb,0.6679999999999999
C-WEU-CYP,2025,rur,0.31144000000000005
C-WEU-CYP,2025,urb,0.68856
C-WEU-CYP,2030,rur,0.29208
C-WEU-CYP,2030,urb,0.70792
C-WEU-CYP,2035,rur,0.27388
C-WEU-CYP,2035,urb,0.72612
C-WEU-CYP,2040,rur,0.25681
C-WEU-CYP,2040,urb,0.7431899999999999
