region_gea,mat,arch,bld_age,year,parameter,value
EEU,perm,comm,p1,2080,scale,225
EEU,perm,comm,p1,2080,shape,2.5
EEU,perm,comm,p1,2085,scale,225
EEU,perm,comm,p1,2085,shape,2.5
EEU,perm,comm,p1,2090,scale,225
EEU,perm,comm,p1,2090,shape,2.5
EEU,perm,comm,p1,2095,scale,225
EEU,perm,comm,p1,2095,shape,2.5
EEU,perm,comm,p1,2100,scale,225
EEU,perm,comm,p1,2100,shape,2.5
EEU,perm,comm,p2,2020,scale,53.6
EEU,perm,comm,p2,2020,shape,2.5
EEU,perm,comm,p2,2025,scale,53.6
EEU,perm,comm,p2,2025,shape,2.5
EEU,perm,comm,p2,2030,scale,58.96000000000001
EEU,perm,comm,p2,2030,shape,2.5
EEU,perm,comm,p2,2035,scale,64.32
EEU,perm,comm,p2,2035,shape,2.5
EEU,perm,comm,p2,2040,scale,69.68
EEU,perm,comm,p2,2040,shape,2.5
EEU,perm,comm,p2,2045,scale,75.03999999999999
EEU,perm,comm,p2,2045,shape,2.5
EEU,perm,comm,p2,2050,scale,80.4
EEU,perm,comm,p2,2050,shape,2.5
EEU,perm,comm,p2,2055,scale,80.4
EEU,perm,comm,p2,2055,shape,2.5
EEU,perm,comm,p2,2060,scale,80.4
EEU,perm,comm,p2,2060,shape,2.5
EEU,perm,comm,p2,2065,scale,80.4
EEU,perm,comm,p2,2065,shape,2.5
EEU,perm,comm,p2,2070,scale,80.4
EEU,perm,comm,p2,2070,shape,2.5
EEU,perm,comm,p2,2075,scale,80.4
EEU,perm,comm,p2,2075,shape,2.5
EEU,perm,comm,p2,2080,scale,80.4
EEU,perm,comm,p2,2080,shape,2.5
EEU,perm,comm,p2,2085,scale,80.4
EEU,perm,comm,p2,2085,shape,2.5
EEU,perm,comm,p2,2090,scale,80.4
EEU,perm,comm,p2,2090,shape,2.5
EEU,perm,comm,p2,2095,scale,80.4
EEU,perm,comm,p2,2095,shape,2.5
EEU,perm,comm,p2,2100,scale,80.4
EEU,perm,comm,p2,2100,shape,2.5
EEU,perm,comm,p3,2020,scale,53.6
EEU,perm,comm,p3,2020,shape,2.5
EEU,perm,comm,p3,2025,scale,53.6
EEU,perm,comm,p3,2025,shape,2.5
EEU,perm,comm,p3,2030,scale,58.96000000000001
EEU,perm,comm,p3,2030,shape,2.5
EEU,perm,comm,p3,2035,scale,64.32
EEU,perm,comm,p3,2035,shape,2.5
EEU,perm,comm,p3,2040,scale,69.68
EEU,perm,comm,p3,2040,shape,2.5
EEU,perm,comm,p3,2045,scale,75.03999999999999
EEU,perm,comm,p3,2045,shape,2.5
EEU,perm,comm,p3,2050,scale,80.4
EEU,perm,comm,p3,2050,shape,2.5
EEU,perm,comm,p3,2055,scale,80.4
