region_bld,region_gea,urt,clim,year,value
R32SSA-L,AFR,urb,Zone_1A Very hot Humid,2020,22.08178984
R32SSA-L,AFR,urb,Zone_2A Hot Humid,2020,135.4710911
R32SSA-L,AFR,urb,Zone_2B Hot Dry,2020,0
R32SSA-M,AFR,rur,Zone_1A Very hot Humid,2020,1286.111224
R32SSA-M,AFR,rur,Zone_1B Very hot Dry,2020,113.1996734
R32SSA-M,AFR,rur,Zone_2A Hot Humid,2020,3309.266154
R32SSA-M,AFR,rur,Zone_2B Hot Dry,2020,1198.773986
R32SSA-M,AFR,rur,Zone_3C Warm Marine,2020,534.637434
R32SSA-M,AFR,urb,Zone_2B Hot Dry,2020,136.3752601
R32TUR,WEU,rur,Zone_3A Warm Humid,2020,1691.018859
R32TUR,WEU,rur,Zone_4A Mixed Humid,2020,5818.679876
R32TUR,WEU,rur,Zone_4C Mixed Marine,2020,4430.521325
R32TUR,WEU,rur,Zone_5A Cool Humid,2020,6169.513162
R32TUR,WEU,rur,Zone_5C Cool Marine,2020,3693.81432
R32TUR,WEU,rur,Zone_6A Cold Humid,2020,2768.880779
R32TUR,WEU,urb,Zone_3A Warm Humid,2020,81630.28625
R32TUR,WEU,urb,Zone_4A Mixed Humid,2020,62646.28773
R32TUR,WEU,urb,Zone_4C Mixed Marine,2020,10905.92651
R32TUR,WEU,urb,Zone_5A Cool Humid,2020,12611.35711
R32TUR,WEU,urb,Zone_5C Cool Marine,2020,13724.10482
R32TUR,WEU,urb,Zone_6A Cold Humid,2020,1685.852668
R32USA,NAM,rur,Zone_1A Very hot Humid,2020,399.7013153
R32USA,NAM,rur,Zone_2A Hot Humid,2020,13739.71564
R32USA,NAM,rur,Zone_2B Hot Dry,2020,1015.460571
R32USA,NAM,rur,Zone_3A Warm Humid,2020,35772.9249
R32USA,NAM,rur,Zone_3B Warm Dry,2020,2563.799443
R32USA,NAM,rur,Zone_3C Warm Marine,2020,1197.081776
R32USA,NAM,rur,Zone_4A Mixed Humid,2020,33821.00826
R32USA,NAM,rur,Zone_4C Mixed Marine,2020,2914.375721
R32USA,NAM,rur,Zone_5A Cool Humid,2020,34224.82842
R32USA,NAM,rur,Zone_5C Cool Marine,2020,2727.069054
R32USA,NAM,rur,Zone_6A Cold Humid,2020,17667.18067
R32USA,NAM,rur,Zone_7A Very cold Humid,2020,3157.926204
R32USA,NAM,urb,Zone_1A Very hot Humid,2020,82232.68899
R32USA,NAM,urb,Zone_2A Hot Humid,2020,237811.0558
R32USA,NAM,urb,Zone_2B Hot Dry,2020,36544.35083
R32USA,NAM,urb,Zone_3A Warm Humid,2020,303464.0736
R32USA,NAM,urb,Zone_3B Warm Dry,2020,55174.31091
R32USA,NAM,urb,Zone_3C Warm Marine,2020,163684.4672
R32USA,NAM,urb,Zone_4A Mixed Humid,2020,488783.1204
R32USA,NAM,urb,Zone_4C Mixed Marine,2020,67545.87748
R32USA,NAM,urb,Zone_5A Cool Humid,2020,471699.2586
R32USA,NAM,urb,Zone_5C Cool Marine,2020,33521.63775
R32USA,NAM,urb,Zone_6A Cold Humid,2020,109223.4272
R32USA,NAM,urb,Zone_7A Very cold Humid,2020,8051.539539
