region_gea,fuel,year,value
NAM,electricity,2050,57.04309009
NAM,electricity,2055,55.42298144
NAM,electricity,2060,56.21433276
NAM,electricity,2070,53.4394228
NAM,electricity,2080,52.83199459
NAM,electricity,2090,53.20674262
NAM,electricity,2100,53.56550569
NAM,gas,2015,56.1
NAM,gas,2020,56.1
NAM,gas,2025,56.1
NAM,gas,2030,56.1
NAM,gas,2035,56.1
NAM,gas,2040,56.1
NAM,gas,2045,56.1
NAM,gas,2050,56.1
NAM,gas,2055,56.1
NAM,gas,2060,56.1
NAM,gas,2070,56.1
NAM,gas,2080,56.1
NAM,gas,2090,56.1
NAM,gas,2100,56.1
NAM,oil,2015,73.3
NAM,oil,2020,73.3
NAM,oil,2025,73.3
NAM,oil,2030,73.3
NAM,oil,2035,73.3
NAM,oil,2040,73.3
NAM,oil,2045,73.3
NAM,oil,2050,73.3
NAM,oil,2055,73.3
NAM,oil,2060,73.3
NAM,oil,2070,73.3
NAM,oil,2080,73.3
NAM,oil,2090,73.3
NAM,oil,2100,73.3
PAO,biomass_solid,2015,0
PAO,biomass_solid,2020,0
PAO,biomass_solid,2025,0
PAO,biomass_solid,2030,0
PAO,biomass_solid,2035,0
PAO,biomass_solid,2040,0
PAO,biomass_solid,2045,0
PAO,biomass_solid,2050,0
PAO,biomass_solid,2055,0
PAO,biomass_solid,2060,0
PAO,biomass_solid,2070,0
PAO,biomass_solid,2080,0
PAO,biomass_solid,2090,0
PAO,biomass_solid,2100,0
PAO,coal,2015,94.6
PAO,coal,2020,94.6
PAO,coal,2025,94.6
PAO,coal,2030,94.6
PAO,coal,2035,94.6
PAO,coal,2040,94.6
PAO,coal,2045,94.6
PAO,coal,2050,94.6
PAO,coal,2055,94.6
PAO,coal,2060,94.6
PAO,coal,2070,94.6
PAO,coal,2080,94.6
PAO,coal,2090,94.6
PAO,coal,2100,94.6
PAO,district_heat,2015,32.24879403
PAO,district_heat,2020,10.30363011
PAO,district_heat,2025,11.42173148
PAO,district_heat,2030,2.26765266
PAO,district_heat,2035,2.588354219
PAO,district_heat,2040,2.78583306
PAO,district_heat,2045,1.053650019
PAO,district_heat,2050,0.824675531
PAO,district_heat,2055,0.690907897
PAO,district_heat,2060,0.733477807
PAO,district_heat,2070,0.482045419
PAO,district_heat,2080,0.237671904
PAO,district_heat,2090,0.157310929
PAO,district_heat,2100,0.122639002
PAO,electricity,2015,168.4136405
PAO,electricity,2020,137.9728875
PAO,electricity,2025,129.1625753
PAO,electricity,2030,110.2154135
PAO,electricity,2035,98.72693419
PAO,electricity,2040,85.18337654
PAO,electricity,2045,77.14404379
PAO,electricity,2050,67.09833468
PAO,electricity,2055,66.04190074
PAO,electricity,2060,62.96110977
PAO,electricity,2070,60.83574707
PAO,electricity,2080,56.76008216
PAO,electricity,2090,57.92050487
PAO,electricity,2100,62.37049797
PAO,gas,2015,56.1
PAO,gas,2020,56.1
PAO,gas,2025,56.1
PAO,gas,2030,56.1
PAO,gas,2035,56.1
PAO,gas,2040,56.1
PAO,gas,2045,56.1
PAO,gas,2050,56.1
PAO,gas,2055,56.1
PAO,gas,2060,56.1
PAO,gas,2070,56.1
PAO,gas,2080,56.1
PAO,gas,2090,56.1
