"region","fuel","year","emission_factor"
"C-WEU-CHE","electricity",2070,0.00253513012597378
"C-WEU-CHE","gas",2075,56.1
"C-WEU-CHE","electricity",2075,0.0316760103521206
"C-WEU-CHE","gas",2080,56.1
"C-WEU-CHE","electricity",2080,0.0608168905782674
"C-WEU-CHE","gas",2085,56.1
"C-WEU-CHE","electricity",2085,0.0774677311441949
"C-WEU-CHE","gas",2090,56.1
"C-WEU-CHE","electricity",2090,0.0941185717101227
"C-WEU-CHE","gas",2095,56.1
"C-WEU-CHE","electricity",2095,0.0753445189637564
"C-WEU-CHE","gas",2100,56.1
"C-WEU-CHE","electricity",2100,0.0565704662173902
"C-WEU-CYP","gas",2015,56.1
"C-WEU-CYP","electricity",2015,244.257401597863
"C-WEU-CYP","gas",2020,56.1
"C-WEU-CYP","electricity",2020,48.3773877791613
"C-WEU-CYP","gas",2025,56.1
"C-WEU-CYP","electricity",2025,48.2197646366903
"C-WEU-CYP","gas",2030,56.1
"C-WEU-CYP","electricity",2030,36.2683422640282
"C-WEU-CYP","gas",2035,56.1
"C-WEU-CYP","electricity",2035,9.45398399054671
"C-WEU-CYP","gas",2040,56.1
"C-WEU-CYP","electricity",2040,7.96224250479152
"C-WEU-CYP","gas",2045,56.1
"C-WEU-CYP","electricity",2045,8.40135781058664
"C-WEU-CYP","gas",2050,56.1
"C-WEU-CYP","electricity",2050,8.29693543055169
"C-WEU-CYP","gas",2055,56.1
"C-WEU-CYP","electricity",2055,0.605316987127679
"C-WEU-CYP","gas",2060,56.1
"C-WEU-CYP","electricity",2060,-1.15671677993439
"C-WEU-CYP","gas",2065,56.1
"C-WEU-CYP","electricity",2065,-0.558247510028204
"C-WEU-CYP","gas",2070,56.1
"C-WEU-CYP","electricity",2070,0.04022175987798
"C-WEU-CYP","gas",2075,56.1
"C-WEU-CYP","electricity",2075,0.502563899668076
"C-WEU-CYP","gas",2080,56.1
"C-WEU-CYP","electricity",2080,0.964906039458172
"C-WEU-CYP","gas",2085,56.1
"C-WEU-CYP","electricity",2085,1.22908423849717
"C-WEU-CYP","gas",2090,56.1
"C-WEU-CYP","electricity",2090,1.49326243753618
"C-WEU-CYP","gas",2095,56.1
"C-WEU-CYP","electricity",2095,1.19539786886406
"C-WEU-CYP","gas",2100,56.1
"C-WEU-CYP","electricity",2100,0.897533300191938
"C-WEU-DEU","gas",2015,56.1
"C-WEU-DEU","electricity",2015,149.408317756168
"C-WEU-DEU","gas",2020,56.1
"C-WEU-DEU","electricity",2020,48.3773877791613
"C-WEU-DEU","gas",2025,56.1
"C-WEU-DEU","electricity",2025,48.2197646366903
"C-WEU-DEU","gas",2030,56.1
"C-WEU-DEU","electricity",2030,36.2683422640282
"C-WEU-DEU","gas",2035,56.1
"C-WEU-DEU","electricity",2035,9.45398399054671
"C-WEU-DEU","gas",2040,56.1
"C-WEU-DEU","electricity",2040,7.96224250479152
"C-WEU-DEU","gas",2045,56.1
"C-WEU-DEU","electricity",2045,8.40135781058664
"C-WEU-DEU","gas",2050,56.1
"C-WEU-DEU","electricity",2050,8.29693543055169
"C-WEU-DEU","gas",2055,56.1
"C-WEU-DEU","electricity",2055,0.370262649829032
"C-WEU-DEU","gas",2060,56.1
"C-WEU-DEU","electricity",2060,-0.707545020456982
"C-WEU-DEU","gas",2065,56.1
"C-WEU-DEU","electricity",2065,-0.341471008940814
"C-WEU-DEU","gas",2070,56.1
"C-WEU-DEU","electricity",2070,0.0246030025753542
"C-WEU-DEU","gas",2075,56.1
"C-WEU-DEU","electricity",2075,0.307410241504198
"C-WEU-DEU","gas",2080,56.1
"C-WEU-DEU","electricity",2080,0.590217480433042
"C-WEU-DEU","gas",2085,56.1
"C-WEU-DEU","electricity",2085,0.751811029075036
"C-WEU-DEU","gas",2090,56.1
"C-WEU-DEU","electricity",2090,0.913404577717032
"C-WEU-DEU","gas",2095,56.1
"C-WEU-DEU","electricity",2095,0.731205619432291
"C-WEU-DEU","gas",2100,56.1
"C-WEU-DEU","electricity",2100,0.549006661147552
"C-WEU-DNK","gas",2015,56.1
"C-WEU-DNK","electricity",2015,79.3728330000527
