"region","scenario","gdp_cap_2020","gdp_cap_2025","gdp_cap_2030","gdp_cap_2035","gdp_cap_2040","gdp_cap_2045","gdp_cap_2050","gdp_cap_2055","gdp_cap_2060","gdp_cap_2065","gdp_cap_2070","gdp_cap_2075","gdp_cap_2080","gdp_cap_2085","gdp_cap_2090","gdp_cap_2095","gdp_cap_2100","unit"
"R32MEA-H","SSP3",47676.061174585,55845.1486471653,59732.5531177211,63854.1319651486,67402.9662447744,70301.5781459353,72867.2848135156,75392.2037146211,77849.2987427585,80485.3523419122,83528.3971136236,87085.2240691416,91108.1925591404,95743.0462213121,100732.055348918,105752.659635292,110776.18408731,"USD_2005"
"R32MEA-H","SSP4",47676.061174585,55919.1042450369,60261.0360822033,65469.0359263606,70600.1630551905,75413.3222877399,80202.2218045176,85379.7676697496,91012.2263818761,97411.8141891077,104911.28537466,113724.655293722,123881.756317079,135692.836390804,148973.514454889,163503.120054916,179433.594578808,"USD_2005"
"R32MEA-H","SSP5",47676.061174585,56064.1281070349,60986.8724388037,67938.2028806639,76222.6153169562,85020.0889621559,94656.0715859281,105684.971317778,118437.613714066,133280.403123785,150676.0578469,170840.451290287,193804.204467011,220145.018820415,249731.935081713,282209.298643973,317637.179090228,"USD_2005"
"R32MEA-M","SSP1",8341.51496640661,9307.13448672489,10252.1364451786,11670.681420578,13454.1487387802,15575.7051489908,17983.2511619802,20704.8272971697,23805.1781242476,27274.1864024302,31067.3159040121,35158.1502954081,39493.1149478633,44105.6953013705,48861.6027211956,53634.8514936674,58286.9254092553,"USD_2005"
"R32MEA-M","SSP2",8341.51496640661,9288.79033728108,10064.6359709414,11101.6385284391,12304.1879266476,13732.8496699917,15398.6997343746,17326.7308798971,19539.5877945361,22041.837782341,24808.5891906268,27837.2269063707,31084.8480373775,34569.8536126751,38193.9187893205,41888.9981172004,45595.6018414929,"USD_2005"
"R32MEA-M","SSP3",8341.51496640661,9268.18113441824,9935.58339142456,10660.8962192116,11223.149183827,11727.26652492,12210.4609290122,12686.1833694811,13156.9853898354,13640.8416112993,14131.5938596339,14649.9807491721,15176.3815110077,15721.8432510418,16247.2758140146,16743.2768019638,17212.7968914179,"USD_2005"
"R32MEA-M","SSP4",8341.51496640661,9276.78523291972,10072.6562070313,11080.1947862826,12090.5290731043,13173.6200601901,14354.2935570685,15658.0793071468,17110.8348071294,18738.675223379,20541.4400872303,22530.1391052318,24677.2820433052,27004.2644293444,29458.6209363022,32015.5813542605,34661.7382524911,"USD_2005"
"R32MEA-M","SSP5",8341.51496640661,9326.92028527184,10398.547317182,12180.6027738712,14652.6720126531,17662.5354505156,21134.2719232198,25145.596149266,29826.8394903156,35216.8183399155,41302.5388055163,48098.9823317895,55576.7309721006,63823.8191851473,72695.0253717563,82036.0261266761,91656.7243812459,"USD_2005"
"R32MEX","SSP1",18312.3109632013,20557.840298903,23353.5739517514,26002.9568171337,28992.3828692974,32014.4755354382,35008.0464266877,38026.4338669616,41181.4296865323,44414.9370843886,47687.8623294787,50929.3987238378,54034.9487910327,56967.0237060875,59640.8253038208,62045.7113350343,64169.7873569171,"USD_2005"
"R32MEX","SSP2",18312.3109632013,20557.8399246699,22949.8782500795,24678.1316564014,26456.2004741924,28371.3841400839,30443.3841661541,32638.5183837698,34940.952128032,37305.0365725661,39702.901269644,42102.431078732,44425.7207385061,46643.0968620357,48696.1512383308,50587.4804593897,52358.0899704525,"USD_2005"
"R32MEX","SSP3",18312.3109632013,20557.8412443634,22407.4573618871,22981.9240408991,23070.1685696925,23057.8877900182,23125.8073692782,23221.3742613998,23274.9352908514,23288.8222400728,23270.4429683268,23211.6344016395,23061.7958730271,22804.012710502,22424.9781631077,21948.4369069757,21416.0817307831,"USD_2005"
"R32MEX","SSP4",18312.3109632013,20557.8406831798,22944.8431291624,24683.594595873,26505.6588189859,28470.4694833791,30526.3123105622,32634.8964478621,34733.2203614518,36838.1251613046,38973.5988463297,41143.3592885873,43266.2490214982,45301.9682210479,47202.1592983629,48985.317968018,50731.7780602748,"USD_2005"
"R32MEX","SSP5",18312.3109632013,20557.8401670974,23821.0224800376,27492.6546080583,31868.1072078038,36295.8824222093,40751.7365741533,45420.9977767334,50490.5643972395,55932.9835371348,61710.1297971434,67744.2700839049,73908.680216313,80156.7500726407,86361.9569531435,92473.4798232569,98438.534963835,"USD_2005"
"R32NAF","SSP1",10488.2120999587,12024.1542473597,14140.778232871,16849.3635515088,20052.7311365751,23487.7135116904,27104.1206772416,30970.3672272675,35156.908611442,39618.298841418,44255.0559216624,48964.5680880375,53635.0286321516,58344.0016309311,63076.6781166768,67753.970746221,72180.8252594646,"USD_2005"
"R32NAF","SSP2",10488.2120999587,12024.6753695508,13885.8329682895,15966.4307008406,18242.8786610241,20715.3536925479,23431.8450641305,26441.5604200632,29726.9579313278,33247.5717212999,36913.9451993524,40637.3456934754,44308.3790944346,47979.5061058394,51650.0447086862,55305.8801689119,58841.1331617392,"USD_2005"
"R32NAF","SSP3",10488.2120999587,12024.1790376018,13617.0331972671,14984.2440566317,16075.0508229701,17064.9804952271,18110.2429226623,19248.2462009765,20411.7999326337,21584.3395110002,22712.8503120948,23751.4455919224,24635.2780562196,25398.8881357642,26054.9446158067,26622.0576171479,27071.7458263782,"USD_2005"
"R32NAF","SSP4",10488.2120999587,12025.3644753218,13741.0550983011,15459.0679598481,17167.006094509,18996.8444853956,21054.2617417621,23389.3320450797,25932.2372722395,28671.0180938194,31544.4030886003,34490.4079257148,37405.5429938096,40327.1748175347,43267.4191908807,46246.8635379673,49210.2226263022,"USD_2005"
"R32NAF","SSP5",10488.2120999587,12027.3080659887,14360.3126443151,17692.3127690472,21896.8196935608,26488.528242058,31411.5310314044,36844.1385440474,42950.4332365137,49739.3402875152,57134.5189729247,65036.5469284753,73315.7719936811,82096.1977815045,91381.0371009291,101075.265774896,110894.82510291,"USD_2005"
"R32OAS-CPA","SSP1",7826.38041481899,9900.0996098751,12950.8807821508,16663.5293975186,20872.1321470868,25289.6748810317,29791.3429413913,34469.6056079993,39435.4844747237,44755.2840241274,50337.2112032983,56099.563883074,61898.0642395332,67914.1080844822,73835.02675494,79554.299858273,84863.5971016893,"USD_2005"
"R32OAS-CPA","SSP2",7826.38041481899,9899.09501112696,12721.0981327315,15829.9167212812,19115.0673460858,22540.4055802233,26076.343112999,29777.9389586443,33683.2832571658,37843.2955870613,42180.8992020162,46642.7041810085,51120.9837223295,55753.7078282511,60340.5665062974,64853.5082385675,69204.4538391423,"USD_2005"
"R32OAS-CPA","SSP3",7826.38041481899,9898.66357625436,12414.7872956384,14754.0019739066,16765.6906791149,18573.9607520956,20274.1169045711,21906.313915212,23461.6751101253,24977.6874395775,26407.949782006,27739.2927429548,28927.3257588011,30059.2793056779,31061.5707223169,31960.379280813,32755.1750580116,"USD_2005"
"R32OAS-CPA","SSP4",7826.38041481899,9911.46052084918,12578.0975479845,15340.8946527401,18113.5590257136,20974.6336354656,23948.9220188575,27072.5678277152,30325.8668458636,33763.0553625875,37352.5834966439,41090.8424953233,44905.6206013563,48900.6064697114,52925.4372506959,56989.6132346915,61086.2736440499,"USD_2005"
"R32OAS-CPA","SSP5",7826.38041481899,9900.95351373849,13212.8509082532,17606.1245127599,22886.7520593395,28577.9579022672,34561.5576765678,41037.9842347102,48204.9253237187,56199.7171652718,64959.8597864303,74422.9965765999,84432.0455407981,95267.3020655391,106533.825957661,118086.117112982,129607.335852697,"USD_2005"
"R32OAS-L-PAS","SSP1",6604.73846773859,7629.19419594227,9331.37080648934,11525.2254806834,14230.3480948973,17267.6246702602,20547.7185929882,24084.5157730663,27939.0205833585,32085.9839191833,36484.3728703319,41087.8003430581,45817.345607371,50756.1692208394,55857.8163618532,61063.6739771293,66295.6066461954,"USD_2005"
"R32OAS-L-PAS","SSP2",6604.73846773859,7628.82153065332,9157.24042099077,10869.4547516245,12779.4792666068,14895.3417103991,17222.8065623354,19777.368215615,22575.6064274138,25597.7839760968,28809.0727778768,32184.1339531928,35671.3142141999,39347.8650559509,43186.6093035627,47157.0351932656,51210.273598042,"USD_2005"
"R32OAS-L-PAS","SSP3",6604.73846773859,7629.99641512084,8962.95158927645,10124.9757498403,11059.9940873326,11873.8597834542,12661.9477888524,13437.2682238206,14187.3306811562,14903.5017380406,15570.711192135,16191.1578518283,16757.9309826106,17320.3996107441,17877.966638423,18428.8837915061,18967.7522982234,"USD_2005"
"R32OAS-L-PAS","SSP4",6604.73846773859,7629.50637740797,9042.58158537508,10465.5067958496,11910.2866252436,13465.888612437,15178.6049457964,17064.5763884629,19109.201066699,21303.2360453578,23623.6865588538,26069.0231638058,28618.5454977114,31345.5387940637,34241.5379399951,37296.5810127285,40491.4715012763,"USD_2005"
"R32OAS-L-PAS","SSP5",6604.73846773859,7628.66559536233,9481.56974320261,12149.2510545577,15681.3310082554,19733.8726170901,24190.983822757,29143.3328702784,34728.119258289,40969.4943278221,47863.6824057805,55392.1343889949,63485.0474265689,72295.8202482974,81803.0730000263,91959.3384595673,102677.255471844,"USD_2005"
"R32OAS-L-SAS","SSP1",5642.48613648116,7320.55388568355,9419.26252499858,12283.5019036203,16036.3124151742,20468.8716147869,25418.0349280029,30851.6845044727,36811.9470258852,43280.1901451246,50240.1551661161,57668.2964184915,65311.8083801075,73092.3643041485,80751.2024906864,88428.947550043,96200.8302173724,"USD_2005"
"R32OAS-L-SAS","SSP2",5642.48613648116,7319.8916417489,9227.58578999986,11495.8508018301,14173.8489577636,17253.6847264866,20721.008486123,24564.6263147932,28794.0741499357,33415.2066975357,38425.2457205985,43805.3084925383,49362.5375769143,55046.3798691671,60708.2008257571,66463.6268706868,72355.3179410416,"USD_2005"
"R32OAS-L-SAS","SSP3",5642.48613648116,7317.79747821548,9001.04204349982,10584.2463252089,11944.1498741288,13122.5739090963,14201.9247586233,15167.0105223285,16010.6806361484,16761.4386855184,17429.9090802045,18013.5612693998,18449.1776022839,18752.4004570148,18921.5789111706,19026.0352465074,19091.6586377645,"USD_2005"
