scenario_supply,region_gea,material,production,year,emission_factor,unit
1p5C,EEU,copper,primary,2050,2.568063353,kgco2e/kg
1p5C,EEU,copper,primary,2060,2.488230133,kgco2e/kg
1p5C,EEU,copper,primary,2070,2.419654943,kgco2e/kg
1p5C,EEU,copper,primary,2080,2.402930078,kgco2e/kg
1p5C,EEU,copper,primary,2090,2.371150072,kgco2e/kg
1p5C,EEU,copper,primary,2100,2.36828894,kgco2e/kg
1p5C,EEU,copper,secondary,2020,1.650324957,kgco2e/kg
1p5C,EEU,copper,secondary,2025,1.6368501035,kgco2e/kg
1p5C,EEU,copper,secondary,2030,1.16054612,kgco2e/kg
1p5C,EEU,copper,secondary,2040,1.023224243,kgco2e/kg
1p5C,EEU,copper,secondary,2050,0.990030314,kgco2e/kg
1p5C,EEU,copper,secondary,2060,0.977676894,kgco2e/kg
1p5C,EEU,copper,secondary,2070,0.97394825,kgco2e/kg
1p5C,EEU,copper,secondary,2080,0.986396537,kgco2e/kg
1p5C,EEU,copper,secondary,2090,0.981132338,kgco2e/kg
1p5C,EEU,copper,secondary,2100,0.979990944,kgco2e/kg
1p5C,EEU,glass,primary,2020,1.128042383,kgco2e/kg
1p5C,EEU,glass,primary,2025,1.1136197635,kgco2e/kg
1p5C,EEU,glass,primary,2030,0.895308392,kgco2e/kg
1p5C,EEU,glass,primary,2040,0.795093691,kgco2e/kg
1p5C,EEU,glass,primary,2050,0.747515566,kgco2e/kg
1p5C,EEU,glass,primary,2060,0.72113265,kgco2e/kg
1p5C,EEU,glass,primary,2070,0.728788002,kgco2e/kg
1p5C,EEU,glass,primary,2080,0.755912338,kgco2e/kg
1p5C,EEU,glass,primary,2090,0.770691698,kgco2e/kg
1p5C,EEU,glass,primary,2100,0.773585957,kgco2e/kg
1p5C,EEU,mortar,primary,2020,0.219366782,kgco2e/kg
1p5C,EEU,mortar,primary,2025,0.21786172450000002,kgco2e/kg
1p5C,EEU,mortar,primary,2030,0.17901792,kgco2e/kg
1p5C,EEU,mortar,primary,2040,0.117691314,kgco2e/kg
