region_gea,material,production,unit,year,1p5C,NPi,diff_1p5C_vs_NPi,pct_diff_1p5C_vs_NPi
PAO,plaster,primary,kgco2e/kg,2025,0.896430422,0.896430422,0,0
PAO,steel,primary,kgco2e/kg,2020,2.092118154,2.092118154,0,0
PAO,steel,primary,kgco2e/kg,2025,2.0152957375,2.0152957375,0,0
PAO,steel,secondary,kgco2e/kg,2020,1.228308087,1.228308087,0,0
PAO,steel,secondary,kgco2e/kg,2025,1.189413991,1.189413991,0,0
PAO,wood,primary,kgco2e/kg,2020,0.131523389,0.131523389,0,0
PAO,wood,primary,kgco2e/kg,2025,0.129721068,0.129721068,0,0
PAS,aluminum,primary,kgco2e/kg,2020,16.21619114,16.21619114,0,0
PAS,aluminum,primary,kgco2e/kg,2025,15.963442745,15.963442745,0,0
PAS,aluminum,secondary,kgco2e/kg,2020,0.922967288,0.922967288,0,0
PAS,aluminum,secondary,kgco2e/kg,2025,0.911334575,0.911334575,0,0
PAS,brick,primary,kgco2e/kg,2020,0.255354211,0.255354211,0,0
PAS,brick,primary,kgco2e/kg,2025,0.25439529,0.25439529,0,0
PAS,concrete,primary,kgco2e/kg,2020,0.82534951,0.82534951,0,0
PAS,concrete,primary,kgco2e/kg,2025,0.811688062,0.811688062,0,0
PAS,copper,primary,kgco2e/kg,2020,5.671664441,5.671664441,0,0
PAS,copper,primary,kgco2e/kg,2025,5.5737000525,5.5737000525,0,0
PAS,copper,secondary,kgco2e/kg,2020,1.650324957,1.650324957,0,0
PAS,copper,secondary,kgco2e/kg,2025,1.6368501035,1.6368501035,0,0
PAS,glass,primary,kgco2e/kg,2020,1.128042383,1.128042383,0,0
PAS,glass,primary,kgco2e/kg,2025,1.1136197635,1.1136197635,0,0
PAS,mortar,primary,kgco2e/kg,2020,0.219366782,0.219366782,0,0
PAS,mortar,primary,kgco2e/kg,2025,0.21786172450000002,0.21786172450000002,0,0
PAS,plaster,primary,kgco2e/kg,2020,0.907684029,0.907684029,0,0
PAS,plaster,primary,kgco2e/kg,2025,0.896430422,0.896430422,0,0
PAS,steel,primary,kgco2e/kg,2020,2.113993858,2.113993858,0,0
PAS,steel,primary,kgco2e/kg,2025,2.104055065,2.104055065,0,0
PAS,steel,secondary,kgco2e/kg,2020,1.26426652,1.26426652,0,0
PAS,steel,secondary,kgco2e/kg,2025,1.245272222,1.245272222,0,0
PAS,wood,primary,kgco2e/kg,2020,0.131523389,0.131523389,0,0
PAS,wood,primary,kgco2e/kg,2025,0.129721068,0.129721068,0,0
SAS,aluminum,primary,kgco2e/kg,2020,14.50751932,14.50751932,0,0
SAS,aluminum,primary,kgco2e/kg,2025,14.38359667,14.38359667,0,0
SAS,aluminum,secondary,kgco2e/kg,2020,0.922967288,0.922967288,0,0
SAS,aluminum,secondary,kgco2e/kg,2025,0.911334575,0.911334575,0,0
SAS,brick,primary,kgco2e/kg,2020,0.255354211,0.255354211,0,0
SAS,brick,primary,kgco2e/kg,2025,0.25439529,0.25439529,0,0
SAS,concrete,primary,kgco2e/kg,2020,1.137691232,1.137691232,0,0
SAS,concrete,primary,kgco2e/kg,2025,1.037059208,1.037059208,0,0
SAS,copper,primary,kgco2e/kg,2020,5.671664441,5.671664441,0,0
SAS,copper,primary,kgco2e/kg,2025,5.5737000525,5.5737000525,0,0
SAS,copper,secondary,kgco2e/kg,2020,1.650324957,1.650324957,0,0
SAS,copper,secondary,kgco2e/kg,2025,1.6368501035,1.6368501035,0,0
SAS,glass,primary,kgco2e/kg,2020,1.128042383,1.128042383,0,0
SAS,glass,primary,kgco2e/kg,2025,1.1136197635,1.1136197635,0,0
SAS,mortar,primary,kgco2e/kg,2020,0.219366782,0.219366782,0,0
SAS,mortar,primary,kgco2e/kg,2025,0.21786172450000002,0.21786172450000002,0,0
SAS,plaster,primary,kgco2e/kg,2020,0.907684029,0.907684029,0,0
SAS,plaster,primary,kgco2e/kg,2025,0.896430422,0.896430422,0,0
SAS,steel,primary,kgco2e/kg,2020,1.821170562,1.821170562,0,0
SAS,steel,primary,kgco2e/kg,2025,1.735610738,1.735610738,0,0
SAS,steel,secondary,kgco2e/kg,2020,1.239779375,1.239779375,0,0
SAS,steel,secondary,kgco2e/kg,2025,1.2102207625,1.2102207625,0,0
SAS,wood,primary,kgco2e/kg,2020,0.131523389,0.131523389,0,0
SAS,wood,primary,kgco2e/kg,2025,0.129721068,0.129721068,0,0
WEU,aluminum,primary,kgco2e/kg,2020,14.50751932,14.50751932,0,0
WEU,aluminum,primary,kgco2e/kg,2025,14.38359667,14.38359667,0,0
WEU,aluminum,secondary,kgco2e/kg,2020,0.922967288,0.922967288,0,0
WEU,aluminum,secondary,kgco2e/kg,2025,0.911334575,0.911334575,0,0
WEU,brick,primary,kgco2e/kg,2020,0.255354211,0.255354211,0,0
WEU,brick,primary,kgco2e/kg,2025,0.25439529,0.25439529,0,0
WEU,concrete,primary,kgco2e/kg,2020,0.82534951,0.82534951,0,0
WEU,concrete,primary,kgco2e/kg,2025,0.811688062,0.811688062,0,0
WEU,copper,primary,kgco2e/kg,2020,5.671664441,5.671664441,0,0
WEU,copper,primary,kgco2e/kg,2025,5.5737000525,5.5737000525,0,0
WEU,copper,secondary,kgco2e/kg,2020,1.650324957,1.650324957,0,0
WEU,copper,secondary,kgco2e/kg,2025,1.6368501035,1.6368501035,0,0
WEU,glass,primary,kgco2e/kg,2020,1.128042383,1.128042383,0,0
WEU,glass,primary,kgco2e/kg,2025,1.1136197635,1.1136197635,0,0
WEU,mortar,primary,kgco2e/kg,2020,0.219366782,0.219366782,0,0
WEU,mortar,primary,kgco2e/kg,2025,0.21786172450000002,0.21786172450000002,0,0
WEU,plaster,primary,kgco2e/kg,2020,0.907684029,0.907684029,0,0
WEU,plaster,primary,kgco2e/kg,2025,0.896430422,0.896430422,0,0
WEU,steel,primary,kgco2e/kg,2020,0.880637012,0.880637012,0,0
WEU,steel,primary,kgco2e/kg,2025,0.8695784485,0.8695784485,0,0
WEU,steel,secondary,kgco2e/kg,2020,1.650324957,1.650324957,0,0
WEU,steel,secondary,kgco2e/kg,2025,1.6368501035,1.6368501035,0,0
WEU,wood,primary,kgco2e/kg,2020,0.131523389,0.131523389,0,0
WEU,wood,primary,kgco2e/kg,2025,0.129721068,0.129721068,0,0
