"","type","MESSAGE_R12","year","scenario","emission_factor","unit"
"90","primary_aluminium","MEA",2040,"image_ssp2_rcp19",7.18699829169004,"kgco2e/kg"
"91","primary_aluminium","MEA",2050,"image_ssp2_base",13.7128182589558,"kgco2e/kg"
"92","primary_aluminium","MEA",2050,"image_ssp2_rcp19",6.84859989981724,"kgco2e/kg"
"93","primary_aluminium","MEA",2060,"image_ssp2_base",12.2380939921977,"kgco2e/kg"
"94","primary_aluminium","MEA",2060,"image_ssp2_rcp19",6.78869663861737,"kgco2e/kg"
"95","primary_aluminium","MEA",2070,"image_ssp2_base",11.626246883642,"kgco2e/kg"
"96","primary_aluminium","MEA",2070,"image_ssp2_rcp19",6.70425093910982,"kgco2e/kg"
"97","primary_aluminium","MEA",2080,"image_ssp2_base",11.2203701639442,"kgco2e/kg"
"98","primary_aluminium","MEA",2080,"image_ssp2_rcp19",6.68081731471566,"kgco2e/kg"
"99","primary_aluminium","MEA",2090,"image_ssp2_base",10.8206822897633,"kgco2e/kg"
"100","primary_aluminium","MEA",2090,"image_ssp2_rcp19",6.59250352289064,"kgco2e/kg"
"101","primary_aluminium","MEA",2100,"image_ssp2_base",10.6050333265886,"kgco2e/kg"
"102","primary_aluminium","MEA",2100,"image_ssp2_rcp19",6.54924703136514,"kgco2e/kg"
"103","primary_aluminium","NAM",2020,"image_ssp2_base",14.5075193220672,"kgco2e/kg"
"104","primary_aluminium","NAM",2030,"image_ssp2_base",14.2596740244073,"kgco2e/kg"
"105","primary_aluminium","NAM",2030,"image_ssp2_rcp19",9.0009084096818,"kgco2e/kg"
"106","primary_aluminium","NAM",2040,"image_ssp2_base",14.1431842283059,"kgco2e/kg"
"107","primary_aluminium","NAM",2040,"image_ssp2_rcp19",7.18699829169004,"kgco2e/kg"
"108","primary_aluminium","NAM",2050,"image_ssp2_base",13.7128182589558,"kgco2e/kg"
"109","primary_aluminium","NAM",2050,"image_ssp2_rcp19",6.84859989981724,"kgco2e/kg"
"110","primary_aluminium","NAM",2060,"image_ssp2_base",12.2380939921977,"kgco2e/kg"
"111","primary_aluminium","NAM",2060,"image_ssp2_rcp19",6.78869663861737,"kgco2e/kg"
"112","primary_aluminium","NAM",2070,"image_ssp2_base",11.626246883642,"kgco2e/kg"
"113","primary_aluminium","NAM",2070,"image_ssp2_rcp19",6.70425093910982,"kgco2e/kg"
"114","primary_aluminium","NAM",2080,"image_ssp2_base",11.2203701639442,"kgco2e/kg"
"115","primary_aluminium","NAM",2080,"image_ssp2_rcp19",6.68081731471566,"kgco2e/kg"
"116","primary_aluminium","NAM",2090,"image_ssp2_base",10.8206822897633,"kgco2e/kg"
"117","primary_aluminium","NAM",2090,"image_ssp2_rcp19",6.59250352289064,"kgco2e/kg"
"118","primary_aluminium","NAM",2100,"image_ssp2_base",10.6050333265886,"kgco2e/kg"
"119","primary_aluminium","NAM",2100,"image_ssp2_rcp19",6.54924703136514,"kgco2e/kg"
"120","primary_aluminium","PAO",2020,"image_ssp2_base",13.7211881474844,"kgco2e/kg"
"121","primary_aluminium","PAO",2030,"image_ssp2_base",12.2753632392367,"kgco2e/kg"
"122","primary_aluminium","PAO",2030,"image_ssp2_rcp19",7.00567551141327,"kgco2e/kg"
"123","primary_aluminium","PAO",2040,"image_ssp2_base",11.1202460386238,"kgco2e/kg"
"124","primary_aluminium","PAO",2040,"image_ssp2_rcp19",6.0726188247278,"kgco2e/kg"
"125","primary_aluminium","PAO",2050,"image_ssp2_base",10.715478119571,"kgco2e/kg"
"126","primary_aluminium","PAO",2050,"image_ssp2_rcp19",5.94242278226014,"kgco2e/kg"
"127","primary_aluminium","PAO",2060,"image_ssp2_base",10.1245918012602,"kgco2e/kg"
"128","primary_aluminium","PAO",2060,"image_ssp2_rcp19",5.87812845278253,"kgco2e/kg"
"129","primary_aluminium","PAO",2070,"image_ssp2_base",8.37114759390727,"kgco2e/kg"
"130","primary_aluminium","PAO",2070,"image_ssp2_rcp19",5.83992957076705,"kgco2e/kg"
"131","primary_aluminium","PAO",2080,"image_ssp2_base",7.47948565759302,"kgco2e/kg"
"132","primary_aluminium","PAO",2080,"image_ssp2_rcp19",5.81938906580334,"kgco2e/kg"
"133","primary_aluminium","PAO",2090,"image_ssp2_base",7.23380635459816,"kgco2e/kg"
"134","primary_aluminium","PAO",2090,"image_ssp2_rcp19",5.79885954355615,"kgco2e/kg"
"135","primary_aluminium","PAO",2100,"image_ssp2_base",7.41464266102326,"kgco2e/kg"
"136","primary_aluminium","PAO",2100,"image_ssp2_rcp19",5.80187565937488,"kgco2e/kg"
"137","primary_aluminium","PAS",2020,"image_ssp2_base",16.2161911377157,"kgco2e/kg"
"138","primary_aluminium","PAS",2030,"image_ssp2_base",15.7106943530088,"kgco2e/kg"
"139","primary_aluminium","PAS",2030,"image_ssp2_rcp19",10.198058397614,"kgco2e/kg"
"140","primary_aluminium","PAS",2040,"image_ssp2_base",15.2461448981017,"kgco2e/kg"
"141","primary_aluminium","PAS",2040,"image_ssp2_rcp19",8.11078095445102,"kgco2e/kg"
"142","primary_aluminium","PAS",2050,"image_ssp2_base",14.5784367682729,"kgco2e/kg"
"143","primary_aluminium","PAS",2050,"image_ssp2_rcp19",7.18845300731451,"kgco2e/kg"
"144","primary_aluminium","PAS",2060,"image_ssp2_base",12.7522153062608,"kgco2e/kg"
"145","primary_aluminium","PAS",2060,"image_ssp2_rcp19",6.94836297762393,"kgco2e/kg"
"146","primary_aluminium","PAS",2070,"image_ssp2_base",12.0594509743187,"kgco2e/kg"
"147","primary_aluminium","PAS",2070,"image_ssp2_rcp19",6.46394295791415,"kgco2e/kg"
"148","primary_aluminium","PAS",2080,"image_ssp2_base",11.534051562977,"kgco2e/kg"
"149","primary_aluminium","PAS",2080,"image_ssp2_rcp19",6.46441813016248,"kgco2e/kg"
"150","primary_aluminium","PAS",2090,"image_ssp2_base",11.1320728356242,"kgco2e/kg"
"151","primary_aluminium","PAS",2090,"image_ssp2_rcp19",6.46703761252859,"kgco2e/kg"
"152","primary_aluminium","PAS",2100,"image_ssp2_base",11.5057227230423,"kgco2e/kg"
"153","primary_aluminium","PAS",2100,"image_ssp2_rcp19",6.32809573777136,"kgco2e/kg"
"154","primary_aluminium","RCPA",2020,"image_ssp2_base",14.5075193220672,"kgco2e/kg"
"155","primary_aluminium","RCPA",2030,"image_ssp2_base",14.2596740244073,"kgco2e/kg"
"156","primary_aluminium","RCPA",2030,"image_ssp2_rcp19",9.0009084096818,"kgco2e/kg"
"157","primary_aluminium","RCPA",2040,"image_ssp2_base",14.1431842283059,"kgco2e/kg"
"158","primary_aluminium","RCPA",2040,"image_ssp2_rcp19",7.18699829169004,"kgco2e/kg"
"159","primary_aluminium","RCPA",2050,"image_ssp2_base",13.7128182589558,"kgco2e/kg"
"160","primary_aluminium","RCPA",2050,"image_ssp2_rcp19",6.84859989981724,"kgco2e/kg"
"161","primary_aluminium","RCPA",2060,"image_ssp2_base",12.2380939921977,"kgco2e/kg"
"162","primary_aluminium","RCPA",2060,"image_ssp2_rcp19",6.78869663861737,"kgco2e/kg"
"163","primary_aluminium","RCPA",2070,"image_ssp2_base",11.626246883642,"kgco2e/kg"
"164","primary_aluminium","RCPA",2070,"image_ssp2_rcp19",6.70425093910982,"kgco2e/kg"
"165","primary_aluminium","RCPA",2080,"image_ssp2_base",11.2203701639442,"kgco2e/kg"
"166","primary_aluminium","RCPA",2080,"image_ssp2_rcp19",6.68081731471566,"kgco2e/kg"
"167","primary_aluminium","RCPA",2090,"image_ssp2_base",10.8206822897633,"kgco2e/kg"
"168","primary_aluminium","RCPA",2090,"image_ssp2_rcp19",6.59250352289064,"kgco2e/kg"
"169","primary_aluminium","RCPA",2100,"image_ssp2_base",10.6050333265886,"kgco2e/kg"
"170","primary_aluminium","RCPA",2100,"image_ssp2_rcp19",6.54924703136514,"kgco2e/kg"
"171","primary_aluminium","SAS",2020,"image_ssp2_base",14.5075193220672,"kgco2e/kg"
"172","primary_aluminium","SAS",2030,"image_ssp2_base",14.2596740244073,"kgco2e/kg"
"173","primary_aluminium","SAS",2030,"image_ssp2_rcp19",9.0009084096818,"kgco2e/kg"
"174","primary_aluminium","SAS",2040,"image_ssp2_base",14.1431842283059,"kgco2e/kg"
"175","primary_aluminium","SAS",2040,"image_ssp2_rcp19",7.18699829169004,"kgco2e/kg"
"176","primary_aluminium","SAS",2050,"image_ssp2_base",13.7128182589558,"kgco2e/kg"
"177","primary_aluminium","SAS",2050,"image_ssp2_rcp19",6.84859989981724,"kgco2e/kg"
"178","primary_aluminium","SAS",2060,"image_ssp2_base",12.2380939921977,"kgco2e/kg"
