"","scenario_supply","region_gea","material","production","year","emission_factor","unit"
"343","1p5C","PAS","brick","primary",2030,0.233040632161683,"kgco2e/kg"
"344","NPi","PAS","brick","primary",2040,0.252067883933655,"kgco2e/kg"
"345","1p5C","PAS","brick","primary",2040,0.224760200955597,"kgco2e/kg"
"346","NPi","PAS","brick","primary",2050,0.249216103092977,"kgco2e/kg"
"347","1p5C","PAS","brick","primary",2050,0.221729875025139,"kgco2e/kg"
"348","NPi","PAS","brick","primary",2060,0.242895938067345,"kgco2e/kg"
"349","1p5C","PAS","brick","primary",2060,0.220215127633579,"kgco2e/kg"
"350","NPi","PAS","brick","primary",2070,0.239871420112532,"kgco2e/kg"
"351","1p5C","PAS","brick","primary",2070,0.219133406060057,"kgco2e/kg"
"352","NPi","PAS","brick","primary",2080,0.23864220810427,"kgco2e/kg"
"353","1p5C","PAS","brick","primary",2080,0.218868300578341,"kgco2e/kg"
"354","NPi","PAS","brick","primary",2090,0.236807361914845,"kgco2e/kg"
"355","1p5C","PAS","brick","primary",2090,0.218697755878831,"kgco2e/kg"
"356","NPi","PAS","brick","primary",2100,0.234254489674243,"kgco2e/kg"
"357","1p5C","PAS","brick","primary",2100,0.218940619582365,"kgco2e/kg"
"358","NPi","RCPA","brick","primary",2020,0.255354211059323,"kgco2e/kg"
"359","NPi","RCPA","brick","primary",2030,0.253436368881112,"kgco2e/kg"
"360","1p5C","RCPA","brick","primary",2030,0.233040632161683,"kgco2e/kg"
"361","NPi","RCPA","brick","primary",2040,0.252067883933655,"kgco2e/kg"
"362","1p5C","RCPA","brick","primary",2040,0.224760200955597,"kgco2e/kg"
"363","NPi","RCPA","brick","primary",2050,0.249216103092977,"kgco2e/kg"
"364","1p5C","RCPA","brick","primary",2050,0.221729875025139,"kgco2e/kg"
"365","NPi","RCPA","brick","primary",2060,0.242895938067345,"kgco2e/kg"
"366","1p5C","RCPA","brick","primary",2060,0.220215127633579,"kgco2e/kg"
"367","NPi","RCPA","brick","primary",2070,0.239871420112532,"kgco2e/kg"
"368","1p5C","RCPA","brick","primary",2070,0.219133406060057,"kgco2e/kg"
"369","NPi","RCPA","brick","primary",2080,0.23864220810427,"kgco2e/kg"
"370","1p5C","RCPA","brick","primary",2080,0.218868300578341,"kgco2e/kg"
"371","NPi","RCPA","brick","primary",2090,0.236807361914845,"kgco2e/kg"
"372","1p5C","RCPA","brick","primary",2090,0.218697755878831,"kgco2e/kg"
"373","NPi","RCPA","brick","primary",2100,0.234254489674243,"kgco2e/kg"
"374","1p5C","RCPA","brick","primary",2100,0.218940619582365,"kgco2e/kg"
"375","NPi","SAS","brick","primary",2020,0.255354211059323,"kgco2e/kg"
"376","NPi","SAS","brick","primary",2030,0.253436368881112,"kgco2e/kg"
"377","1p5C","SAS","brick","primary",2030,0.233040632161683,"kgco2e/kg"
"378","NPi","SAS","brick","primary",2040,0.252067883933655,"kgco2e/kg"
"379","1p5C","SAS","brick","primary",2040,0.224760200955597,"kgco2e/kg"
"380","NPi","SAS","brick","primary",2050,0.249216103092977,"kgco2e/kg"
"381","1p5C","SAS","brick","primary",2050,0.221729875025139,"kgco2e/kg"
"382","NPi","SAS","brick","primary",2060,0.242895938067345,"kgco2e/kg"
"383","1p5C","SAS","brick","primary",2060,0.220215127633579,"kgco2e/kg"
"384","NPi","SAS","brick","primary",2070,0.239871420112532,"kgco2e/kg"
"385","1p5C","SAS","brick","primary",2070,0.219133406060057,"kgco2e/kg"
"386","NPi","SAS","brick","primary",2080,0.23864220810427,"kgco2e/kg"
"387","1p5C","SAS","brick","primary",2080,0.218868300578341,"kgco2e/kg"
"388","NPi","SAS","brick","primary",2090,0.236807361914845,"kgco2e/kg"
"389","1p5C","SAS","brick","primary",2090,0.218697755878831,"kgco2e/kg"
"390","NPi","SAS","brick","primary",2100,0.234254489674243,"kgco2e/kg"
"391","1p5C","SAS","brick","primary",2100,0.218940619582365,"kgco2e/kg"
"392","NPi","WEU","brick","primary",2020,0.255354211059323,"kgco2e/kg"
"393","NPi","WEU","brick","primary",2030,0.253436368881112,"kgco2e/kg"
"394","1p5C","WEU","brick","primary",2030,0.233040632161683,"kgco2e/kg"
"395","NPi","WEU","brick","primary",2040,0.252067883933655,"kgco2e/kg"
"396","1p5C","WEU","brick","primary",2040,0.224760200955597,"kgco2e/kg"
"397","NPi","WEU","brick","primary",2050,0.249216103092977,"kgco2e/kg"
"398","1p5C","WEU","brick","primary",2050,0.221729875025139,"kgco2e/kg"
"399","NPi","WEU","brick","primary",2060,0.242895938067345,"kgco2e/kg"
"400","1p5C","WEU","brick","primary",2060,0.220215127633579,"kgco2e/kg"
"401","NPi","WEU","brick","primary",2070,0.239871420112532,"kgco2e/kg"
"402","1p5C","WEU","brick","primary",2070,0.219133406060057,"kgco2e/kg"
"403","NPi","WEU","brick","primary",2080,0.23864220810427,"kgco2e/kg"
"404","1p5C","WEU","brick","primary",2080,0.218868300578341,"kgco2e/kg"
"405","NPi","WEU","brick","primary",2090,0.236807361914845,"kgco2e/kg"
"406","1p5C","WEU","brick","primary",2090,0.218697755878831,"kgco2e/kg"
"407","NPi","WEU","brick","primary",2100,0.234254489674243,"kgco2e/kg"
"408","1p5C","WEU","brick","primary",2100,0.218940619582365,"kgco2e/kg"
"409","NPi","AFR","concrete","primary",2020,0.124062386219819,"kgco2e/kg"
"410","NPi","AFR","concrete","primary",2030,0.122536229123637,"kgco2e/kg"
"411","1p5C","AFR","concrete","primary",2030,0.0738530213546054,"kgco2e/kg"
"412","NPi","AFR","concrete","primary",2040,0.121329878868876,"kgco2e/kg"
"413","1p5C","AFR","concrete","primary",2040,0.0449392533992874,"kgco2e/kg"
"414","NPi","AFR","concrete","primary",2050,0.119637623205282,"kgco2e/kg"
"415","1p5C","AFR","concrete","primary",2050,0.0390190687498328,"kgco2e/kg"
"416","NPi","AFR","concrete","primary",2060,0.115385264007239,"kgco2e/kg"
"417","1p5C","AFR","concrete","primary",2060,0.0352053308785502,"kgco2e/kg"
"418","NPi","AFR","concrete","primary",2070,0.111097100324089,"kgco2e/kg"
"419","1p5C","AFR","concrete","primary",2070,0.0335475456929143,"kgco2e/kg"
"420","NPi","AFR","concrete","primary",2080,0.10940834457353,"kgco2e/kg"
"421","1p5C","AFR","concrete","primary",2080,0.0339955642358017,"kgco2e/kg"
"422","NPi","AFR","concrete","primary",2090,0.108736603274184,"kgco2e/kg"
"423","1p5C","AFR","concrete","primary",2090,0.0335411976557319,"kgco2e/kg"
"424","NPi","AFR","concrete","primary",2100,0.107563619131188,"kgco2e/kg"
"425","1p5C","AFR","concrete","primary",2100,0.0333885745928327,"kgco2e/kg"
"426","NPi","CHN","concrete","primary",2020,0.825349510201989,"kgco2e/kg"
"427","NPi","CHN","concrete","primary",2030,0.79802661435771,"kgco2e/kg"
"428","1p5C","CHN","concrete","primary",2030,0.609719640022001,"kgco2e/kg"
"429","NPi","CHN","concrete","primary",2040,0.740798042870699,"kgco2e/kg"
"430","1p5C","CHN","concrete","primary",2040,0.504022750024063,"kgco2e/kg"
"431","NPi","CHN","concrete","primary",2050,0.710818580398354,"kgco2e/kg"
"432","1p5C","CHN","concrete","primary",2050,0.451483976012305,"kgco2e/kg"
"433","NPi","CHN","concrete","primary",2060,0.689925322815031,"kgco2e/kg"
"434","1p5C","CHN","concrete","primary",2060,0.415725573320816,"kgco2e/kg"
"435","NPi","CHN","concrete","primary",2070,0.680203461352861,"kgco2e/kg"
"436","1p5C","CHN","concrete","primary",2070,0.423893279179192,"kgco2e/kg"
"437","NPi","CHN","concrete","primary",2080,0.67453668911707,"kgco2e/kg"
"438","1p5C","CHN","concrete","primary",2080,0.451073993000562,"kgco2e/kg"
"439","NPi","CHN","concrete","primary",2090,0.668619515507331,"kgco2e/kg"
"440","1p5C","CHN","concrete","primary",2090,0.466474384836693,"kgco2e/kg"
"441","NPi","CHN","concrete","primary",2100,0.664333779969531,"kgco2e/kg"
"442","1p5C","CHN","concrete","primary",2100,0.469513325229835,"kgco2e/kg"
"443","NPi","EEU","concrete","primary",2020,0.825349510201989,"kgco2e/kg"
"444","NPi","EEU","concrete","primary",2030,0.79802661435771,"kgco2e/kg"
"445","1p5C","EEU","concrete","primary",2030,0.609719640022001,"kgco2e/kg"
"446","NPi","EEU","concrete","primary",2040,0.740798042870699,"kgco2e/kg"
"447","1p5C","EEU","concrete","primary",2040,0.504022750024063,"kgco2e/kg"
"448","NPi","EEU","concrete","primary",2050,0.710818580398354,"kgco2e/kg"
"449","1p5C","EEU","concrete","primary",2050,0.451483976012305,"kgco2e/kg"
"450","NPi","EEU","concrete","primary",2060,0.689925322815031,"kgco2e/kg"
"451","1p5C","EEU","concrete","primary",2060,0.415725573320816,"kgco2e/kg"
"452","NPi","EEU","concrete","primary",2070,0.680203461352861,"kgco2e/kg"
"453","1p5C","EEU","concrete","primary",2070,0.423893279179192,"kgco2e/kg"
"454","NPi","EEU","concrete","primary",2080,0.67453668911707,"kgco2e/kg"
"455","1p5C","EEU","concrete","primary",2080,0.451073993000562,"kgco2e/kg"
"456","NPi","EEU","concrete","primary",2090,0.668619515507331,"kgco2e/kg"
"457","1p5C","EEU","concrete","primary",2090,0.466474384836693,"kgco2e/kg"
"458","NPi","EEU","concrete","primary",2100,0.664333779969531,"kgco2e/kg"
"459","1p5C","EEU","concrete","primary",2100,0.469513325229835,"kgco2e/kg"
"460","NPi","FSU","concrete","primary",2020,0.825349510201989,"kgco2e/kg"
"461","NPi","FSU","concrete","primary",2030,0.79802661435771,"kgco2e/kg"
"462","1p5C","FSU","concrete","primary",2030,0.609719640022001,"kgco2e/kg"
"463","NPi","FSU","concrete","primary",2040,0.740798042870699,"kgco2e/kg"
"464","1p5C","FSU","concrete","primary",2040,0.504022750024063,"kgco2e/kg"
"465","NPi","FSU","concrete","primary",2050,0.710818580398354,"kgco2e/kg"
"466","1p5C","FSU","concrete","primary",2050,0.451483976012305,"kgco2e/kg"
"467","NPi","FSU","concrete","primary",2060,0.689925322815031,"kgco2e/kg"
"468","1p5C","FSU","concrete","primary",2060,0.415725573320816,"kgco2e/kg"
"469","NPi","FSU","concrete","primary",2070,0.680203461352861,"kgco2e/kg"
"470","1p5C","FSU","concrete","primary",2070,0.423893279179192,"kgco2e/kg"
"471","NPi","FSU","concrete","primary",2080,0.67453668911707,"kgco2e/kg"
"472","1p5C","FSU","concrete","primary",2080,0.451073993000562,"kgco2e/kg"
"473","NPi","FSU","concrete","primary",2090,0.668619515507331,"kgco2e/kg"
"474","1p5C","FSU","concrete","primary",2090,0.466474384836693,"kgco2e/kg"
"475","NPi","FSU","concrete","primary",2100,0.664333779969531,"kgco2e/kg"
"476","1p5C","FSU","concrete","primary",2100,0.469513325229835,"kgco2e/kg"
"477","NPi","LAM","concrete","primary",2020,0.604215342531532,"kgco2e/kg"
"478","NPi","LAM","concrete","primary",2030,0.598172586377069,"kgco2e/kg"
"479","1p5C","LAM","concrete","primary",2030,0.449116580460369,"kgco2e/kg"
"480","NPi","LAM","concrete","primary",2040,0.118229297234931,"kgco2e/kg"
"481","1p5C","LAM","concrete","primary",2040,0.369908212792185,"kgco2e/kg"
"482","NPi","LAM","concrete","primary",2050,0.572966942492282,"kgco2e/kg"
"483","1p5C","LAM","concrete","primary",2050,0.338300763893777,"kgco2e/kg"
"484","NPi","LAM","concrete","primary",2060,0.559353950363147,"kgco2e/kg"
"485","1p5C","LAM","concrete","primary",2060,0.328888333283824,"kgco2e/kg"
"486","NPi","LAM","concrete","primary",2070,0.548713602542557,"kgco2e/kg"
"487","1p5C","LAM","concrete","primary",2070,0.324312232869309,"kgco2e/kg"
"488","NPi","LAM","concrete","primary",2080,0.113279435626546,"kgco2e/kg"
"489","1p5C","LAM","concrete","primary",2080,0.32455098707814,"kgco2e/kg"
"490","NPi","LAM","concrete","primary",2090,0.531885347140716,"kgco2e/kg"
"491","1p5C","LAM","concrete","primary",2090,0.320277353469135,"kgco2e/kg"
"492","NPi","LAM","concrete","primary",2100,0.111978654710798,"kgco2e/kg"
"493","1p5C","LAM","concrete","primary",2100,0.320285568076831,"kgco2e/kg"
"494","NPi","MEA","concrete","primary",2020,0.825349510201989,"kgco2e/kg"
"495","NPi","MEA","concrete","primary",2030,0.79802661435771,"kgco2e/kg"
"496","1p5C","MEA","concrete","primary",2030,0.609719640022001,"kgco2e/kg"
"497","NPi","MEA","concrete","primary",2040,0.740798042870699,"kgco2e/kg"
"498","1p5C","MEA","concrete","primary",2040,0.504022750024063,"kgco2e/kg"
"499","NPi","MEA","concrete","primary",2050,0.710818580398354,"kgco2e/kg"
"500","1p5C","MEA","concrete","primary",2050,0.451483976012305,"kgco2e/kg"
"501","NPi","MEA","concrete","primary",2060,0.689925322815031,"kgco2e/kg"
"502","1p5C","MEA","concrete","primary",2060,0.415725573320816,"kgco2e/kg"
"503","NPi","MEA","concrete","primary",2070,0.680203461352861,"kgco2e/kg"
"504","1p5C","MEA","concrete","primary",2070,0.423893279179192,"kgco2e/kg"
"505","NPi","MEA","concrete","primary",2080,0.67453668911707,"kgco2e/kg"
"506","1p5C","MEA","concrete","primary",2080,0.451073993000562,"kgco2e/kg"
"507","NPi","MEA","concrete","primary",2090,0.668619515507331,"kgco2e/kg"
"508","1p5C","MEA","concrete","primary",2090,0.466474384836693,"kgco2e/kg"
"509","NPi","MEA","concrete","primary",2100,0.664333779969531,"kgco2e/kg"
"510","1p5C","MEA","concrete","primary",2100,0.469513325229835,"kgco2e/kg"
"511","NPi","NAM","concrete","primary",2020,0.825349510201989,"kgco2e/kg"
"512","NPi","NAM","concrete","primary",2030,0.79802661435771,"kgco2e/kg"
"513","1p5C","NAM","concrete","primary",2030,0.609719640022001,"kgco2e/kg"
"514","NPi","NAM","concrete","primary",2040,0.740798042870699,"kgco2e/kg"
"515","1p5C","NAM","concrete","primary",2040,0.504022750024063,"kgco2e/kg"
"516","NPi","NAM","concrete","primary",2050,0.710818580398354,"kgco2e/kg"
"517","1p5C","NAM","concrete","primary",2050,0.451483976012305,"kgco2e/kg"
"518","NPi","NAM","concrete","primary",2060,0.689925322815031,"kgco2e/kg"
"519","1p5C","NAM","concrete","primary",2060,0.415725573320816,"kgco2e/kg"
"520","NPi","NAM","concrete","primary",2070,0.680203461352861,"kgco2e/kg"
"521","1p5C","NAM","concrete","primary",2070,0.423893279179192,"kgco2e/kg"
"522","NPi","NAM","concrete","primary",2080,0.67453668911707,"kgco2e/kg"
"523","1p5C","NAM","concrete","primary",2080,0.451073993000562,"kgco2e/kg"
"524","NPi","NAM","concrete","primary",2090,0.668619515507331,"kgco2e/kg"
"525","1p5C","NAM","concrete","primary",2090,0.466474384836693,"kgco2e/kg"
"526","NPi","NAM","concrete","primary",2100,0.664333779969531,"kgco2e/kg"
"527","1p5C","NAM","concrete","primary",2100,0.469513325229835,"kgco2e/kg"
"528","NPi","PAO","concrete","primary",2020,0.825349510201989,"kgco2e/kg"
"529","NPi","PAO","concrete","primary",2030,0.79802661435771,"kgco2e/kg"
"530","1p5C","PAO","concrete","primary",2030,0.609719640022001,"kgco2e/kg"
"531","NPi","PAO","concrete","primary",2040,0.740798042870699,"kgco2e/kg"
"532","1p5C","PAO","concrete","primary",2040,0.504022750024063,"kgco2e/kg"
"533","NPi","PAO","concrete","primary",2050,0.710818580398354,"kgco2e/kg"
"534","1p5C","PAO","concrete","primary",2050,0.451483976012305,"kgco2e/kg"
"535","NPi","PAO","concrete","primary",2060,0.689925322815031,"kgco2e/kg"
"536","1p5C","PAO","concrete","primary",2060,0.415725573320816,"kgco2e/kg"
"537","NPi","PAO","concrete","primary",2070,0.680203461352861,"kgco2e/kg"
"538","1p5C","PAO","concrete","primary",2070,0.423893279179192,"kgco2e/kg"
"539","NPi","PAO","concrete","primary",2080,0.67453668911707,"kgco2e/kg"
"540","1p5C","PAO","concrete","primary",2080,0.451073993000562,"kgco2e/kg"
"541","NPi","PAO","concrete","primary",2090,0.668619515507331,"kgco2e/kg"
"542","1p5C","PAO","concrete","primary",2090,0.466474384836693,"kgco2e/kg"
"543","NPi","PAO","concrete","primary",2100,0.664333779969531,"kgco2e/kg"
"544","1p5C","PAO","concrete","primary",2100,0.469513325229835,"kgco2e/kg"
"545","NPi","PAS","concrete","primary",2020,0.825349510201989,"kgco2e/kg"
"546","NPi","PAS","concrete","primary",2030,0.79802661435771,"kgco2e/kg"
"547","1p5C","PAS","concrete","primary",2030,0.609719640022001,"kgco2e/kg"
"548","NPi","PAS","concrete","primary",2040,0.740798042870699,"kgco2e/kg"
"549","1p5C","PAS","concrete","primary",2040,0.504022750024063,"kgco2e/kg"
"550","NPi","PAS","concrete","primary",2050,0.710818580398354,"kgco2e/kg"
"551","1p5C","PAS","concrete","primary",2050,0.451483976012305,"kgco2e/kg"
"552","NPi","PAS","concrete","primary",2060,0.689925322815031,"kgco2e/kg"
"553","1p5C","PAS","concrete","primary",2060,0.415725573320816,"kgco2e/kg"
"554","NPi","PAS","concrete","primary",2070,0.680203461352861,"kgco2e/kg"
"555","1p5C","PAS","concrete","primary",2070,0.423893279179192,"kgco2e/kg"
"556","NPi","PAS","concrete","primary",2080,0.67453668911707,"kgco2e/kg"
"557","1p5C","PAS","concrete","primary",2080,0.451073993000562,"kgco2e/kg"
"558","NPi","PAS","concrete","primary",2090,0.668619515507331,"kgco2e/kg"
"559","1p5C","PAS","concrete","primary",2090,0.466474384836693,"kgco2e/kg"
"560","NPi","PAS","concrete","primary",2100,0.664333779969531,"kgco2e/kg"
"561","1p5C","PAS","concrete","primary",2100,0.469513325229835,"kgco2e/kg"
"562","NPi","RCPA","concrete","primary",2020,0.825349510201989,"kgco2e/kg"
"563","NPi","RCPA","concrete","primary",2030,0.79802661435771,"kgco2e/kg"
"564","1p5C","RCPA","concrete","primary",2030,0.609719640022001,"kgco2e/kg"
"565","NPi","RCPA","concrete","primary",2040,0.740798042870699,"kgco2e/kg"
"566","1p5C","RCPA","concrete","primary",2040,0.504022750024063,"kgco2e/kg"
"567","NPi","RCPA","concrete","primary",2050,0.710818580398354,"kgco2e/kg"
"568","1p5C","RCPA","concrete","primary",2050,0.451483976012305,"kgco2e/kg"
"569","NPi","RCPA","concrete","primary",2060,0.689925322815031,"kgco2e/kg"
"570","1p5C","RCPA","concrete","primary",2060,0.415725573320816,"kgco2e/kg"
"571","NPi","RCPA","concrete","primary",2070,0.680203461352861,"kgco2e/kg"
"572","1p5C","RCPA","concrete","primary",2070,0.423893279179192,"kgco2e/kg"
"573","NPi","RCPA","concrete","primary",2080,0.67453668911707,"kgco2e/kg"
"574","1p5C","RCPA","concrete","primary",2080,0.451073993000562,"kgco2e/kg"
"575","NPi","RCPA","concrete","primary",2090,0.668619515507331,"kgco2e/kg"
"576","1p5C","RCPA","concrete","primary",2090,0.466474384836693,"kgco2e/kg"
"577","NPi","RCPA","concrete","primary",2100,0.664333779969531,"kgco2e/kg"
"578","1p5C","RCPA","concrete","primary",2100,0.469513325229835,"kgco2e/kg"
"579","NPi","SAS","concrete","primary",2020,1.13769123238616,"kgco2e/kg"
"580","NPi","SAS","concrete","primary",2030,0.936427184106884,"kgco2e/kg"
"581","1p5C","SAS","concrete","primary",2030,0.732647079826279,"kgco2e/kg"
"582","NPi","SAS","concrete","primary",2040,0.176465422337794,"kgco2e/kg"
"583","1p5C","SAS","concrete","primary",2040,0.0795339517778382,"kgco2e/kg"
"584","NPi","SAS","concrete","primary",2050,0.91130500793542,"kgco2e/kg"
"585","1p5C","SAS","concrete","primary",2050,0.562089823059273,"kgco2e/kg"
"586","NPi","SAS","concrete","primary",2060,0.880829036018101,"kgco2e/kg"
"587","1p5C","SAS","concrete","primary",2060,0.54982402157837,"kgco2e/kg"
"588","NPi","SAS","concrete","primary",2070,0.166122705336942,"kgco2e/kg"
"589","1p5C","SAS","concrete","primary",2070,0.696582394412498,"kgco2e/kg"
"590","NPi","SAS","concrete","primary",2080,0.85567310309034,"kgco2e/kg"
"591","1p5C","SAS","concrete","primary",2080,0.0519426709625148,"kgco2e/kg"
"592","NPi","SAS","concrete","primary",2090,0.165084737319726,"kgco2e/kg"
"593","1p5C","SAS","concrete","primary",2090,0.691437546962718,"kgco2e/kg"
"594","NPi","SAS","concrete","primary",2100,0.847269048374461,"kgco2e/kg"
"595","1p5C","SAS","concrete","primary",2100,0.690916871938863,"kgco2e/kg"
"596","NPi","WEU","concrete","primary",2020,0.825349510201989,"kgco2e/kg"
"597","NPi","WEU","concrete","primary",2030,0.79802661435771,"kgco2e/kg"
"598","1p5C","WEU","concrete","primary",2030,0.609719640022001,"kgco2e/kg"
"599","NPi","WEU","concrete","primary",2040,0.740798042870699,"kgco2e/kg"
"600","1p5C","WEU","concrete","primary",2040,0.504022750024063,"kgco2e/kg"
"601","NPi","WEU","concrete","primary",2050,0.710818580398354,"kgco2e/kg"
"602","1p5C","WEU","concrete","primary",2050,0.451483976012305,"kgco2e/kg"
"603","NPi","WEU","concrete","primary",2060,0.689925322815031,"kgco2e/kg"
"604","1p5C","WEU","concrete","primary",2060,0.415725573320816,"kgco2e/kg"
"605","NPi","WEU","concrete","primary",2070,0.680203461352861,"kgco2e/kg"
"606","1p5C","WEU","concrete","primary",2070,0.423893279179192,"kgco2e/kg"
"607","NPi","WEU","concrete","primary",2080,0.67453668911707,"kgco2e/kg"
"608","1p5C","WEU","concrete","primary",2080,0.451073993000562,"kgco2e/kg"
"609","NPi","WEU","concrete","primary",2090,0.668619515507331,"kgco2e/kg"
"610","1p5C","WEU","concrete","primary",2090,0.466474384836693,"kgco2e/kg"
"611","NPi","WEU","concrete","primary",2100,0.664333779969531,"kgco2e/kg"
"612","1p5C","WEU","concrete","primary",2100,0.469513325229835,"kgco2e/kg"
"613","NPi","AFR","copper","primary",2020,5.67166444082771,"kgco2e/kg"
"614","NPi","AFR","copper","primary",2030,5.47573566435761,"kgco2e/kg"
"615","1p5C","AFR","copper","primary",2030,3.53717229871037,"kgco2e/kg"
"616","NPi","AFR","copper","primary",2040,5.3823136803621,"kgco2e/kg"
"617","1p5C","AFR","copper","primary",2040,2.7642532454563,"kgco2e/kg"
"618","NPi","AFR","copper","primary",2050,5.26754024419668,"kgco2e/kg"
"619","1p5C","AFR","copper","primary",2050,2.56806335262317,"kgco2e/kg"
"620","NPi","AFR","copper","primary",2060,4.75059903307488,"kgco2e/kg"
"621","1p5C","AFR","copper","primary",2060,2.48823013280029,"kgco2e/kg"
"622","NPi","AFR","copper","primary",2070,4.5332657836101,"kgco2e/kg"
"623","1p5C","AFR","copper","primary",2070,2.41965494307396,"kgco2e/kg"
"624","NPi","AFR","copper","primary",2080,4.38949323163255,"kgco2e/kg"
"625","1p5C","AFR","copper","primary",2080,2.40293007818234,"kgco2e/kg"
"626","NPi","AFR","copper","primary",2090,4.22391605761607,"kgco2e/kg"
"627","1p5C","AFR","copper","primary",2090,2.37115007212501,"kgco2e/kg"
"628","NPi","AFR","copper","primary",2100,4.11636329938511,"kgco2e/kg"
"629","1p5C","AFR","copper","primary",2100,2.36828893988263,"kgco2e/kg"
"630","NPi","CHN","copper","primary",2020,5.67166444082771,"kgco2e/kg"
"631","NPi","CHN","copper","primary",2030,5.47573566435761,"kgco2e/kg"
"632","1p5C","CHN","copper","primary",2030,3.53717229871037,"kgco2e/kg"
"633","NPi","CHN","copper","primary",2040,5.3823136803621,"kgco2e/kg"
"634","1p5C","CHN","copper","primary",2040,2.7642532454563,"kgco2e/kg"
"635","NPi","CHN","copper","primary",2050,5.26754024419668,"kgco2e/kg"
"636","1p5C","CHN","copper","primary",2050,2.56806335262317,"kgco2e/kg"
"637","NPi","CHN","copper","primary",2060,4.75059903307488,"kgco2e/kg"
"638","1p5C","CHN","copper","primary",2060,2.48823013280029,"kgco2e/kg"
"639","NPi","CHN","copper","primary",2070,4.5332657836101,"kgco2e/kg"
"640","1p5C","CHN","copper","primary",2070,2.41965494307396,"kgco2e/kg"
"641","NPi","CHN","copper","primary",2080,4.38949323163255,"kgco2e/kg"
"642","1p5C","CHN","copper","primary",2080,2.40293007818234,"kgco2e/kg"
"643","NPi","CHN","copper","primary",2090,4.22391605761607,"kgco2e/kg"
"644","1p5C","CHN","copper","primary",2090,2.37115007212501,"kgco2e/kg"
"645","NPi","CHN","copper","primary",2100,4.11636329938511,"kgco2e/kg"
"646","1p5C","CHN","copper","primary",2100,2.36828893988263,"kgco2e/kg"
"647","NPi","EEU","copper","primary",2020,5.67166444082771,"kgco2e/kg"
"648","NPi","EEU","copper","primary",2030,5.47573566435761,"kgco2e/kg"
"649","1p5C","EEU","copper","primary",2030,3.53717229871037,"kgco2e/kg"
"650","NPi","EEU","copper","primary",2040,5.3823136803621,"kgco2e/kg"
"651","1p5C","EEU","copper","primary",2040,2.7642532454563,"kgco2e/kg"
"652","NPi","EEU","copper","primary",2050,5.26754024419668,"kgco2e/kg"
"653","1p5C","EEU","copper","primary",2050,2.56806335262317,"kgco2e/kg"
"654","NPi","EEU","copper","primary",2060,4.75059903307488,"kgco2e/kg"
"655","1p5C","EEU","copper","primary",2060,2.48823013280029,"kgco2e/kg"
"656","NPi","EEU","copper","primary",2070,4.5332657836101,"kgco2e/kg"
"657","1p5C","EEU","copper","primary",2070,2.41965494307396,"kgco2e/kg"
"658","NPi","EEU","copper","primary",2080,4.38949323163255,"kgco2e/kg"
"659","1p5C","EEU","copper","primary",2080,2.40293007818234,"kgco2e/kg"
"660","NPi","EEU","copper","primary",2090,4.22391605761607,"kgco2e/kg"
"661","1p5C","EEU","copper","primary",2090,2.37115007212501,"kgco2e/kg"
"662","NPi","EEU","copper","primary",2100,4.11636329938511,"kgco2e/kg"
"663","1p5C","EEU","copper","primary",2100,2.36828893988263,"kgco2e/kg"
"664","NPi","FSU","copper","primary",2020,5.67166444082771,"kgco2e/kg"
"665","NPi","FSU","copper","primary",2030,5.47573566435761,"kgco2e/kg"
"666","1p5C","FSU","copper","primary",2030,3.53717229871037,"kgco2e/kg"
"667","NPi","FSU","copper","primary",2040,5.3823136803621,"kgco2e/kg"
"668","1p5C","FSU","copper","primary",2040,2.7642532454563,"kgco2e/kg"
"669","NPi","FSU","copper","primary",2050,5.26754024419668,"kgco2e/kg"
"670","1p5C","FSU","copper","primary",2050,2.56806335262317,"kgco2e/kg"
"671","NPi","FSU","copper","primary",2060,4.75059903307488,"kgco2e/kg"
"672","1p5C","FSU","copper","primary",2060,2.48823013280029,"kgco2e/kg"
"673","NPi","FSU","copper","primary",2070,4.5332657836101,"kgco2e/kg"
"674","1p5C","FSU","copper","primary",2070,2.41965494307396,"kgco2e/kg"
"675","NPi","FSU","copper","primary",2080,4.38949323163255,"kgco2e/kg"
"676","1p5C","FSU","copper","primary",2080,2.40293007818234,"kgco2e/kg"
"677","NPi","FSU","copper","primary",2090,4.22391605761607,"kgco2e/kg"
"678","1p5C","FSU","copper","primary",2090,2.37115007212501,"kgco2e/kg"
"679","NPi","FSU","copper","primary",2100,4.11636329938511,"kgco2e/kg"
"680","1p5C","FSU","copper","primary",2100,2.36828893988263,"kgco2e/kg"
"681","NPi","LAM","copper","primary",2020,5.67166444082771,"kgco2e/kg"
"682","NPi","LAM","copper","primary",2030,5.47573566435761,"kgco2e/kg"
"683","1p5C","LAM","copper","primary",2030,3.53717229871037,"kgco2e/kg"
"684","NPi","LAM","copper","primary",2040,5.3823136803621,"kgco2e/kg"
"685","1p5C","LAM","copper","primary",2040,2.7642532454563,"kgco2e/kg"
"686","NPi","LAM","copper","primary",2050,5.26754024419668,"kgco2e/kg"
"687","1p5C","LAM","copper","primary",2050,2.56806335262317,"kgco2e/kg"
"688","NPi","LAM","copper","primary",2060,4.75059903307488,"kgco2e/kg"
"689","1p5C","LAM","copper","primary",2060,2.48823013280029,"kgco2e/kg"
